IntronLengthBin,DonorScore
"(1.0, 1.124]",
"(1.124, 1.264]",
"(1.264, 1.422]",
"(1.422, 1.598]",
"(1.598, 1.797]",
"(1.797, 2.021]",0.004185379834522774
"(2.021, 2.272]",
"(2.272, 2.555]",
"(2.555, 2.873]",
"(2.873, 3.23]",
"(3.23, 3.632]",
"(3.632, 4.084]",0.0007412826525978744
"(4.084, 4.592]",
"(4.592, 5.163]",
"(5.163, 5.806]",
"(5.806, 6.528]",
"(6.528, 7.34]",
"(7.34, 8.253]",
"(8.253, 9.28]",
"(9.28, 10.434]",
"(10.434, 11.732]",0.0006414232775568962
"(11.732, 13.192]",
"(13.192, 14.833]",
"(14.833, 16.678]",
"(16.678, 18.753]",
"(18.753, 21.086]",
"(21.086, 23.71]",
"(23.71, 26.659]",
"(26.659, 29.976]",
"(29.976, 33.705]",
"(33.705, 37.898]",
"(37.898, 42.613]",
"(42.613, 47.914]",0.10962405055761337
"(47.914, 53.875]",
"(53.875, 60.577]",0.999180018901825
"(60.577, 68.114]",0.9882613480091095
"(68.114, 76.587]",0.9573186859488487
"(76.587, 86.115]",0.9825564375772899
"(86.115, 96.828]",0.9829215485901971
"(96.828, 108.875]",0.9874918066859308
"(108.875, 122.419]",0.9816057983688763
"(122.419, 137.649]",0.979478454942525
"(137.649, 154.773]",0.9797011753357056
"(154.773, 174.028]",0.9790116712207945
"(174.028, 195.678]",0.9794126724302122
"(195.678, 220.022]",0.9772091203066067
"(220.022, 247.394]",0.9864692473293919
"(247.394, 278.171]",0.978449492655932
"(278.171, 312.777]",0.9943463189734353
"(312.777, 351.688]",0.9807986539090052
"(351.688, 395.44]",0.9955146519674195
"(395.44, 444.636]",0.9866825358735191
"(444.636, 499.951]",0.9906489849090576
"(499.951, 562.148]",0.99379763007164
"(562.148, 632.082]",0.9379181564949891
"(632.082, 710.717]",0.9971642664500645
"(710.717, 799.135]",0.9991690251562331
"(799.135, 898.552]",0.99919488241798
"(898.552, 1010.337]",0.9989688446124395
"(1010.337, 1136.029]",0.9990438710559498
"(1136.029, 1277.358]",0.9932971298694611
"(1277.358, 1436.269]",0.9992801547050476
"(1436.269, 1614.95]",
"(1614.95, 1815.859]",
"(1815.859, 2041.763]",
"(2041.763, 2295.77]",
"(2295.77, 2581.378]",0.9518352746963501
"(2581.378, 2902.517]",
"(2902.517, 3263.608]",
"(3263.608, 3669.62]",
"(3669.62, 4126.143]",
"(4126.143, 4639.46]",
"(4639.46, 5216.636]",
"(5216.636, 5865.617]",
"(5865.617, 6595.335]",
"(6595.335, 7415.835]",
"(7415.835, 8338.409]",
"(8338.409, 9375.757]",
"(9375.757, 10542.158]",
"(10542.158, 11853.666]",
"(11853.666, 13328.333]",
"(13328.333, 14986.458]",
"(14986.458, 16850.863]",
"(16850.863, 18947.212]",
"(18947.212, 21304.359]",
"(21304.359, 23954.749]",
"(23954.749, 26934.864]",
"(26934.864, 30285.723]",
"(30285.723, 34053.449]",
"(34053.449, 38289.902]",
"(38289.902, 43053.396]",
"(43053.396, 48409.498]",
"(48409.498, 54431.93]",
"(54431.93, 61203.589]",
"(61203.589, 68817.684]",
"(68817.684, 77379.017]",
"(77379.017, 87005.432]",
"(87005.432, 97829.431]",
"(97829.431, 110000.0]",
