AcceptorLengthBin,AcceptorScore
"(20.0, 21.316]",0.8614023405318729
"(21.316, 22.719]",0.8747466256494238
"(22.719, 24.214]",0.8876250737019865
"(24.214, 25.808]",0.9175653398533038
"(25.808, 27.506]",0.9083193001856809
"(27.506, 29.317]",0.9171889322296589
"(29.317, 31.246]",0.9076069788095558
"(31.246, 33.302]",0.9376731006857297
"(33.302, 35.494]",0.9025860628448432
"(35.494, 37.83]",0.9378301242859798
"(37.83, 40.319]",0.9417245139153724
"(40.319, 42.973]",0.9361328193801041
"(42.973, 45.801]",0.9515139735981747
"(45.801, 48.815]",0.938960278571357
"(48.815, 52.028]",0.9633241945125021
"(52.028, 55.452]",0.9770033321560765
"(55.452, 59.101]",0.9649007249095287
"(59.101, 62.991]",0.9710132625781681
"(62.991, 67.136]",0.9730717872628358
"(67.136, 71.555]",0.9730453635003775
"(71.555, 76.264]",0.9810364296779924
"(76.264, 81.283]",0.9839990246260042
"(81.283, 86.632]",0.9822011446630445
"(86.632, 92.334]",0.9777267431996549
"(92.334, 98.41]",0.9797666403030519
"(98.41, 104.887]",0.9813177774042311
"(104.887, 111.79]",0.9813862168837018
"(111.79, 119.147]",0.979372638641429
"(119.147, 126.988]",0.97872195996141
"(126.988, 135.345]",0.9802670280785933
"(135.345, 144.253]",0.9764024572509359
"(144.253, 153.746]",0.9795669099172193
"(153.746, 163.864]",0.9805253718265501
"(163.864, 174.648]",0.9792711341721352
"(174.648, 186.142]",0.9782901207937802
"(186.142, 198.393]",0.9759914937052286
"(198.393, 211.449]",0.9781561921216166
"(211.449, 225.365]",0.9745124146657669
"(225.365, 240.197]",0.9748559389539907
"(240.197, 256.004]",0.9758280736671471
"(256.004, 272.852]",0.9741583135437775
"(272.852, 290.809]",0.9799824822589769
"(290.809, 309.948]",0.979394887380009
"(309.948, 330.346]",0.96883903745665
"(330.346, 352.087]",0.968040146550037
"(352.087, 375.258]",0.9718114130540352
"(375.258, 399.954]",0.9698976253840497
"(399.954, 426.276]",0.9610589226743848
"(426.276, 454.33]",0.9694181326325261
"(454.33, 484.23]",0.9710839233747153
"(484.23, 516.098]",0.9699826705286613
"(516.098, 550.063]",0.9675819415430342
"(550.063, 586.263]",0.9726201566532213
"(586.263, 624.846]",0.9698881994474998
"(624.846, 665.969]",0.9722968919344551
"(665.969, 709.797]",0.9735531809869477
"(709.797, 756.51]",0.9722345251143104
"(756.51, 806.297]",0.9749001949384691
"(806.297, 859.361]",0.9712208987333307
"(859.361, 915.916]",0.9722207555820823
"(915.916, 976.194]",0.976649052530813
"(976.194, 1040.439]",0.9731088265340179
"(1040.439, 1108.912]",0.9753464803480448
"(1108.912, 1181.891]",0.9691049815722887
"(1181.891, 1259.674]",0.9691536261072654
"(1259.674, 1342.575]",0.973028098533957
"(1342.575, 1430.932]",0.966774919768961
"(1430.932, 1525.103]",0.9720607704799745
"(1525.103, 1625.473]",0.9809722480495361
"(1625.473, 1732.448]",0.9745097769121192
"(1732.448, 1846.463]",0.9803858450068065
"(1846.463, 1967.982]",0.965588721204627
"(1967.982, 2097.498]",0.9755429632344825
"(2097.498, 2235.537]",0.9775568784458656
"(2235.537, 2382.661]",0.975309027608149
"(2382.661, 2539.468]",0.9812260271653597
"(2539.468, 2706.595]",0.9794717487715898
"(2706.595, 2884.72]",0.9764435071442084
"(2884.72, 3074.568]",0.9834442283713625
"(3074.568, 3276.91]",0.9793026857114778
"(3276.91, 3492.568]",0.982118686615133
"(3492.568, 3722.42]",0.978140077172395
"(3722.42, 3967.398]",0.9827676354078391
"(3967.398, 4228.499]",0.9783436802509039
"(4228.499, 4506.783]",0.9808270970825106
"(4506.783, 4803.381]",0.9688211603334356
"(4803.381, 5119.5]",0.9885134801214976
"(5119.5, 5456.422]",0.9777049541660433
"(5456.422, 5815.518]",0.985590180963718
"(5815.518, 6198.246]",0.9770857404703558
"(6198.246, 6606.162]",0.9754480668789449
"(6606.162, 7040.924]",0.9846277143739458
"(7040.924, 7504.298]",0.9722416516826508
"(7504.298, 7998.168]",0.9671903176900758
"(7998.168, 8524.54]",0.9549707994088437
"(8524.54, 9085.554]",0.9848028230778081
"(9085.554, 9683.488]",0.9599102003462363
"(9683.488, 10320.774]",0.9827450452880426
"(10320.774, 11000.0]",0.9539319029458428
