DonorLengthBin,DonorScore
"(20.0, 21.316]",0.9304197774481802
"(21.316, 22.719]",0.9011678265660297
"(22.719, 24.214]",0.9162345930999344
"(24.214, 25.808]",0.9125843811509085
"(25.808, 27.506]",0.9318305062172297
"(27.506, 29.317]",0.9276945345220671
"(29.317, 31.246]",0.938609424414977
"(31.246, 33.302]",0.9592952205124866
"(33.302, 35.494]",0.9434158578934766
"(35.494, 37.83]",0.9587326139691593
"(37.83, 40.319]",0.9382419476363865
"(40.319, 42.973]",0.9578192702101176
"(42.973, 45.801]",0.9628482425823777
"(45.801, 48.815]",0.9565166593923681
"(48.815, 52.028]",0.9685845676458285
"(52.028, 55.452]",0.9761864759409534
"(55.452, 59.101]",0.9758735655224979
"(59.101, 62.991]",0.9743513096157893
"(62.991, 67.136]",0.9778909789949584
"(67.136, 71.555]",0.9794804582677179
"(71.555, 76.264]",0.9822721448877607
"(76.264, 81.283]",0.9828677690226227
"(81.283, 86.632]",0.9826920881294385
"(86.632, 92.334]",0.9811282217970433
"(92.334, 98.41]",0.980539647033236
"(98.41, 104.887]",0.9851359030462301
"(104.887, 111.79]",0.9845660419084694
"(111.79, 119.147]",0.9818092318126271
"(119.147, 126.988]",0.981250890981726
"(126.988, 135.345]",0.9835619559817553
"(135.345, 144.253]",0.9831767828822092
"(144.253, 153.746]",0.9834254444411864
"(153.746, 163.864]",0.981984944172779
"(163.864, 174.648]",0.9836261580615067
"(174.648, 186.142]",0.9828767806617686
"(186.142, 198.393]",0.9814842795851507
"(198.393, 211.449]",0.9830093461711085
"(211.449, 225.365]",0.9773048863161442
"(225.365, 240.197]",0.9773132270838
"(240.197, 256.004]",0.9765677050569477
"(256.004, 272.852]",0.9767906999529253
"(272.852, 290.809]",0.9739681435832401
"(290.809, 309.948]",0.962283260266586
"(309.948, 330.346]",0.9745173269833952
"(330.346, 352.087]",0.9709049250768151
"(352.087, 375.258]",0.9743143306876045
"(375.258, 399.954]",0.9714036797940468
"(399.954, 426.276]",0.9726629029592004
"(426.276, 454.33]",0.9704607210723677
"(454.33, 484.23]",0.9706565322338847
"(484.23, 516.098]",0.9718751006208156
"(516.098, 550.063]",0.9658260117981645
"(550.063, 586.263]",0.9733616579753973
"(586.263, 624.846]",0.9729582122157835
"(624.846, 665.969]",0.9703520842396106
"(665.969, 709.797]",0.9724527859340598
"(709.797, 756.51]",0.9653202475783031
"(756.51, 806.297]",0.9615244265612352
"(806.297, 859.361]",0.9614825125032664
"(859.361, 915.916]",0.9628653728143781
"(915.916, 976.194]",0.957609769586353
"(976.194, 1040.439]",0.9585182531003568
"(1040.439, 1108.912]",0.9595760671923017
"(1108.912, 1181.891]",0.9701525193328022
"(1181.891, 1259.674]",0.9677386750173771
"(1259.674, 1342.575]",0.9590963588894014
"(1342.575, 1430.932]",0.9561943565432723
"(1430.932, 1525.103]",0.9553938341236619
"(1525.103, 1625.473]",0.9634244659000875
"(1625.473, 1732.448]",0.9632956964717289
"(1732.448, 1846.463]",0.9685961486535895
"(1846.463, 1967.982]",0.9655063954220774
"(1967.982, 2097.498]",0.958388514151131
"(2097.498, 2235.537]",0.9610457747093036
"(2235.537, 2382.661]",0.9630666232921861
"(2382.661, 2539.468]",0.9223551694148011
"(2539.468, 2706.595]",0.9654122893889882
"(2706.595, 2884.72]",0.9564203331330126
"(2884.72, 3074.568]",0.9545803799627107
"(3074.568, 3276.91]",0.9675364147191939
"(3276.91, 3492.568]",0.9400886936946751
"(3492.568, 3722.42]",0.9330490494793561
"(3722.42, 3967.398]",0.9324968609652375
"(3967.398, 4228.499]",0.9182624489224998
"(4228.499, 4506.783]",0.9744468795756499
"(4506.783, 4803.381]",0.95435119256603
"(4803.381, 5119.5]",0.977427382953465
"(5119.5, 5456.422]",0.9628487962924329
"(5456.422, 5815.518]",0.9592239208588446
"(5815.518, 6198.246]",0.9580553940302411
"(6198.246, 6606.162]",0.9345851076901525
"(6606.162, 7040.924]",0.9564351580942734
"(7040.924, 7504.298]",0.9623848005597081
"(7504.298, 7998.168]",0.9391013011336327
"(7998.168, 8524.54]",0.9357191000179026
"(8524.54, 9085.554]",0.9403081780363773
"(9085.554, 9683.488]",0.931490991340608
"(9683.488, 10320.774]",0.92144758750995
"(10320.774, 11000.0]",0.9266101031711227
