DonorLengthBin,DonorScore
"(20.0, 21.316]",0.8867738556372652
"(21.316, 22.719]",0.8661699224200491
"(22.719, 24.214]",0.8754790832378331
"(24.214, 25.808]",0.8736609496480174
"(25.808, 27.506]",0.8770298839874177
"(27.506, 29.317]",0.8969846763952193
"(29.317, 31.246]",0.8995105897183283
"(31.246, 33.302]",0.9300086148246967
"(33.302, 35.494]",0.9022589642912383
"(35.494, 37.83]",0.9416139830325206
"(37.83, 40.319]",0.9144744490155293
"(40.319, 42.973]",0.9212103230686922
"(42.973, 45.801]",0.9204790682099552
"(45.801, 48.815]",0.9285060519491778
"(48.815, 52.028]",0.9521365643218387
"(52.028, 55.452]",0.9596159176595398
"(55.452, 59.101]",0.9576280699684069
"(59.101, 62.991]",0.9572332110075245
"(62.991, 67.136]",0.9603298623829182
"(67.136, 71.555]",0.9639076643463049
"(71.555, 76.264]",0.9702792596908046
"(76.264, 81.283]",0.9728550853921943
"(81.283, 86.632]",0.9711151693835975
"(86.632, 92.334]",0.9699515509606176
"(92.334, 98.41]",0.9712245442744785
"(98.41, 104.887]",0.977109800075853
"(104.887, 111.79]",0.974667680886394
"(111.79, 119.147]",0.9716321641847322
"(119.147, 126.988]",0.9701485811118973
"(126.988, 135.345]",0.9733820654245755
"(135.345, 144.253]",0.9714926101310347
"(144.253, 153.746]",0.9698582201776227
"(153.746, 163.864]",0.9712946403410767
"(163.864, 174.648]",0.9724126014267298
"(174.648, 186.142]",0.9722039028118326
"(186.142, 198.393]",0.9694526852994638
"(198.393, 211.449]",0.9707062122761594
"(211.449, 225.365]",0.9626353341782036
"(225.365, 240.197]",0.9649680351337296
"(240.197, 256.004]",0.9633571260809976
"(256.004, 272.852]",0.9642298719060526
"(272.852, 290.809]",0.9683526147756648
"(290.809, 309.948]",0.9648591892934479
"(309.948, 330.346]",0.9580338160321411
"(330.346, 352.087]",0.9583302668104446
"(352.087, 375.258]",0.9603674085440872
"(375.258, 399.954]",0.9608636407131961
"(399.954, 426.276]",0.9574343581207359
"(426.276, 454.33]",0.9554936450439951
"(454.33, 484.23]",0.959836475131403
"(484.23, 516.098]",0.95767156882797
"(516.098, 550.063]",0.9571859854573228
"(550.063, 586.263]",0.9569340763056654
"(586.263, 624.846]",0.9608221319172212
"(624.846, 665.969]",0.9549131882789964
"(665.969, 709.797]",0.9565957560500107
"(709.797, 756.51]",0.9554753534030986
"(756.51, 806.297]",0.9449849067951414
"(806.297, 859.361]",0.9415961996640001
"(859.361, 915.916]",0.9483387718957599
"(915.916, 976.194]",0.9448445730705237
"(976.194, 1040.439]",0.9413812494320919
"(1040.439, 1108.912]",0.9282366568846886
"(1108.912, 1181.891]",0.9495502845794497
"(1181.891, 1259.674]",0.9458180398819814
"(1259.674, 1342.575]",0.9370906295686082
"(1342.575, 1430.932]",0.9273909547735476
"(1430.932, 1525.103]",0.9332714082319837
"(1525.103, 1625.473]",0.9530694583794546
"(1625.473, 1732.448]",0.941221555440462
"(1732.448, 1846.463]",0.9608888213005116
"(1846.463, 1967.982]",0.9575693881790449
"(1967.982, 2097.498]",0.9353039813164675
"(2097.498, 2235.537]",0.9488064556405069
"(2235.537, 2382.661]",0.9482809231597018
"(2382.661, 2539.468]",0.9183211199491305
"(2539.468, 2706.595]",0.9556947460295218
"(2706.595, 2884.72]",0.9412045826538815
"(2884.72, 3074.568]",0.9253347237264663
"(3074.568, 3276.91]",0.9571548393659699
"(3276.91, 3492.568]",0.9092344108533877
"(3492.568, 3722.42]",0.9108588099672695
"(3722.42, 3967.398]",0.9088876072876966
"(3967.398, 4228.499]",0.9127726984995522
"(4228.499, 4506.783]",0.9589077042726178
"(4506.783, 4803.381]",0.946566117498812
"(4803.381, 5119.5]",0.9599648185360891
"(5119.5, 5456.422]",0.9655884757850235
"(5456.422, 5815.518]",0.9273435974265104
"(5815.518, 6198.246]",0.9119230029254415
"(6198.246, 6606.162]",0.9349593101417436
"(6606.162, 7040.924]",0.9407798993147768
"(7040.924, 7504.298]",0.927642066199665
"(7504.298, 7998.168]",0.9026249821312846
"(7998.168, 8524.54]",0.9409796226548982
"(8524.54, 9085.554]",0.876508792099575
"(9085.554, 9683.488]",0.9046749200443832
"(9683.488, 10320.774]",0.8893414722824992
"(10320.774, 11000.0]",0.9407486713148261
