IntronLengthBin,AcceptorScore
"(50.0, 55.314]",0.3950923757443508
"(55.314, 61.192]",0.5515541114446316
"(61.192, 67.695]",0.7859921059641336
"(67.695, 74.89]",0.9479294145237341
"(74.89, 82.848]",0.9741522814674415
"(82.848, 91.653]",0.9785611461299925
"(91.653, 101.393]",0.9787747127156662
"(101.393, 112.169]",0.9718339940495857
"(112.169, 124.09]",0.9663023457811888
"(124.09, 137.277]",0.970939945189605
"(137.277, 151.866]",0.9674726701566065
"(151.866, 168.006]",0.967826709300125
"(168.006, 185.861]",0.971512997833612
"(185.861, 205.613]",0.9745687602787257
"(205.613, 227.464]",0.9682825480821328
"(227.464, 251.638]",0.9675260180992157
"(251.638, 278.38]",0.9668511818039859
"(278.38, 307.965]",0.9660063014980802
"(307.965, 340.694]",0.965274822605801
"(340.694, 376.901]",0.9621840813897918
"(376.901, 416.956]",0.9643323378817503
"(416.956, 461.267]",0.966151408902379
"(461.267, 510.288]",0.9664900060526102
"(510.288, 564.519]",0.9703052826671825
"(564.519, 624.513]",0.9672441828719002
"(624.513, 690.883]",0.9674061417684913
"(690.883, 764.306]",0.9672613515918098
"(764.306, 845.532]",0.9705828048518695
"(845.532, 935.39]",0.9690560458445765
"(935.39, 1034.798]",0.9689043758156791
"(1034.798, 1144.771]",0.9747907445664616
"(1144.771, 1266.431]",0.9690072226823097
"(1266.431, 1401.02]",0.9732094534555654
"(1401.02, 1549.912]",0.9752997678927621
"(1549.912, 1714.628]",0.9712597060983789
"(1714.628, 1896.849]",0.9758082834568859
"(1896.849, 2098.436]",0.975393149428881
"(2098.436, 2321.446]",0.972401408485326
"(2321.446, 2568.156]",0.9759124461435829
"(2568.156, 2841.085]",0.9779002341018088
"(2841.085, 3143.019]",0.9774116482023327
"(3143.019, 3477.042]",0.9778096301215035
"(3477.042, 3846.562]",0.9779755837346261
"(3846.562, 4255.353]",0.9749946675024476
"(4255.353, 4707.589]",0.9784489470732003
"(4707.589, 5207.885]",0.975984896334689
"(5207.885, 5761.349]",0.9765877061278773
"(5761.349, 6373.633]",0.9765615792434842
"(6373.633, 7050.987]",0.9786900826376717
"(7050.987, 7800.326]",0.9772875670360386
"(7800.326, 8629.301]",0.9785743702283496
"(8629.301, 9546.375]",0.9790043478461864
"(9546.375, 10560.91]",0.9812252802090317
"(10560.91, 11683.264]",0.980627771726781
"(11683.264, 12924.896]",0.9778951494940166
"(12924.896, 14298.481]",0.9760227485734609
"(14298.481, 15818.043]",0.9809766281550576
"(15818.043, 17499.096]",0.9799640715395218
"(17499.096, 19358.802]",0.9764168984914092
"(19358.802, 21416.146]",0.9828644139386878
"(21416.146, 23692.134]",0.9834396785998908
"(23692.134, 26210.001]",0.9836129300572443
"(26210.001, 28995.453]",0.9843738712779888
"(28995.453, 32076.926]",0.9831063768536225
"(32076.926, 35485.882]",0.9873588754048443
"(35485.882, 39257.122]",0.9853504712282077
"(39257.122, 43429.148]",0.9874516528808925
"(43429.148, 48044.554]",0.987571578045592
"(48044.554, 53150.46]",0.9875096390270633
"(53150.46, 58798.992]",0.9879001156525677
"(58798.992, 65047.818]",0.9915184251107518
"(65047.818, 71960.735]",0.9873048709144989
"(71960.735, 79608.318]",0.9880852280092919
"(79608.318, 88068.642]",0.9868084611266943
"(88068.642, 97428.083]",0.989394504116516
"(97428.083, 107782.192]",0.9908952520530506
"(107782.192, 119236.678]",0.9845040831892629
"(119236.678, 131908.482]",0.9923531626623014
"(131908.482, 145926.974]",0.9906537661840628
"(145926.974, 161435.273]",0.9877222406610191
"(161435.273, 178591.707]",0.9904083233248364
"(178591.707, 197571.43]",0.9894782913251394
"(197571.43, 218568.212]",0.989564264720341
"(218568.212, 241796.413]",0.9899015865627337
"(241796.413, 267493.178]",0.9912509132314611
"(267493.178, 295920.85]",0.996089215696293
"(295920.85, 327369.655]",0.9972505101533694
"(327369.655, 362160.663]",0.9842856317855321
"(362160.663, 400649.063]",0.9888570406220176
"(400649.063, 443227.795]",0.9927621367904875
"(443227.795, 490331.554]",0.9980879355879391
"(490331.554, 542441.237]",0.9976075355495725
"(542441.237, 600088.844]",0.9992245882749557
"(600088.844, 663862.915]",0.9985889593760172
"(663862.915, 734414.535]",0.9994854231675466
"(734414.535, 812463.986]",0.9988908105426364
"(812463.986, 898808.093]",0.999512961932591
"(898808.093, 994328.368]",0.7997567861224525
"(994328.368, 1100000.0]",0.9993185251951218
