IntronLengthBin,DonorScore
"(50.0, 55.314]",0.48941626709203645
"(55.314, 61.192]",0.6114035708108737
"(61.192, 67.695]",0.8475091105982022
"(67.695, 74.89]",0.9794995092788503
"(74.89, 82.848]",0.981170277466095
"(82.848, 91.653]",0.9777464684513169
"(91.653, 101.393]",0.9726235685185829
"(101.393, 112.169]",0.9687282718328303
"(112.169, 124.09]",0.9644741225079416
"(124.09, 137.277]",0.9719181173067201
"(137.277, 151.866]",0.9713316135007772
"(151.866, 168.006]",0.9708313875455903
"(168.006, 185.861]",0.9743503520679164
"(185.861, 205.613]",0.9776341346623713
"(205.613, 227.464]",0.9751161998439845
"(227.464, 251.638]",0.967672267415723
"(251.638, 278.38]",0.975359645263349
"(278.38, 307.965]",0.9709173188795431
"(307.965, 340.694]",0.9685436058846626
"(340.694, 376.901]",0.970860586943179
"(376.901, 416.956]",0.9750971141024818
"(416.956, 461.267]",0.9709776358415789
"(461.267, 510.288]",0.9739609384225771
"(510.288, 564.519]",0.971793170456666
"(564.519, 624.513]",0.9736509186093949
"(624.513, 690.883]",0.9705592970259275
"(690.883, 764.306]",0.9738864179938711
"(764.306, 845.532]",0.9733123866030938
"(845.532, 935.39]",0.9763205279830597
"(935.39, 1034.798]",0.9768705896331995
"(1034.798, 1144.771]",0.9780971015938363
"(1144.771, 1266.431]",0.9775429871617026
"(1266.431, 1401.02]",0.9773372798250364
"(1401.02, 1549.912]",0.9786181220852957
"(1549.912, 1714.628]",0.9788478636489412
"(1714.628, 1896.849]",0.976387335614004
"(1896.849, 2098.436]",0.9800409701781431
"(2098.436, 2321.446]",0.9789431582572081
"(2321.446, 2568.156]",0.9763713920571427
"(2568.156, 2841.085]",0.9799014339238529
"(2841.085, 3143.019]",0.9814011306162497
"(3143.019, 3477.042]",0.9736472457118375
"(3477.042, 3846.562]",0.9801655431131784
"(3846.562, 4255.353]",0.9791447888931034
"(4255.353, 4707.589]",0.9809376468582712
"(4707.589, 5207.885]",0.9800080667281645
"(5207.885, 5761.349]",0.9811139627013499
"(5761.349, 6373.633]",0.9793958863078521
"(6373.633, 7050.987]",0.9805799406293512
"(7050.987, 7800.326]",0.9783224760505453
"(7800.326, 8629.301]",0.9821591615748159
"(8629.301, 9546.375]",0.9793387024774589
"(9546.375, 10560.91]",0.9797979007714931
"(10560.91, 11683.264]",0.9799985179702904
"(11683.264, 12924.896]",0.9796173075310936
"(12924.896, 14298.481]",0.9823368621377542
"(14298.481, 15818.043]",0.9817861153729853
"(15818.043, 17499.096]",0.9794466094662745
"(17499.096, 19358.802]",0.9811938087171742
"(19358.802, 21416.146]",0.9834768092675847
"(21416.146, 23692.134]",0.9838527643384297
"(23692.134, 26210.001]",0.9859949898203575
"(26210.001, 28995.453]",0.983502210744345
"(28995.453, 32076.926]",0.9841950369426126
"(32076.926, 35485.882]",0.9869578178254805
"(35485.882, 39257.122]",0.9850434850935464
"(39257.122, 43429.148]",0.9864557397164336
"(43429.148, 48044.554]",0.9859632482320518
"(48044.554, 53150.46]",0.9892863314765319
"(53150.46, 58798.992]",0.9868037647888349
"(58798.992, 65047.818]",0.9882798630364417
"(65047.818, 71960.735]",0.9885448004254996
"(71960.735, 79608.318]",0.9860722952288428
"(79608.318, 88068.642]",0.9891810081032268
"(88068.642, 97428.083]",0.9879211831594025
"(97428.083, 107782.192]",0.9882692661821927
"(107782.192, 119236.678]",0.9917595823055613
"(119236.678, 131908.482]",0.9893504216211859
"(131908.482, 145926.974]",0.9912256054989584
"(145926.974, 161435.273]",0.984402095803953
"(161435.273, 178591.707]",0.9883473522512958
"(178591.707, 197571.43]",0.9919822276240647
"(197571.43, 218568.212]",0.9788590583001386
"(218568.212, 241796.413]",0.9851004051660761
"(241796.413, 267493.178]",0.9917487219527915
"(267493.178, 295920.85]",0.9923360108459083
"(295920.85, 327369.655]",0.9873357940221501
"(327369.655, 362160.663]",0.9907032235876306
"(362160.663, 400649.063]",0.9930161432786422
"(400649.063, 443227.795]",0.9965320229530334
"(443227.795, 490331.554]",0.9940597958424512
"(490331.554, 542441.237]",0.9957094724689212
"(542441.237, 600088.844]",0.9948426961898804
"(600088.844, 663862.915]",0.9950991819302241
"(663862.915, 734414.535]",0.9970533549785614
"(734414.535, 812463.986]",0.9987368649906583
"(812463.986, 898808.093]",0.9985379661832537
"(898808.093, 994328.368]",0.9438926696777343
"(994328.368, 1100000.0]",0.9986134320497513
