IntronLengthBin,DonorScore
"(50.0, 55.314]",0.3424368853860827
"(55.314, 61.192]",0.5069404959250542
"(61.192, 67.695]",0.8292624200312056
"(67.695, 74.89]",0.9712792345411709
"(74.89, 82.848]",0.9698770244247277
"(82.848, 91.653]",0.954002190344514
"(91.653, 101.393]",0.9571358179242185
"(101.393, 112.169]",0.9472780245748776
"(112.169, 124.09]",0.9485585192787557
"(124.09, 137.277]",0.9543696962283308
"(137.277, 151.866]",0.9559472138353547
"(151.866, 168.006]",0.9567158583333013
"(168.006, 185.861]",0.954710084134007
"(185.861, 205.613]",0.9654013659923038
"(205.613, 227.464]",0.9574428308981845
"(227.464, 251.638]",0.9523052460401246
"(251.638, 278.38]",0.961886424104084
"(278.38, 307.965]",0.9516611658854927
"(307.965, 340.694]",0.9485947301847563
"(340.694, 376.901]",0.9531758260017261
"(376.901, 416.956]",0.9583081487453362
"(416.956, 461.267]",0.9568452987152812
"(461.267, 510.288]",0.9573907759327899
"(510.288, 564.519]",0.9548208352932489
"(564.519, 624.513]",0.9586743566717763
"(624.513, 690.883]",0.9521437702597999
"(690.883, 764.306]",0.9599637200243821
"(764.306, 845.532]",0.9569353488224692
"(845.532, 935.39]",0.9615224372325453
"(935.39, 1034.798]",0.9597498469977537
"(1034.798, 1144.771]",0.9628355305857882
"(1144.771, 1266.431]",0.9626898869286227
"(1266.431, 1401.02]",0.9635596894053502
"(1401.02, 1549.912]",0.9653753781606295
"(1549.912, 1714.628]",0.9664041944691253
"(1714.628, 1896.849]",0.9618293029204326
"(1896.849, 2098.436]",0.9662576028899791
"(2098.436, 2321.446]",0.9656681345759727
"(2321.446, 2568.156]",0.9615187136378166
"(2568.156, 2841.085]",0.9682991060852645
"(2841.085, 3143.019]",0.9707165701381713
"(3143.019, 3477.042]",0.9670912607521356
"(3477.042, 3846.562]",0.9674103941180449
"(3846.562, 4255.353]",0.9667762266844183
"(4255.353, 4707.589]",0.9686910264791956
"(4707.589, 5207.885]",0.9707272759778073
"(5207.885, 5761.349]",0.971026670232923
"(5761.349, 6373.633]",0.9664368284365997
"(6373.633, 7050.987]",0.9695664522588103
"(7050.987, 7800.326]",0.9698168296030754
"(7800.326, 8629.301]",0.97066042594044
"(8629.301, 9546.375]",0.9688893506995125
"(9546.375, 10560.91]",0.9735343457549072
"(10560.91, 11683.264]",0.9684670511426605
"(11683.264, 12924.896]",0.9716433365881968
"(12924.896, 14298.481]",0.9747350255545437
"(14298.481, 15818.043]",0.9714117960966439
"(15818.043, 17499.096]",0.9728004354173606
"(17499.096, 19358.802]",0.9726300758346362
"(19358.802, 21416.146]",0.973853035057361
"(21416.146, 23692.134]",0.9716643636630011
"(23692.134, 26210.001]",0.9757336982993051
"(26210.001, 28995.453]",0.9731495167125684
"(28995.453, 32076.926]",0.9743162978790557
"(32076.926, 35485.882]",0.9799866651496199
"(35485.882, 39257.122]",0.9759636458254299
"(39257.122, 43429.148]",0.9810935776908801
"(43429.148, 48044.554]",0.9766480763038501
"(48044.554, 53150.46]",0.9838257862106596
"(53150.46, 58798.992]",0.9799929555049356
"(58798.992, 65047.818]",0.9834533314084579
"(65047.818, 71960.735]",0.9831881621316604
"(71960.735, 79608.318]",0.9797690938193648
"(79608.318, 88068.642]",0.9805294290182133
"(88068.642, 97428.083]",0.981815735052674
"(97428.083, 107782.192]",0.9793534971994166
"(107782.192, 119236.678]",0.9826765377743694
"(119236.678, 131908.482]",0.9799838463376905
"(131908.482, 145926.974]",0.98555328492088
"(145926.974, 161435.273]",0.9714802111268557
"(161435.273, 178591.707]",0.982259144770473
"(178591.707, 197571.43]",0.9852195210529097
"(197571.43, 218568.212]",0.977669072518112
"(218568.212, 241796.413]",0.973542249637757
"(241796.413, 267493.178]",0.9920242733425564
"(267493.178, 295920.85]",0.9833362486458173
"(295920.85, 327369.655]",0.9834336510328489
"(327369.655, 362160.663]",0.9798527881986909
"(362160.663, 400649.063]",0.9804960697889328
"(400649.063, 443227.795]",0.989950696627299
"(443227.795, 490331.554]",0.9649336530881769
"(490331.554, 542441.237]",0.9869653497423444
"(542441.237, 600088.844]",0.9950814932584763
"(600088.844, 663862.915]",0.9910020331541697
"(663862.915, 734414.535]",0.9971753855546316
"(734414.535, 812463.986]",0.9966864122284783
"(812463.986, 898808.093]",0.9964960047176906
"(898808.093, 994328.368]",0.7965500147547573
"(994328.368, 1100000.0]",0.9941046833992004
