,Biotype,JunctionScore,Count
9,Negative,0,269068
10,Negative,1,38551
11,Negative,2,17381
12,Negative,3,10992
13,Negative,4,7597
14,Negative,5,5230
15,Negative,6,3827
16,Negative,7,2779
17,Negative,8,2165
18,Negative,9,1728
19,Negative,10,1474
20,Negative,11,1189
21,Negative,12,1006
22,Negative,13,817
23,Negative,14,785
24,Negative,15,648
25,Negative,16,579
26,Negative,17,549
27,Negative,18,473
28,Negative,19,412
29,Negative,20,386
30,Negative,21,326
31,Negative,22,314
32,Negative,23,269
33,Negative,24,263
34,Negative,25,218
35,Negative,26,209
36,Negative,27,193
37,Negative,28,211
38,Negative,29,196
39,Negative,30,181
40,Negative,31,183
41,Negative,32,207
42,Negative,33,174
43,Negative,34,227
44,Negative,35,207
45,Negative,36,217
46,Negative,37,236
47,Negative,38,277
48,Negative,39,307
49,Negative,40,387
50,Negative,41,367
51,Negative,42,410
52,Negative,43,418
53,Negative,44,468
54,Negative,45,541
55,Negative,46,578
56,Negative,47,588
57,Negative,48,710
58,Negative,49,910
59,Negative,50,1525
60,Negative,51,731
61,Negative,52,368
62,Negative,53,234
63,Negative,54,148
64,Negative,55,122
65,Negative,56,94
66,Negative,57,57
67,Negative,58,53
68,Negative,59,46
69,Negative,60,33
70,Negative,61,29
71,Negative,62,23
72,Negative,63,30
73,Negative,64,26
74,Negative,65,20
75,Negative,66,16
76,Negative,67,25
77,Negative,68,11
78,Negative,69,13
79,Negative,70,9
80,Negative,71,14
81,Negative,72,21
82,Negative,73,14
83,Negative,74,8
84,Negative,75,9
85,Negative,76,12
86,Negative,77,12
87,Negative,78,11
88,Negative,79,9
89,Negative,80,10
90,Negative,81,7
91,Negative,82,8
92,Negative,83,6
93,Negative,84,6
94,Negative,85,11
95,Negative,86,10
96,Negative,87,10
97,Negative,88,14
98,Negative,89,19
99,Negative,90,13
100,Negative,91,14
101,Negative,92,19
102,Negative,93,21
103,Negative,94,13
104,Negative,95,12
105,Negative,96,11
106,Negative,97,22
107,Negative,98,16
108,Negative,99,17
109,Negative,100,7
265,mRNA,0,232
266,mRNA,1,75
267,mRNA,2,35
268,mRNA,3,43
269,mRNA,4,34
270,mRNA,5,31
271,mRNA,6,22
272,mRNA,7,13
273,mRNA,8,12
274,mRNA,9,20
275,mRNA,10,16
276,mRNA,11,11
277,mRNA,12,11
278,mRNA,13,10
279,mRNA,14,11
280,mRNA,15,6
281,mRNA,16,10
282,mRNA,17,14
283,mRNA,18,5
284,mRNA,19,11
285,mRNA,20,6
286,mRNA,21,6
287,mRNA,22,9
288,mRNA,23,4
289,mRNA,24,5
290,mRNA,25,7
291,mRNA,26,3
292,mRNA,27,12
293,mRNA,28,15
294,mRNA,29,28
295,mRNA,30,10
296,mRNA,31,5
297,mRNA,32,4
298,mRNA,33,10
299,mRNA,34,19
300,mRNA,35,6
301,mRNA,36,13
302,mRNA,37,4
303,mRNA,38,18
304,mRNA,39,24
305,mRNA,40,9
306,mRNA,41,11
307,mRNA,42,9
308,mRNA,43,11
309,mRNA,44,13
310,mRNA,45,23
311,mRNA,46,23
312,mRNA,47,25
313,mRNA,48,33
314,mRNA,49,79
315,mRNA,50,392
316,mRNA,51,392
317,mRNA,52,389
318,mRNA,53,421
319,mRNA,54,380
320,mRNA,55,365
321,mRNA,56,361
322,mRNA,57,295
323,mRNA,58,308
324,mRNA,59,258
325,mRNA,60,257
326,mRNA,61,220
327,mRNA,62,193
328,mRNA,63,207
329,mRNA,64,222
330,mRNA,65,245
331,mRNA,66,196
332,mRNA,67,190
333,mRNA,68,160
334,mRNA,69,149
335,mRNA,70,144
336,mRNA,71,163
337,mRNA,72,134
338,mRNA,73,130
339,mRNA,74,162
340,mRNA,75,146
341,mRNA,76,132
342,mRNA,77,146
343,mRNA,78,159
344,mRNA,79,168
345,mRNA,80,159
346,mRNA,81,212
347,mRNA,82,217
348,mRNA,83,227
349,mRNA,84,290
350,mRNA,85,344
351,mRNA,86,367
352,mRNA,87,445
353,mRNA,88,492
354,mRNA,89,621
355,mRNA,90,845
356,mRNA,91,921
357,mRNA,92,1128
358,mRNA,93,1397
359,mRNA,94,1899
360,mRNA,95,2578
361,mRNA,96,3559
362,mRNA,97,5606
363,mRNA,98,9698
364,mRNA,99,26878
365,mRNA,100,186921
370,transcript,0,24
371,transcript,1,10
372,transcript,2,6
373,transcript,3,8
374,transcript,4,7
375,transcript,5,2
376,transcript,6,5
377,transcript,7,4
378,transcript,8,7
379,transcript,9,1
380,transcript,10,2
804,transcript,11,0
381,transcript,12,5
382,transcript,13,3
383,transcript,14,4
384,transcript,15,5
385,transcript,16,4
386,transcript,17,2
805,transcript,18,0
387,transcript,19,4
388,transcript,20,2
389,transcript,21,3
390,transcript,22,2
391,transcript,23,1
392,transcript,24,4
393,transcript,25,2
394,transcript,26,3
395,transcript,27,2
806,transcript,28,0
396,transcript,29,4
397,transcript,30,4
398,transcript,31,1
399,transcript,32,3
807,transcript,33,0
400,transcript,34,4
401,transcript,35,2
402,transcript,36,3
403,transcript,37,1
404,transcript,38,2
405,transcript,39,1
406,transcript,40,3
407,transcript,41,1
408,transcript,42,7
409,transcript,43,2
410,transcript,44,5
411,transcript,45,2
412,transcript,46,6
413,transcript,47,5
414,transcript,48,10
415,transcript,49,2
416,transcript,50,95
417,transcript,51,95
418,transcript,52,75
419,transcript,53,100
420,transcript,54,100
421,transcript,55,91
422,transcript,56,94
423,transcript,57,72
424,transcript,58,72
425,transcript,59,59
426,transcript,60,53
427,transcript,61,67
428,transcript,62,56
429,transcript,63,57
430,transcript,64,50
431,transcript,65,50
432,transcript,66,44
433,transcript,67,46
434,transcript,68,39
435,transcript,69,47
436,transcript,70,38
437,transcript,71,34
438,transcript,72,34
439,transcript,73,36
440,transcript,74,43
441,transcript,75,30
442,transcript,76,27
443,transcript,77,29
444,transcript,78,44
445,transcript,79,47
446,transcript,80,44
447,transcript,81,31
448,transcript,82,63
449,transcript,83,49
450,transcript,84,77
451,transcript,85,71
452,transcript,86,110
453,transcript,87,123
454,transcript,88,158
455,transcript,89,163
456,transcript,90,213
457,transcript,91,246
458,transcript,92,318
459,transcript,93,395
460,transcript,94,548
461,transcript,95,698
462,transcript,96,943
463,transcript,97,1585
464,transcript,98,2658
465,transcript,99,7628
466,transcript,100,52202
164,lnc_RNA,0,21
165,lnc_RNA,1,25
166,lnc_RNA,2,15
167,lnc_RNA,3,7
168,lnc_RNA,4,8
169,lnc_RNA,5,7
170,lnc_RNA,6,8
171,lnc_RNA,7,3
172,lnc_RNA,8,4
173,lnc_RNA,9,15
174,lnc_RNA,10,7
175,lnc_RNA,11,6
176,lnc_RNA,12,14
177,lnc_RNA,13,9
178,lnc_RNA,14,4
179,lnc_RNA,15,7
180,lnc_RNA,16,12
181,lnc_RNA,17,7
182,lnc_RNA,18,5
183,lnc_RNA,19,5
184,lnc_RNA,20,9
185,lnc_RNA,21,7
186,lnc_RNA,22,9
187,lnc_RNA,23,2
188,lnc_RNA,24,3
189,lnc_RNA,25,1
190,lnc_RNA,26,7
191,lnc_RNA,27,1
192,lnc_RNA,28,6
193,lnc_RNA,29,4
194,lnc_RNA,30,5
195,lnc_RNA,31,2
196,lnc_RNA,32,3
197,lnc_RNA,33,4
198,lnc_RNA,34,3
199,lnc_RNA,35,2
200,lnc_RNA,36,4
201,lnc_RNA,37,6
202,lnc_RNA,38,6
203,lnc_RNA,39,7
204,lnc_RNA,40,7
205,lnc_RNA,41,7
206,lnc_RNA,42,11
207,lnc_RNA,43,7
208,lnc_RNA,44,14
209,lnc_RNA,45,13
210,lnc_RNA,46,13
211,lnc_RNA,47,28
212,lnc_RNA,48,22
213,lnc_RNA,49,50
214,lnc_RNA,50,137
215,lnc_RNA,51,163
216,lnc_RNA,52,125
217,lnc_RNA,53,154
218,lnc_RNA,54,150
219,lnc_RNA,55,159
220,lnc_RNA,56,154
221,lnc_RNA,57,126
222,lnc_RNA,58,129
223,lnc_RNA,59,93
224,lnc_RNA,60,96
225,lnc_RNA,61,107
226,lnc_RNA,62,75
227,lnc_RNA,63,69
228,lnc_RNA,64,85
229,lnc_RNA,65,82
230,lnc_RNA,66,77
231,lnc_RNA,67,70
232,lnc_RNA,68,65
233,lnc_RNA,69,81
234,lnc_RNA,70,74
235,lnc_RNA,71,65
236,lnc_RNA,72,58
237,lnc_RNA,73,59
238,lnc_RNA,74,52
239,lnc_RNA,75,93
240,lnc_RNA,76,72
241,lnc_RNA,77,51
242,lnc_RNA,78,65
243,lnc_RNA,79,82
244,lnc_RNA,80,62
245,lnc_RNA,81,106
246,lnc_RNA,82,103
247,lnc_RNA,83,115
248,lnc_RNA,84,119
249,lnc_RNA,85,149
250,lnc_RNA,86,200
251,lnc_RNA,87,211
252,lnc_RNA,88,280
253,lnc_RNA,89,304
254,lnc_RNA,90,405
255,lnc_RNA,91,533
256,lnc_RNA,92,642
257,lnc_RNA,93,765
258,lnc_RNA,94,1046
259,lnc_RNA,95,1364
260,lnc_RNA,96,1949
261,lnc_RNA,97,2973
262,lnc_RNA,98,5018
263,lnc_RNA,99,11311
264,lnc_RNA,100,26512
559,V_gene_segment,0,0
110,V_gene_segment,1,1
111,V_gene_segment,2,1
560,V_gene_segment,3,0
112,V_gene_segment,4,2
113,V_gene_segment,5,1
561,V_gene_segment,6,0
562,V_gene_segment,7,0
563,V_gene_segment,8,0
114,V_gene_segment,9,1
564,V_gene_segment,10,0
115,V_gene_segment,11,2
565,V_gene_segment,12,0
566,V_gene_segment,13,0
567,V_gene_segment,14,0
568,V_gene_segment,15,0
569,V_gene_segment,16,0
570,V_gene_segment,17,0
571,V_gene_segment,18,0
116,V_gene_segment,19,1
572,V_gene_segment,20,0
573,V_gene_segment,21,0
574,V_gene_segment,22,0
575,V_gene_segment,23,0
576,V_gene_segment,24,0
577,V_gene_segment,25,0
578,V_gene_segment,26,0
579,V_gene_segment,27,0
580,V_gene_segment,28,0
581,V_gene_segment,29,0
582,V_gene_segment,30,0
583,V_gene_segment,31,0
584,V_gene_segment,32,0
117,V_gene_segment,33,1
585,V_gene_segment,34,0
118,V_gene_segment,35,1
586,V_gene_segment,36,0
119,V_gene_segment,37,1
120,V_gene_segment,38,1
587,V_gene_segment,39,0
588,V_gene_segment,40,0
589,V_gene_segment,41,0
590,V_gene_segment,42,0
591,V_gene_segment,43,0
592,V_gene_segment,44,0
593,V_gene_segment,45,0
594,V_gene_segment,46,0
595,V_gene_segment,47,0
121,V_gene_segment,48,2
122,V_gene_segment,49,2
123,V_gene_segment,50,21
124,V_gene_segment,51,9
125,V_gene_segment,52,11
126,V_gene_segment,53,5
127,V_gene_segment,54,5
128,V_gene_segment,55,2
129,V_gene_segment,56,1
130,V_gene_segment,57,2
131,V_gene_segment,58,2
132,V_gene_segment,59,1
133,V_gene_segment,60,1
134,V_gene_segment,61,3
596,V_gene_segment,62,0
597,V_gene_segment,63,0
135,V_gene_segment,64,1
598,V_gene_segment,65,0
599,V_gene_segment,66,0
136,V_gene_segment,67,2
600,V_gene_segment,68,0
601,V_gene_segment,69,0
602,V_gene_segment,70,0
137,V_gene_segment,71,1
138,V_gene_segment,72,2
603,V_gene_segment,73,0
604,V_gene_segment,74,0
605,V_gene_segment,75,0
606,V_gene_segment,76,0
607,V_gene_segment,77,0
139,V_gene_segment,78,4
608,V_gene_segment,79,0
609,V_gene_segment,80,0
610,V_gene_segment,81,0
140,V_gene_segment,82,3
141,V_gene_segment,83,2
611,V_gene_segment,84,0
142,V_gene_segment,85,1
143,V_gene_segment,86,1
144,V_gene_segment,87,2
612,V_gene_segment,88,0
145,V_gene_segment,89,1
613,V_gene_segment,90,0
146,V_gene_segment,91,2
614,V_gene_segment,92,0
147,V_gene_segment,93,14
148,V_gene_segment,94,11
149,V_gene_segment,95,15
150,V_gene_segment,96,13
151,V_gene_segment,97,25
152,V_gene_segment,98,32
153,V_gene_segment,99,100
154,V_gene_segment,100,248
467,C_gene_segment,0,0
468,C_gene_segment,1,0
469,C_gene_segment,2,0
470,C_gene_segment,3,0
0,C_gene_segment,4,2
471,C_gene_segment,5,0
472,C_gene_segment,6,0
473,C_gene_segment,7,0
474,C_gene_segment,8,0
475,C_gene_segment,9,0
476,C_gene_segment,10,0
477,C_gene_segment,11,0
478,C_gene_segment,12,0
479,C_gene_segment,13,0
480,C_gene_segment,14,0
481,C_gene_segment,15,0
482,C_gene_segment,16,0
483,C_gene_segment,17,0
484,C_gene_segment,18,0
485,C_gene_segment,19,0
486,C_gene_segment,20,0
487,C_gene_segment,21,0
488,C_gene_segment,22,0
489,C_gene_segment,23,0
490,C_gene_segment,24,0
491,C_gene_segment,25,0
492,C_gene_segment,26,0
493,C_gene_segment,27,0
494,C_gene_segment,28,0
495,C_gene_segment,29,0
496,C_gene_segment,30,0
497,C_gene_segment,31,0
498,C_gene_segment,32,0
499,C_gene_segment,33,0
500,C_gene_segment,34,0
501,C_gene_segment,35,0
502,C_gene_segment,36,0
503,C_gene_segment,37,0
504,C_gene_segment,38,0
505,C_gene_segment,39,0
506,C_gene_segment,40,0
507,C_gene_segment,41,0
508,C_gene_segment,42,0
509,C_gene_segment,43,0
510,C_gene_segment,44,0
511,C_gene_segment,45,0
512,C_gene_segment,46,0
513,C_gene_segment,47,0
514,C_gene_segment,48,0
515,C_gene_segment,49,0
1,C_gene_segment,50,2
516,C_gene_segment,51,0
517,C_gene_segment,52,0
518,C_gene_segment,53,0
519,C_gene_segment,54,0
520,C_gene_segment,55,0
521,C_gene_segment,56,0
522,C_gene_segment,57,0
523,C_gene_segment,58,0
524,C_gene_segment,59,0
525,C_gene_segment,60,0
526,C_gene_segment,61,0
527,C_gene_segment,62,0
528,C_gene_segment,63,0
529,C_gene_segment,64,0
530,C_gene_segment,65,0
531,C_gene_segment,66,0
532,C_gene_segment,67,0
2,C_gene_segment,68,2
533,C_gene_segment,69,0
534,C_gene_segment,70,0
535,C_gene_segment,71,0
536,C_gene_segment,72,0
537,C_gene_segment,73,0
538,C_gene_segment,74,0
539,C_gene_segment,75,0
540,C_gene_segment,76,0
541,C_gene_segment,77,0
542,C_gene_segment,78,0
543,C_gene_segment,79,0
544,C_gene_segment,80,0
545,C_gene_segment,81,0
546,C_gene_segment,82,0
3,C_gene_segment,83,1
547,C_gene_segment,84,0
548,C_gene_segment,85,0
549,C_gene_segment,86,0
550,C_gene_segment,87,0
551,C_gene_segment,88,0
552,C_gene_segment,89,0
4,C_gene_segment,90,2
553,C_gene_segment,91,0
554,C_gene_segment,92,0
555,C_gene_segment,93,0
556,C_gene_segment,94,0
557,C_gene_segment,95,0
558,C_gene_segment,96,0
5,C_gene_segment,97,2
6,C_gene_segment,98,2
7,C_gene_segment,99,16
8,C_gene_segment,100,68
366,tRNA,0,38
367,tRNA,1,3
368,tRNA,2,1
707,tRNA,3,0
708,tRNA,4,0
709,tRNA,5,0
710,tRNA,6,0
711,tRNA,7,0
712,tRNA,8,0
713,tRNA,9,0
714,tRNA,10,0
715,tRNA,11,0
716,tRNA,12,0
717,tRNA,13,0
718,tRNA,14,0
719,tRNA,15,0
720,tRNA,16,0
721,tRNA,17,0
722,tRNA,18,0
723,tRNA,19,0
724,tRNA,20,0
725,tRNA,21,0
726,tRNA,22,0
727,tRNA,23,0
728,tRNA,24,0
729,tRNA,25,0
730,tRNA,26,0
731,tRNA,27,0
732,tRNA,28,0
733,tRNA,29,0
734,tRNA,30,0
735,tRNA,31,0
736,tRNA,32,0
737,tRNA,33,0
738,tRNA,34,0
739,tRNA,35,0
740,tRNA,36,0
741,tRNA,37,0
742,tRNA,38,0
743,tRNA,39,0
744,tRNA,40,0
745,tRNA,41,0
746,tRNA,42,0
747,tRNA,43,0
748,tRNA,44,0
749,tRNA,45,0
