,Biotype,JunctionScore,Count
11,Negative,0,348615
12,Negative,1,11094
13,Negative,2,4245
14,Negative,3,2337
15,Negative,4,1574
16,Negative,5,1022
17,Negative,6,797
18,Negative,7,601
19,Negative,8,411
20,Negative,9,339
21,Negative,10,310
22,Negative,11,253
23,Negative,12,218
24,Negative,13,190
25,Negative,14,178
26,Negative,15,153
27,Negative,16,148
28,Negative,17,148
29,Negative,18,131
30,Negative,19,136
31,Negative,20,116
32,Negative,21,99
33,Negative,22,119
34,Negative,23,108
35,Negative,24,132
36,Negative,25,80
37,Negative,26,100
38,Negative,27,92
39,Negative,28,120
40,Negative,29,91
41,Negative,30,106
42,Negative,31,105
43,Negative,32,107
44,Negative,33,130
45,Negative,34,122
46,Negative,35,135
47,Negative,36,139
48,Negative,37,155
49,Negative,38,212
50,Negative,39,197
51,Negative,40,207
52,Negative,41,260
53,Negative,42,267
54,Negative,43,314
55,Negative,44,357
56,Negative,45,389
57,Negative,46,380
58,Negative,47,502
59,Negative,48,681
60,Negative,49,1215
61,Negative,50,979
62,Negative,51,94
63,Negative,52,59
64,Negative,53,29
65,Negative,54,28
66,Negative,55,25
67,Negative,56,10
68,Negative,57,13
69,Negative,58,12
70,Negative,59,8
71,Negative,60,8
72,Negative,61,9
73,Negative,62,5
74,Negative,63,11
75,Negative,64,3
76,Negative,65,3
77,Negative,66,2
78,Negative,67,6
79,Negative,68,5
80,Negative,69,5
81,Negative,70,4
82,Negative,71,7
83,Negative,72,5
84,Negative,73,1
85,Negative,74,6
86,Negative,75,3
87,Negative,76,6
88,Negative,77,5
89,Negative,78,3
90,Negative,79,5
91,Negative,80,1
92,Negative,81,3
93,Negative,82,4
94,Negative,83,4
95,Negative,84,6
96,Negative,85,8
97,Negative,86,4
98,Negative,87,5
99,Negative,88,10
100,Negative,89,4
101,Negative,90,5
102,Negative,91,5
103,Negative,92,8
104,Negative,93,7
105,Negative,94,5
106,Negative,95,4
107,Negative,96,5
108,Negative,97,10
109,Negative,98,9
110,Negative,99,12
111,Negative,100,2
274,mRNA,0,515
275,mRNA,1,106
276,mRNA,2,42
277,mRNA,3,48
278,mRNA,4,33
279,mRNA,5,26
280,mRNA,6,24
281,mRNA,7,17
282,mRNA,8,28
283,mRNA,9,16
284,mRNA,10,12
285,mRNA,11,10
286,mRNA,12,22
287,mRNA,13,6
704,mRNA,14,0
288,mRNA,15,10
289,mRNA,16,5
290,mRNA,17,5
291,mRNA,18,7
292,mRNA,19,3
293,mRNA,20,4
294,mRNA,21,3
295,mRNA,22,9
296,mRNA,23,7
297,mRNA,24,10
298,mRNA,25,11
299,mRNA,26,5
300,mRNA,27,3
301,mRNA,28,4
302,mRNA,29,9
303,mRNA,30,7
304,mRNA,31,9
305,mRNA,32,11
306,mRNA,33,4
307,mRNA,34,14
308,mRNA,35,7
309,mRNA,36,12
310,mRNA,37,12
311,mRNA,38,9
312,mRNA,39,16
313,mRNA,40,15
314,mRNA,41,18
315,mRNA,42,17
316,mRNA,43,19
317,mRNA,44,56
318,mRNA,45,26
319,mRNA,46,36
320,mRNA,47,57
321,mRNA,48,96
322,mRNA,49,257
323,mRNA,50,1327
324,mRNA,51,867
325,mRNA,52,723
326,mRNA,53,678
327,mRNA,54,600
328,mRNA,55,539
329,mRNA,56,440
330,mRNA,57,381
331,mRNA,58,343
332,mRNA,59,319
333,mRNA,60,261
334,mRNA,61,271
335,mRNA,62,245
336,mRNA,63,224
337,mRNA,64,208
338,mRNA,65,225
339,mRNA,66,237
340,mRNA,67,216
341,mRNA,68,183
342,mRNA,69,220
343,mRNA,70,174
344,mRNA,71,196
345,mRNA,72,178
346,mRNA,73,211
347,mRNA,74,230
348,mRNA,75,201
349,mRNA,76,204
350,mRNA,77,230
351,mRNA,78,254
352,mRNA,79,250
353,mRNA,80,279
354,mRNA,81,300
355,mRNA,82,359
356,mRNA,83,372
357,mRNA,84,388
358,mRNA,85,427
359,mRNA,86,554
360,mRNA,87,573
361,mRNA,88,725
362,mRNA,89,900
363,mRNA,90,982
364,mRNA,91,1353
365,mRNA,92,1554
366,mRNA,93,2025
367,mRNA,94,2578
368,mRNA,95,3511
369,mRNA,96,4798
370,mRNA,97,8255
371,mRNA,98,18738
372,mRNA,99,89985
373,mRNA,100,101965
378,transcript,0,71
