AcceptorLengthBin,AcceptorScore
"(20.0, 21.316]",0.7453691663629716
"(21.316, 22.719]",0.7914932807193318
"(22.719, 24.214]",0.7837511840149975
"(24.214, 25.808]",0.8200523414164688
"(25.808, 27.506]",0.7785465771788833
"(27.506, 29.317]",0.7969521527375257
"(29.317, 31.246]",0.7885498111730108
"(31.246, 33.302]",0.8103962613077408
"(33.302, 35.494]",0.7785081432977511
"(35.494, 37.83]",0.8200597264034245
"(37.83, 40.319]",0.83507578775301
"(40.319, 42.973]",0.8283579115812614
"(42.973, 45.801]",0.8361939195405588
"(45.801, 48.815]",0.802743432252695
"(48.815, 52.028]",0.8567420242178815
"(52.028, 55.452]",0.8737563413513961
"(55.452, 59.101]",0.8281750389232744
"(59.101, 62.991]",0.8541731507549363
"(62.991, 67.136]",0.8569358909317739
"(67.136, 71.555]",0.8463420873861619
"(71.555, 76.264]",0.8730656197589123
"(76.264, 81.283]",0.8713586923128186
"(81.283, 86.632]",0.8772325159865699
"(86.632, 92.334]",0.8857497190884462
"(92.334, 98.41]",0.8923999395026792
"(98.41, 104.887]",0.8989900969445493
"(104.887, 111.79]",0.9060459689681553
"(111.79, 119.147]",0.9148181126882837
"(119.147, 126.988]",0.9208686818236984
"(126.988, 135.345]",0.929271712598178
"(135.345, 144.253]",0.930059446550528
"(144.253, 153.746]",0.9403335280802556
"(153.746, 163.864]",0.9490461635516749
"(163.864, 174.648]",0.9540013935007181
"(174.648, 186.142]",0.9526999704880015
"(186.142, 198.393]",0.9565275898318277
"(198.393, 211.449]",0.9665936288630487
"(211.449, 225.365]",0.9615534000835241
"(225.365, 240.197]",0.9630821523823312
"(240.197, 256.004]",0.9602924133823184
"(256.004, 272.852]",0.9616111073105033
"(272.852, 290.809]",0.9655790944654934
"(290.809, 309.948]",0.962214611621684
"(309.948, 330.346]",0.9499490667837629
"(330.346, 352.087]",0.9489928921954608
"(352.087, 375.258]",0.9505857376400766
"(375.258, 399.954]",0.9476345179499482
"(399.954, 426.276]",0.9484381976772877
"(426.276, 454.33]",0.9460066748482253
"(454.33, 484.23]",0.9553641134013326
"(484.23, 516.098]",0.9571754729254912
"(516.098, 550.063]",0.9542959454002315
"(550.063, 586.263]",0.950285728917602
"(586.263, 624.846]",0.9461227502027887
"(624.846, 665.969]",0.9415783874804272
"(665.969, 709.797]",0.9579978662691254
"(709.797, 756.51]",0.9483944568108383
"(756.51, 806.297]",0.9494596305820504
"(806.297, 859.361]",0.9449853003160309
"(859.361, 915.916]",0.9495181136912485
"(915.916, 976.194]",0.9571545945921119
"(976.194, 1040.439]",0.9526394185707872
"(1040.439, 1108.912]",0.9501841576089214
"(1108.912, 1181.891]",0.9371303335495271
"(1181.891, 1259.674]",0.9513457707470779
"(1259.674, 1342.575]",0.9532050986148398
"(1342.575, 1430.932]",0.9485933164593411
"(1430.932, 1525.103]",0.9488630788722554
"(1525.103, 1625.473]",0.9639308491049261
"(1625.473, 1732.448]",0.9590245898824651
"(1732.448, 1846.463]",0.9576121501932418
"(1846.463, 1967.982]",0.9476624408012745
"(1967.982, 2097.498]",0.9527178598174798
"(2097.498, 2235.537]",0.955982585731929
"(2235.537, 2382.661]",0.9625650056811569
"(2382.661, 2539.468]",0.963510138552552
"(2539.468, 2706.595]",0.9634441551212743
"(2706.595, 2884.72]",0.9556467894248989
"(2884.72, 3074.568]",0.9585381451671906
"(3074.568, 3276.91]",0.9601168397109808
"(3276.91, 3492.568]",0.964279233070077
"(3492.568, 3722.42]",0.9435883572265533
"(3722.42, 3967.398]",0.9594504344255419
"(3967.398, 4228.499]",0.9599359875523009
"(4228.499, 4506.783]",0.9582998918167505
"(4506.783, 4803.381]",0.9471183550068839
"(4803.381, 5119.5]",0.9787110285699475
"(5119.5, 5456.422]",0.9549964649017528
"(5456.422, 5815.518]",0.9605945694466114
"(5815.518, 6198.246]",0.9560796283879838
"(6198.246, 6606.162]",0.9517415242295643
"(6606.162, 7040.924]",0.95879043541151
"(7040.924, 7504.298]",0.9474286320786961
"(7504.298, 7998.168]",0.9311216123081719
"(7998.168, 8524.54]",0.9097886391353295
"(8524.54, 9085.554]",0.9479872147023847
"(9085.554, 9683.488]",0.9552478193986735
"(9683.488, 10320.774]",0.9750342111118631
"(10320.774, 11000.0]",0.8922450101398612
