AcceptorLengthBin,AcceptorScore
"(20.0, 21.316]",0.5322051138769304
"(21.316, 22.719]",0.4913259438271761
"(22.719, 24.214]",0.49895617268741876
"(24.214, 25.808]",0.4668313246412304
"(25.808, 27.506]",0.5249184186431368
"(27.506, 29.317]",0.4572599716095016
"(29.317, 31.246]",0.5514706885775666
"(31.246, 33.302]",0.5395604150969663
"(33.302, 35.494]",0.5314900615466025
"(35.494, 37.83]",0.590064954721192
"(37.83, 40.319]",0.5579432861942201
"(40.319, 42.973]",0.5414574565276177
"(42.973, 45.801]",0.5564511617653362
"(45.801, 48.815]",0.5209979400146334
"(48.815, 52.028]",0.47643799224345884
"(52.028, 55.452]",0.5459864454162875
"(55.452, 59.101]",0.5322380110933386
"(59.101, 62.991]",0.5460115480857144
"(62.991, 67.136]",0.5551945112246484
"(67.136, 71.555]",0.5484981654501094
"(71.555, 76.264]",0.5317277755263952
"(76.264, 81.283]",0.5410252665376655
"(81.283, 86.632]",0.5458228989421569
"(86.632, 92.334]",0.538669438282875
"(92.334, 98.41]",0.5381277791340453
"(98.41, 104.887]",0.5326561019177197
"(104.887, 111.79]",0.5409724170407744
"(111.79, 119.147]",0.5506248039803018
"(119.147, 126.988]",0.5465621226555578
"(126.988, 135.345]",0.5400583592181302
"(135.345, 144.253]",0.5491245489822265
"(144.253, 153.746]",0.55364667457709
"(153.746, 163.864]",0.5667824561270327
"(163.864, 174.648]",0.5719215841942092
"(174.648, 186.142]",0.5623900076163872
"(186.142, 198.393]",0.5644360422935326
"(198.393, 211.449]",0.649600205158048
"(211.449, 225.365]",0.6536278900954894
"(225.365, 240.197]",0.6526784289252862
"(240.197, 256.004]",0.6638961343556933
"(256.004, 272.852]",0.6671458439831278
"(272.852, 290.809]",0.6758177404158371
"(290.809, 309.948]",0.7306322323536216
"(309.948, 330.346]",0.6707137660841802
"(330.346, 352.087]",0.6658865035218889
"(352.087, 375.258]",0.6650629184584161
"(375.258, 399.954]",0.6630339945879531
"(399.954, 426.276]",0.6587171878200543
"(426.276, 454.33]",0.6880767639917488
"(454.33, 484.23]",0.6738134989821414
"(484.23, 516.098]",0.6819741588746957
"(516.098, 550.063]",0.6860585425566844
"(550.063, 586.263]",0.6891251386118955
"(586.263, 624.846]",0.6855368154279917
"(624.846, 665.969]",0.6798916108879316
"(665.969, 709.797]",0.7302542144563855
"(709.797, 756.51]",0.6772349807403679
"(756.51, 806.297]",0.6825301573467116
"(806.297, 859.361]",0.6822119144124279
"(859.361, 915.916]",0.6930459913462246
"(915.916, 976.194]",0.7000578930662571
"(976.194, 1040.439]",0.6837135031558803
"(1040.439, 1108.912]",0.6791770038784479
"(1108.912, 1181.891]",0.6720363743975891
"(1181.891, 1259.674]",0.6867908472023471
"(1259.674, 1342.575]",0.6811682693213957
"(1342.575, 1430.932]",0.696800696316204
"(1430.932, 1525.103]",0.695156048474208
"(1525.103, 1625.473]",0.7079016590940397
"(1625.473, 1732.448]",0.6941068746781541
"(1732.448, 1846.463]",0.6910110567755954
"(1846.463, 1967.982]",0.6924057961123561
"(1967.982, 2097.498]",0.6881629842645943
"(2097.498, 2235.537]",0.6938787889309138
"(2235.537, 2382.661]",0.6883813926762309
"(2382.661, 2539.468]",0.7178331011329865
"(2539.468, 2706.595]",0.6825879102564095
"(2706.595, 2884.72]",0.6966764366788893
"(2884.72, 3074.568]",0.6930392637147593
"(3074.568, 3276.91]",0.707914734934342
"(3276.91, 3492.568]",0.7100490113166359
"(3492.568, 3722.42]",0.6860670627935734
"(3722.42, 3967.398]",0.7050439435723895
"(3967.398, 4228.499]",0.6864773030670228
"(4228.499, 4506.783]",0.7015863002328843
"(4506.783, 4803.381]",0.6871609567134805
"(4803.381, 5119.5]",0.7037377878671793
"(5119.5, 5456.422]",0.6891333920263631
"(5456.422, 5815.518]",0.7110775503677951
"(5815.518, 6198.246]",0.6991159815959131
"(6198.246, 6606.162]",0.6943452071223254
"(6606.162, 7040.924]",0.6864705276283298
"(7040.924, 7504.298]",0.6843836462286151
"(7504.298, 7998.168]",0.6640584538225858
"(7998.168, 8524.54]",0.6618277672956318
"(8524.54, 9085.554]",0.7057564444542723
"(9085.554, 9683.488]",0.6933179355207706
"(9683.488, 10320.774]",0.6668393660898605
"(10320.774, 11000.0]",0.6510434682332029
