DonorLengthBin,DonorScore
"(20.0, 21.316]",0.7484500485111235
"(21.316, 22.719]",0.6943554695019297
"(22.719, 24.214]",0.7081991253022164
"(24.214, 25.808]",0.7004078129371687
"(25.808, 27.506]",0.7236172650060552
"(27.506, 29.317]",0.7463992122352884
"(29.317, 31.246]",0.6993229452819112
"(31.246, 33.302]",0.7808980866436294
"(33.302, 35.494]",0.726811729279601
"(35.494, 37.83]",0.7406240617020283
"(37.83, 40.319]",0.7366264558248727
"(40.319, 42.973]",0.7453403114739151
"(42.973, 45.801]",0.7548136173150443
"(45.801, 48.815]",0.7667253251144023
"(48.815, 52.028]",0.7674042123845943
"(52.028, 55.452]",0.7878077058471528
"(55.452, 59.101]",0.7602118176736806
"(59.101, 62.991]",0.7530367107385526
"(62.991, 67.136]",0.7520188120654921
"(67.136, 71.555]",0.7519009667829122
"(71.555, 76.264]",0.7450233093104945
"(76.264, 81.283]",0.743721578688638
"(81.283, 86.632]",0.7425285171726553
"(86.632, 92.334]",0.746748743657583
"(92.334, 98.41]",0.7511288436851857
"(98.41, 104.887]",0.742643422355587
"(104.887, 111.79]",0.7460574613338419
"(111.79, 119.147]",0.7526920864609309
"(119.147, 126.988]",0.7523800837672975
"(126.988, 135.345]",0.7446573608183981
"(135.345, 144.253]",0.7374340932963332
"(144.253, 153.746]",0.7337864810306038
"(153.746, 163.864]",0.7290369361920633
"(163.864, 174.648]",0.7325365995192967
"(174.648, 186.142]",0.7246433024764424
"(186.142, 198.393]",0.7186361419813204
"(198.393, 211.449]",0.7152494713820258
"(211.449, 225.365]",0.7102625853669658
"(225.365, 240.197]",0.7157253277915895
"(240.197, 256.004]",0.727930352346109
"(256.004, 272.852]",0.7130607143584963
"(272.852, 290.809]",0.727415731032245
"(290.809, 309.948]",0.7509352497376405
"(309.948, 330.346]",0.734928331342323
"(330.346, 352.087]",0.7407688273309767
"(352.087, 375.258]",0.7272990935528056
"(375.258, 399.954]",0.7391889515710184
"(399.954, 426.276]",0.736774606572133
"(426.276, 454.33]",0.7330958343056208
"(454.33, 484.23]",0.7276923108318349
"(484.23, 516.098]",0.7237214093920492
"(516.098, 550.063]",0.741212987082608
"(550.063, 586.263]",0.7239092622063675
"(586.263, 624.846]",0.7378710028896357
"(624.846, 665.969]",0.7317420664224996
"(665.969, 709.797]",0.7374043580477824
"(709.797, 756.51]",0.7160830573306365
"(756.51, 806.297]",0.7367800493352679
"(806.297, 859.361]",0.716990085451165
"(859.361, 915.916]",0.7263243731352942
"(915.916, 976.194]",0.7147019866472571
"(976.194, 1040.439]",0.7209181600395678
"(1040.439, 1108.912]",0.7026840687340555
"(1108.912, 1181.891]",0.7413098477005987
"(1181.891, 1259.674]",0.7262287821131966
"(1259.674, 1342.575]",0.7107255735078529
"(1342.575, 1430.932]",0.7253568012110689
"(1430.932, 1525.103]",0.7138785901534549
"(1525.103, 1625.473]",0.7124831934741434
"(1625.473, 1732.448]",0.7185233436917888
"(1732.448, 1846.463]",0.7244269485429919
"(1846.463, 1967.982]",0.7276912719374676
"(1967.982, 2097.498]",0.7011670009879809
"(2097.498, 2235.537]",0.7129928485102096
"(2235.537, 2382.661]",0.7242978661739548
"(2382.661, 2539.468]",0.704070745718565
"(2539.468, 2706.595]",0.7064591727526084
"(2706.595, 2884.72]",0.6979657306033654
"(2884.72, 3074.568]",0.6839510928389035
"(3074.568, 3276.91]",0.7275372218393263
"(3276.91, 3492.568]",0.6660714272651911
"(3492.568, 3722.42]",0.6941252837700702
"(3722.42, 3967.398]",0.6886029039473491
"(3967.398, 4228.499]",0.6584138893205546
"(4228.499, 4506.783]",0.7246682996551196
"(4506.783, 4803.381]",0.6800383031483666
"(4803.381, 5119.5]",0.7237076742861134
"(5119.5, 5456.422]",0.7488403446229219
"(5456.422, 5815.518]",0.6766960737241553
"(5815.518, 6198.246]",0.6876635370981815
"(6198.246, 6606.162]",0.708346186805405
"(6606.162, 7040.924]",0.6794212325682416
"(7040.924, 7504.298]",0.6993375831343915
"(7504.298, 7998.168]",0.6833084003038464
"(7998.168, 8524.54]",0.6828841654760538
"(8524.54, 9085.554]",0.6560558437144962
"(9085.554, 9683.488]",0.6230774447321892
"(9683.488, 10320.774]",0.669020931024039
"(10320.774, 11000.0]",0.7250712466867346
