IntronLengthBin,AcceptorScore
"(50.0, 55.314]",0.23171534717521566
"(55.314, 61.192]",0.35242603541043915
"(61.192, 67.695]",0.5761011496224127
"(67.695, 74.89]",0.7646768068018922
"(74.89, 82.848]",0.8337654500037699
"(82.848, 91.653]",0.8755811605917668
"(91.653, 101.393]",0.8860927967606361
"(101.393, 112.169]",0.871035618929269
"(112.169, 124.09]",0.8687672641917649
"(124.09, 137.277]",0.885704811657845
"(137.277, 151.866]",0.8945499948542618
"(151.866, 168.006]",0.894002899747421
"(168.006, 185.861]",0.910830262608687
"(185.861, 205.613]",0.9263258369134825
"(205.613, 227.464]",0.9060546660201788
"(227.464, 251.638]",0.9055732937256351
"(251.638, 278.38]",0.9152443300513575
"(278.38, 307.965]",0.8995728480443939
"(307.965, 340.694]",0.9071712149837388
"(340.694, 376.901]",0.9026339619018173
"(376.901, 416.956]",0.9013640281356428
"(416.956, 461.267]",0.9085718878412831
"(461.267, 510.288]",0.9047492705939668
"(510.288, 564.519]",0.9023588327087079
"(564.519, 624.513]",0.9060001305546062
"(624.513, 690.883]",0.9072556403199727
"(690.883, 764.306]",0.9065535270227232
"(764.306, 845.532]",0.9156288508384137
"(845.532, 935.39]",0.9161989450171903
"(935.39, 1034.798]",0.9124180794024495
"(1034.798, 1144.771]",0.9163258052434875
"(1144.771, 1266.431]",0.9126936202376963
"(1266.431, 1401.02]",0.9133798067652552
"(1401.02, 1549.912]",0.9184012716770398
"(1549.912, 1714.628]",0.917427494660503
"(1714.628, 1896.849]",0.9212759912277239
"(1896.849, 2098.436]",0.9194952481543822
"(2098.436, 2321.446]",0.9183216823067929
"(2321.446, 2568.156]",0.9240752397672801
"(2568.156, 2841.085]",0.9211541230284439
"(2841.085, 3143.019]",0.9215673420154602
"(3143.019, 3477.042]",0.9317445739080081
"(3477.042, 3846.562]",0.9245722206821342
"(3846.562, 4255.353]",0.9191293994342447
"(4255.353, 4707.589]",0.9263984306018131
"(4707.589, 5207.885]",0.9250982956446131
"(5207.885, 5761.349]",0.9311581556220635
"(5761.349, 6373.633]",0.9238312690275046
"(6373.633, 7050.987]",0.9247468740728693
"(7050.987, 7800.326]",0.928688217626395
"(7800.326, 8629.301]",0.9319225322833594
"(8629.301, 9546.375]",0.9273422783674962
"(9546.375, 10560.91]",0.9268899073872289
"(10560.91, 11683.264]",0.9369168088220312
"(11683.264, 12924.896]",0.9395969146043652
"(12924.896, 14298.481]",0.9285541134065824
"(14298.481, 15818.043]",0.9376563416312373
"(15818.043, 17499.096]",0.9327370352867927
"(17499.096, 19358.802]",0.939228191680614
"(19358.802, 21416.146]",0.9448515746696546
"(21416.146, 23692.134]",0.9461968198373137
"(23692.134, 26210.001]",0.9406940391049294
"(26210.001, 28995.453]",0.9395248592948515
"(28995.453, 32076.926]",0.946303642548233
"(32076.926, 35485.882]",0.946503088235638
"(35485.882, 39257.122]",0.9532695766585267
"(39257.122, 43429.148]",0.944390697608173
"(43429.148, 48044.554]",0.9437392597498535
"(48044.554, 53150.46]",0.9590227045770393
"(53150.46, 58798.992]",0.9488812377461777
"(58798.992, 65047.818]",0.9568524028565829
"(65047.818, 71960.735]",0.9495389623015041
"(71960.735, 79608.318]",0.9543453827182062
"(79608.318, 88068.642]",0.9458129155016239
"(88068.642, 97428.083]",0.9495897568206767
"(97428.083, 107782.192]",0.9449665758060624
"(107782.192, 119236.678]",0.9612313686580046
"(119236.678, 131908.482]",0.9553632451006612
"(131908.482, 145926.974]",0.9553119441383048
"(145926.974, 161435.273]",0.9605844484000676
"(161435.273, 178591.707]",0.958996560273541
"(178591.707, 197571.43]",0.9687563998013992
"(197571.43, 218568.212]",0.9483559799099447
"(218568.212, 241796.413]",0.9664891788246807
"(241796.413, 267493.178]",0.9739119658867518
"(267493.178, 295920.85]",0.9645114729306694
"(295920.85, 327369.655]",0.9675884202261952
"(327369.655, 362160.663]",0.9641774134731598
"(362160.663, 400649.063]",0.9411514533344995
"(400649.063, 443227.795]",0.9631309420284297
"(443227.795, 490331.554]",0.9776096449178808
"(490331.554, 542441.237]",0.9609258776264531
"(542441.237, 600088.844]",0.9454784293659031
"(600088.844, 663862.915]",0.9964243074258169
"(663862.915, 734414.535]",0.998434434334437
"(734414.535, 812463.986]",0.8985065718491873
"(812463.986, 898808.093]",0.9972258721079145
"(898808.093, 994328.368]",0.7989298507221975
"(994328.368, 1100000.0]",0.9960502535104752
