,Biotype,JunctionScore,Count
37,Negative,0,344361
38,Negative,1,15076
39,Negative,2,4981
40,Negative,3,2699
41,Negative,4,1853
42,Negative,5,1372
43,Negative,6,1083
44,Negative,7,892
45,Negative,8,718
46,Negative,9,654
47,Negative,10,497
48,Negative,11,553
49,Negative,12,456
50,Negative,13,415
51,Negative,14,375
52,Negative,15,330
53,Negative,16,362
54,Negative,17,284
55,Negative,18,294
56,Negative,19,252
57,Negative,20,248
58,Negative,21,241
59,Negative,22,223
60,Negative,23,216
61,Negative,24,223
62,Negative,25,195
63,Negative,26,211
64,Negative,27,199
65,Negative,28,177
66,Negative,29,186
67,Negative,30,157
68,Negative,31,143
69,Negative,32,173
70,Negative,33,139
71,Negative,34,138
72,Negative,35,120
73,Negative,36,138
74,Negative,37,135
75,Negative,38,104
76,Negative,39,92
77,Negative,40,83
78,Negative,41,77
79,Negative,42,61
80,Negative,43,33
81,Negative,44,37
82,Negative,45,22
83,Negative,46,30
84,Negative,47,22
85,Negative,48,10
86,Negative,49,11
87,Negative,50,8
88,Negative,51,3
89,Negative,52,3
90,Negative,53,5
91,Negative,54,4
92,Negative,55,3
573,Negative,56,0
93,Negative,57,1
574,Negative,58,0
94,Negative,59,1
95,Negative,60,1
96,Negative,61,3
575,Negative,62,0
97,Negative,63,1
98,Negative,64,1
576,Negative,65,0
577,Negative,66,0
99,Negative,67,3
100,Negative,68,1
578,Negative,69,0
101,Negative,70,1
102,Negative,71,1
103,Negative,72,1
579,Negative,73,0
580,Negative,74,0
581,Negative,75,0
582,Negative,76,0
583,Negative,77,0
584,Negative,78,0
585,Negative,79,0
586,Negative,80,0
587,Negative,81,0
588,Negative,82,0
589,Negative,83,0
590,Negative,84,0
591,Negative,85,0
592,Negative,86,0
593,Negative,87,0
594,Negative,88,0
595,Negative,89,0
596,Negative,90,0
597,Negative,91,0
598,Negative,92,0
599,Negative,93,0
600,Negative,94,0
601,Negative,95,0
602,Negative,96,0
603,Negative,97,0
604,Negative,98,0
605,Negative,99,0
606,Negative,100,0
305,mRNA,0,807
306,mRNA,1,93
307,mRNA,2,61
308,mRNA,3,71
309,mRNA,4,54
310,mRNA,5,55
311,mRNA,6,54
312,mRNA,7,61
313,mRNA,8,72
314,mRNA,9,58
315,mRNA,10,64
316,mRNA,11,63
317,mRNA,12,70
318,mRNA,13,94
319,mRNA,14,117
320,mRNA,15,115
321,mRNA,16,118
322,mRNA,17,155
323,mRNA,18,165
324,mRNA,19,200
325,mRNA,20,208
326,mRNA,21,214
327,mRNA,22,219
328,mRNA,23,268
329,mRNA,24,323
330,mRNA,25,321
331,mRNA,26,386
332,mRNA,27,393
333,mRNA,28,407
334,mRNA,29,495
335,mRNA,30,538
336,mRNA,31,591
337,mRNA,32,664
338,mRNA,33,760
339,mRNA,34,844
340,mRNA,35,953
341,mRNA,36,1095
342,mRNA,37,1248
343,mRNA,38,1434
344,mRNA,39,1528
345,mRNA,40,1627
346,mRNA,41,1782
347,mRNA,42,2096
348,mRNA,43,2111
349,mRNA,44,2370
350,mRNA,45,2640
351,mRNA,46,2638
352,mRNA,47,3015
353,mRNA,48,3103
354,mRNA,49,3342
355,mRNA,50,3632
356,mRNA,51,3731
357,mRNA,52,3854
358,mRNA,53,3981
359,mRNA,54,4249
360,mRNA,55,4460
361,mRNA,56,4507
362,mRNA,57,4729
363,mRNA,58,4928
364,mRNA,59,4985
365,mRNA,60,5066
366,mRNA,61,5083
367,mRNA,62,5361
368,mRNA,63,5506
369,mRNA,64,5468
370,mRNA,65,5659
371,mRNA,66,5754
372,mRNA,67,5814
373,mRNA,68,5862
374,mRNA,69,5986
375,mRNA,70,5994
376,mRNA,71,5906
377,mRNA,72,5977
378,mRNA,73,5848
