,Run,Dataset,F1_Base
1,DRAGEN 4.0.3 default,human T1 R2,98.7051714531733
2,DRAGEN 4.0.3 default,human T1 R3,98.7051714531733
3,DRAGEN 4.0.3 default,human T2 R2,98.4630454430058
4,DRAGEN 4.0.3 default,human T2 R3,98.4681559707555
5,DRAGEN 4.0.3 default,human T3 R2,94.2304569280458
6,DRAGEN 4.0.3 default,human T3 R3,94.2195033095049
7,DRAGEN 4.0.3 default,malaria T1 R2,98.8492686627554
8,DRAGEN 4.0.3 default,malaria T1 R3,98.8341625777733
9,DRAGEN 4.0.3 default,malaria T2 R2,98.2782013327229
10,DRAGEN 4.0.3 default,malaria T2 R3,98.2935937341064
11,DRAGEN 4.0.3 default,malaria T3 R2,91.5187548934319
12,DRAGEN 4.0.3 default,malaria T3 R3,91.5589467391304
137,DRAGEN 4.0.3 default,human T1 R1,98.7051714531733
138,DRAGEN 4.0.3 default,human T2 R1,98.4632647880173
139,DRAGEN 4.0.3 default,human T3 R1,94.2295250701541
140,DRAGEN 4.0.3 default,malaria T1 R1,98.844372060088
141,DRAGEN 4.0.3 default,malaria T2 R1,98.2633292633293
142,DRAGEN 4.0.3 default,malaria T3 R1,91.5445670489754
13,DeepSAP MS150,human T1 R2,98.633348540146
14,DeepSAP MS150,human T1 R3,98.633348540146
15,DeepSAP MS150,human T2 R2,98.4426612493652
16,DeepSAP MS150,human T2 R3,98.4475750342796
17,DeepSAP MS150,human T3 R2,94.3695755715495
18,DeepSAP MS150,human T3 R3,94.3695755715495
19,DeepSAP MS150,malaria T1 R2,98.9619965646155
20,DeepSAP MS150,malaria T1 R3,98.9570858384277
21,DeepSAP MS150,malaria T2 R2,98.6412326406488
22,DeepSAP MS150,malaria T2 R3,98.6265118872611
23,DeepSAP MS150,malaria T3 R2,94.0493029675638
24,DeepSAP MS150,malaria T3 R3,94.0793461762989
725,DeepSAP MS150,human T1 R1,98.633348540146
825,DeepSAP MS150,human T2 R1,98.4426612493652
925,DeepSAP MS150,human T3 R1,94.3695755715495
1025,DeepSAP MS150,malaria T1 R1,98.9570858384277
1125,DeepSAP MS150,malaria T2 R1,98.6312317518248
1225,DeepSAP MS150,malaria T3 R1,94.0292741464451
37,HISAT2 2.2.1 default,human T1 R2,98.3637769985262
38,HISAT2 2.2.1 default,human T1 R3,98.3689246874682
39,HISAT2 2.2.1 default,human T2 R2,95.2471657585918
40,HISAT2 2.2.1 default,human T2 R3,95.252625072031
41,HISAT2 2.2.1 default,human T3 R2,36.6554664041349
42,HISAT2 2.2.1 default,human T3 R3,36.6820736608974
43,HISAT2 2.2.1 default,malaria T1 R2,98.35073545108
44,HISAT2 2.2.1 default,malaria T1 R3,98.3307305170047
45,HISAT2 2.2.1 default,malaria T2 R2,92.2752195700199
46,HISAT2 2.2.1 default,malaria T2 R3,92.3402057081314
47,HISAT2 2.2.1 default,malaria T3 R2,11.0151716941757
48,HISAT2 2.2.1 default,malaria T3 R3,11.104499004645
209,HISAT2 2.2.1 default,human T1 R1,98.3689246874682
210,HISAT2 2.2.1 default,human T2 R1,95.2471657585918
211,HISAT2 2.2.1 default,human T3 R1,36.6680909016326
212,HISAT2 2.2.1 default,malaria T1 R1,98.3252557193696
213,HISAT2 2.2.1 default,malaria T2 R1,92.2478311954295
214,HISAT2 2.2.1 default,malaria T3 R1,10.9795275590551
49,STAR 2.7.10a default,human T1 R2,98.6868328267477
50,STAR 2.7.10a default,human T1 R3,98.6919487361329
51,STAR 2.7.10a default,human T2 R2,98.03643891495
52,STAR 2.7.10a default,human T2 R3,98.03643891495
53,STAR 2.7.10a default,human T3 R2,85.7933741769253
54,STAR 2.7.10a default,human T3 R3,85.7741346924751
55,STAR 2.7.10a default,malaria T1 R2,98.6090301647655
56,STAR 2.7.10a default,malaria T1 R3,98.5887713604787
57,STAR 2.7.10a default,malaria T2 R2,97.2480594100113
58,STAR 2.7.10a default,malaria T2 R3,97.2688942554722
59,STAR 2.7.10a default,malaria T3 R2,76.487217895196
60,STAR 2.7.10a default,malaria T3 R3,76.4489448426301
233,STAR 2.7.10a default,human T1 R1,98.6868328267477
234,STAR 2.7.10a default,human T2 R1,98.0264365119837
235,STAR 2.7.10a default,human T3 R1,85.7869617498855
236,STAR 2.7.10a default,malaria T1 R1,98.5939002129601
237,STAR 2.7.10a default,malaria T2 R1,97.2584779033916
238,STAR 2.7.10a default,malaria T3 R1,76.4162543640898
61,Subjunc 2.0.1 default,human T1 R2,95.7733854736952
62,Subjunc 2.0.1 default,human T1 R3,95.7733854736952
63,Subjunc 2.0.1 default,human T2 R2,93.7434682265355
64,Subjunc 2.0.1 default,human T2 R3,93.7423727731986
65,Subjunc 2.0.1 default,human T3 R2,58.9489568627451
66,Subjunc 2.0.1 default,human T3 R3,58.9507614430344
67,Subjunc 2.0.1 default,malaria T1 R2,98.4672623883022
68,Subjunc 2.0.1 default,malaria T1 R3,98.4572610947497
69,Subjunc 2.0.1 default,malaria T2 R2,95.6593350383632
70,Subjunc 2.0.1 default,malaria T2 R3,95.6669634655532
71,Subjunc 2.0.1 default,malaria T3 R2,35.8490052536388
72,Subjunc 2.0.1 default,malaria T3 R3,36.000866046832
