,Run,Dataset,F1_Deletion
1,DRAGEN 4.0.3 default,human T1 R2,84.7713640031444
2,DRAGEN 4.0.3 default,human T1 R3,85.0582779960328
3,DRAGEN 4.0.3 default,human T2 R2,82.9284704811951
4,DRAGEN 4.0.3 default,human T2 R3,83.0305717810824
5,DRAGEN 4.0.3 default,human T3 R2,60.3441467720887
6,DRAGEN 4.0.3 default,human T3 R3,60.4889055678946
7,DRAGEN 4.0.3 default,malaria T1 R2,81.5576831451627
8,DRAGEN 4.0.3 default,malaria T1 R3,81.5826923076923
9,DRAGEN 4.0.3 default,malaria T2 R2,80.0037670399221
10,DRAGEN 4.0.3 default,malaria T2 R3,79.5954589903435
11,DRAGEN 4.0.3 default,malaria T3 R2,53.7377658862876
12,DRAGEN 4.0.3 default,malaria T3 R3,54.331436733336
137,DRAGEN 4.0.3 default,human T1 R1,84.7787771280285
138,DRAGEN 4.0.3 default,human T2 R1,82.9044273715237
139,DRAGEN 4.0.3 default,human T3 R1,60.2925594963918
140,DRAGEN 4.0.3 default,malaria T1 R1,80.9030883567
141,DRAGEN 4.0.3 default,malaria T2 R1,79.6940285749176
142,DRAGEN 4.0.3 default,malaria T3 R1,53.6582951168492
13,DeepSAP MS150,human T1 R2,91.820474149623
14,DeepSAP MS150,human T1 R3,91.9525180167976
15,DeepSAP MS150,human T2 R2,89.5479018689014
16,DeepSAP MS150,human T2 R3,89.5578723780079
17,DeepSAP MS150,human T3 R2,68.8281155058756
18,DeepSAP MS150,human T3 R3,68.9450332546664
19,DeepSAP MS150,malaria T1 R2,90.5061477093586
20,DeepSAP MS150,malaria T1 R3,90.1668234004712
21,DeepSAP MS150,malaria T2 R2,87.5039817974971
22,DeepSAP MS150,malaria T2 R3,87.1469229210395
23,DeepSAP MS150,malaria T3 R2,66.7585407281589
24,DeepSAP MS150,malaria T3 R3,67.4495681901095
725,DeepSAP MS150,human T1 R1,91.9346395182449
825,DeepSAP MS150,human T2 R1,89.3381989876398
925,DeepSAP MS150,human T3 R1,68.8483113443916
1025,DeepSAP MS150,malaria T1 R1,89.3999095877193
1125,DeepSAP MS150,malaria T2 R1,87.1994921250856
1225,DeepSAP MS150,malaria T3 R1,66.5906735751295
37,HISAT2 2.2.1 default,human T1 R2,79.9976525878171
38,HISAT2 2.2.1 default,human T1 R3,80.0441327247846
39,HISAT2 2.2.1 default,human T2 R2,58.4590569354878
40,HISAT2 2.2.1 default,human T2 R3,58.1540547138652
41,HISAT2 2.2.1 default,human T3 R2,1.74422443619218
42,HISAT2 2.2.1 default,human T3 R3,1.72435672212463
43,HISAT2 2.2.1 default,malaria T1 R2,76.5616391466219
44,HISAT2 2.2.1 default,malaria T1 R3,77.0104835187259
45,HISAT2 2.2.1 default,malaria T2 R2,55.9223594999561
46,HISAT2 2.2.1 default,malaria T2 R3,56.0968249029986
47,HISAT2 2.2.1 default,malaria T3 R2,1.58660807700355
48,HISAT2 2.2.1 default,malaria T3 R3,1.60632982602355
209,HISAT2 2.2.1 default,human T1 R1,79.999373531715
210,HISAT2 2.2.1 default,human T2 R1,58.196409120901
211,HISAT2 2.2.1 default,human T3 R1,1.68507387142456
212,HISAT2 2.2.1 default,malaria T1 R1,75.9964921192919
213,HISAT2 2.2.1 default,malaria T2 R1,55.8584992252638
214,HISAT2 2.2.1 default,malaria T3 R1,1.56715660874088
49,STAR 2.7.10a default,human T1 R2,82.746007425305
50,STAR 2.7.10a default,human T1 R3,82.9846361978707
51,STAR 2.7.10a default,human T2 R2,74.8358989284408
52,STAR 2.7.10a default,human T2 R3,74.7508610792193
53,STAR 2.7.10a default,human T3 R2,26.8781831114724
54,STAR 2.7.10a default,human T3 R3,26.7467420077377
55,STAR 2.7.10a default,malaria T1 R2,83.9140835365152
56,STAR 2.7.10a default,malaria T1 R3,83.8604244869321
57,STAR 2.7.10a default,malaria T2 R2,77.1037582702998
58,STAR 2.7.10a default,malaria T2 R3,77.1196411768396
59,STAR 2.7.10a default,malaria T3 R2,34.495064441598
60,STAR 2.7.10a default,malaria T3 R3,34.9204845327487
233,STAR 2.7.10a default,human T1 R1,82.5614790728067
234,STAR 2.7.10a default,human T2 R1,74.4571009855369
235,STAR 2.7.10a default,human T3 R1,26.7530791132805
236,STAR 2.7.10a default,malaria T1 R1,83.1195898886336
237,STAR 2.7.10a default,malaria T2 R1,77.2270322239085
238,STAR 2.7.10a default,malaria T3 R1,34.4108786477691
61,Subjunc 2.0.1 default,human T1 R2,89.0582672096975
62,Subjunc 2.0.1 default,human T1 R3,89.2794190712274
63,Subjunc 2.0.1 default,human T2 R2,84.0378816782726
64,Subjunc 2.0.1 default,human T2 R3,83.6858046719099
65,Subjunc 2.0.1 default,human T3 R2,21.5828993955095
66,Subjunc 2.0.1 default,human T3 R3,21.5205200338713
67,Subjunc 2.0.1 default,malaria T1 R2,91.8704687837053
68,Subjunc 2.0.1 default,malaria T1 R3,92.2935937246416
69,Subjunc 2.0.1 default,malaria T2 R2,87.0845463358996
70,Subjunc 2.0.1 default,malaria T2 R3,87.2376213260424
71,Subjunc 2.0.1 default,malaria T3 R2,23.1870917733106
72,Subjunc 2.0.1 default,malaria T3 R3,22.7832070994828
305,Subjunc 2.0.1 default,human T1 R1,88.7050145444325
306,Subjunc 2.0.1 default,human T2 R1,83.4368079227871
307,Subjunc 2.0.1 default,human T3 R1,21.3889812956761
308,Subjunc 2.0.1 default,malaria T1 R1,91.3700486046639
309,Subjunc 2.0.1 default,malaria T2 R1,87.0101462522852
310,Subjunc 2.0.1 default,malaria T3 R1,22.8449205618236
73,novoSplice 0.8.4 default,human T1 R2,86.8974286491042
74,novoSplice 0.8.4 default,human T1 R3,87.0927776924337
75,novoSplice 0.8.4 default,human T2 R2,84.3148191528707
76,novoSplice 0.8.4 default,human T2 R3,84.3017006603939
77,novoSplice 0.8.4 default,human T3 R2,59.8064627253235
78,novoSplice 0.8.4 default,human T3 R3,59.914773646238
79,novoSplice 0.8.4 default,malaria T1 R2,89.8519592649989
80,novoSplice 0.8.4 default,malaria T1 R3,89.5857959341792
81,novoSplice 0.8.4 default,malaria T2 R2,86.5595592792379
82,novoSplice 0.8.4 default,malaria T2 R3,86.3890725087689
83,novoSplice 0.8.4 default,malaria T3 R2,58.7491573204421
84,novoSplice 0.8.4 default,malaria T3 R3,58.9904092358018
311,novoSplice 0.8.4 default,human T1 R1,87.0954062879266
312,novoSplice 0.8.4 default,human T2 R1,84.0610301787284
313,novoSplice 0.8.4 default,human T3 R1,59.7751902923068
314,novoSplice 0.8.4 default,malaria T1 R1,88.9130044779522
315,novoSplice 0.8.4 default,malaria T2 R1,86.0501282629289
316,novoSplice 0.8.4 default,malaria T3 R1,58.6333283156503
