,Run,Dataset,F1_Insertion
1,DRAGEN 4.0.3 default,human T1 R2,82.6128218893809
2,DRAGEN 4.0.3 default,human T1 R3,82.9840031364233
3,DRAGEN 4.0.3 default,human T2 R2,81.0784031193761
4,DRAGEN 4.0.3 default,human T2 R3,80.983708243957
5,DRAGEN 4.0.3 default,human T3 R2,59.3019303202014
6,DRAGEN 4.0.3 default,human T3 R3,59.429203811866
7,DRAGEN 4.0.3 default,malaria T1 R2,81.2931775645229
8,DRAGEN 4.0.3 default,malaria T1 R3,80.8072927515413
9,DRAGEN 4.0.3 default,malaria T2 R2,79.0781038374718
10,DRAGEN 4.0.3 default,malaria T2 R3,78.9417129441548
11,DRAGEN 4.0.3 default,malaria T3 R2,54.4034886731392
12,DRAGEN 4.0.3 default,malaria T3 R3,55.1323584341616
137,DRAGEN 4.0.3 default,human T1 R1,82.7905832780167
138,DRAGEN 4.0.3 default,human T2 R1,80.9191984629439
139,DRAGEN 4.0.3 default,human T3 R1,59.3850450034618
140,DRAGEN 4.0.3 default,malaria T1 R1,81.0394378998983
141,DRAGEN 4.0.3 default,malaria T2 R1,78.3890151747865
142,DRAGEN 4.0.3 default,malaria T3 R1,54.8445601023367
13,DeepSAP MS150,human T1 R2,89.9103734284914
14,DeepSAP MS150,human T1 R3,90.1697260361106
15,DeepSAP MS150,human T2 R2,87.8058100558659
16,DeepSAP MS150,human T2 R3,87.8455463417386
17,DeepSAP MS150,human T3 R2,67.3730967647916
18,DeepSAP MS150,human T3 R3,67.5258164897484
19,DeepSAP MS150,malaria T1 R2,88.7623937129054
20,DeepSAP MS150,malaria T1 R3,89.0114181298846
21,DeepSAP MS150,malaria T2 R2,87.2946839895609
22,DeepSAP MS150,malaria T2 R3,87.0604775352665
23,DeepSAP MS150,malaria T3 R2,66.8321952654021
24,DeepSAP MS150,malaria T3 R3,67.6197978034766
725,DeepSAP MS150,human T1 R1,90.1260756983086
825,DeepSAP MS150,human T2 R1,87.7727687710203
925,DeepSAP MS150,human T3 R1,67.5461904121352
1025,DeepSAP MS150,malaria T1 R1,89.5383768051084
1125,DeepSAP MS150,malaria T2 R1,86.6168371720866
1225,DeepSAP MS150,malaria T3 R1,67.4540931283247
37,HISAT2 2.2.1 default,human T1 R2,77.6159409412488
38,HISAT2 2.2.1 default,human T1 R3,78.260464501245
39,HISAT2 2.2.1 default,human T2 R2,57.0611456296618
40,HISAT2 2.2.1 default,human T2 R3,57.0648747956915
41,HISAT2 2.2.1 default,human T3 R2,1.72425585023402
42,HISAT2 2.2.1 default,human T3 R3,1.74409321678809
43,HISAT2 2.2.1 default,malaria T1 R2,75.8323334165211
44,HISAT2 2.2.1 default,malaria T1 R3,76.8083811553966
45,HISAT2 2.2.1 default,malaria T2 R2,56.5324116530379
46,HISAT2 2.2.1 default,malaria T2 R3,56.7023566867417
