,Run,Dataset,F1_Junction
1,DRAGEN 4.0.3 default,human T1 R2,95.7937305157308
2,DRAGEN 4.0.3 default,human T1 R3,95.80992929565
3,DRAGEN 4.0.3 default,human T2 R2,95.4710717939095
4,DRAGEN 4.0.3 default,human T2 R3,95.4509876091389
5,DRAGEN 4.0.3 default,human T3 R2,88.6370661013925
6,DRAGEN 4.0.3 default,human T3 R3,88.6207479197346
7,DRAGEN 4.0.3 default,malaria T1 R2,95.5413639499823
8,DRAGEN 4.0.3 default,malaria T1 R3,95.5740766008372
9,DRAGEN 4.0.3 default,malaria T2 R2,95.1794098223177
10,DRAGEN 4.0.3 default,malaria T2 R3,95.2178025778057
11,DRAGEN 4.0.3 default,malaria T3 R2,88.3471601711215
12,DRAGEN 4.0.3 default,malaria T3 R3,88.2152318548387
137,DRAGEN 4.0.3 default,human T1 R1,95.7937305157308
138,DRAGEN 4.0.3 default,human T2 R1,95.4882952815432
139,DRAGEN 4.0.3 default,human T3 R1,88.6185833062433
140,DRAGEN 4.0.3 default,malaria T1 R1,95.4867972790566
141,DRAGEN 4.0.3 default,malaria T2 R1,95.2269261489281
142,DRAGEN 4.0.3 default,malaria T3 R1,88.4812492318006
13,DeepSAP MS150,human T1 R2,98.8309181247885
14,DeepSAP MS150,human T1 R3,98.841110257405
15,DeepSAP MS150,human T2 R2,98.5761640449518
16,DeepSAP MS150,human T2 R3,98.560803560333
17,DeepSAP MS150,human T3 R2,93.9808499252865
18,DeepSAP MS150,human T3 R3,93.9575259138763
19,DeepSAP MS150,malaria T1 R2,99.5338338637325
20,DeepSAP MS150,malaria T1 R3,99.5589558562898
21,DeepSAP MS150,malaria T2 R2,99.3017200333719
22,DeepSAP MS150,malaria T2 R3,99.3219988201371
23,DeepSAP MS150,malaria T3 R2,95.2071625768238
24,DeepSAP MS150,malaria T3 R3,95.1223744232934
725,DeepSAP MS150,human T1 R1,98.8459663142987
825,DeepSAP MS150,human T2 R1,98.5913357525118
925,DeepSAP MS150,human T3 R1,93.9697306367477
1025,DeepSAP MS150,malaria T1 R1,99.5288692165486
1125,DeepSAP MS150,malaria T2 R1,99.3270545988578
1225,DeepSAP MS150,malaria T3 R1,95.2790782927468
37,HISAT2 2.2.1 default,human T1 R2,97.0984519075437
38,HISAT2 2.2.1 default,human T1 R3,97.1350962033131
39,HISAT2 2.2.1 default,human T2 R2,90.804934340515
