	Run	Dataset	F1_Skipping
137	DRAGEN 4.0.3 default	human T1	96.1183262337662
138	DRAGEN 4.0.3 default	human T2	95.6975410776694
139	DRAGEN 4.0.3 default	human T3	87.5521825243003
140	DRAGEN 4.0.3 default	malaria T1	95.0694923270969
141	DRAGEN 4.0.3 default	malaria T2	91.5978864628821
142	DRAGEN 4.0.3 default	malaria T3	51.7589973470598
725	DeepSAP MS150	human T1	98.9652894562095
825	DeepSAP MS150	human T2	98.6094504157372
925	DeepSAP MS150	human T3	93.8216261918892
1025	DeepSAP MS150	malaria T1	99.2260495686538
1125	DeepSAP MS150	malaria T2	98.8710999387611
1225	DeepSAP MS150	malaria T3	92.7281945523069
209	HISAT2 2.2.1 default	human T1	97.455091579064
210	HISAT2 2.2.1 default	human T2	90.9959855847985
211	HISAT2 2.2.1 default	human T3	10.5169007150393
212	HISAT2 2.2.1 default	malaria T1	61.9345029239766
213	HISAT2 2.2.1 default	malaria T2	43.9241677646084
214	HISAT2 2.2.1 default	malaria T3	7.78124240378123
233	STAR 2.7.10a default	human T1	95.8227835528517
234	STAR 2.7.10a default	human T2	93.042412029347
235	STAR 2.7.10a default	human T3	54.2359495310153
236	STAR 2.7.10a default	malaria T1	39.2083697662637
237	STAR 2.7.10a default	malaria T2	9.16881355932203
238	STAR 2.7.10a default	malaria T3	0.378598874442068
305	Subjunc 2.0.1 default	human T1	94.8226711190766
306	Subjunc 2.0.1 default	human T2	90.4231415921623
307	Subjunc 2.0.1 default	human T3	39.4482927818605
308	Subjunc 2.0.1 default	malaria T1	2.03844137370453
309	Subjunc 2.0.1 default	malaria T2	1.21185598599256
310	Subjunc 2.0.1 default	malaria T3	0.13982843305532
311	novoSplice 0.8.4 default	human T1	95.36107724529
312	novoSplice 0.8.4 default	human T2	94.8958533446219
313	novoSplice 0.8.4 default	human T3	86.1780336249025
314	novoSplice 0.8.4 default	malaria T1	96.3838481070106
315	novoSplice 0.8.4 default	malaria T2	96.1478715505911
316	novoSplice 0.8.4 default	malaria T3	87.2681022688292
