,Run,Dataset,Reads_Alinged_Incorrectly,Reads_Alinged_Ambiguously,Reads_Alinged_Correctly,Reads_Unalinged
1,DRAGEN 4.0.3 default,human T1 R2,0.239736,1.728097,97.922167,0.11
2,DRAGEN 4.0.3 default,human T1 R3,0.23976,1.72827,97.93197,0.1
3,DRAGEN 4.0.3 default,human T2 R2,0.27958,1.727405,97.843015,0.15
4,DRAGEN 4.0.3 default,human T2 R3,0.279552,1.727232,97.833216,0.16
5,DRAGEN 4.0.3 default,human T3 R2,0.59292,1.798524,96.428556,1.18
6,DRAGEN 4.0.3 default,human T3 R3,0.602741,1.808223,96.399036,1.19
7,DRAGEN 4.0.3 default,malaria T1 R2,0.019998,1.759824,98.210178,0.01
8,DRAGEN 4.0.3 default,malaria T1 R3,0.019998,1.769823,98.200179,0.01
9,DRAGEN 4.0.3 default,malaria T2 R2,0.019992,1.84926,98.090748,0.04
10,DRAGEN 4.0.3 default,malaria T2 R3,0.019992,1.829268,98.11074,0.04
11,DRAGEN 4.0.3 default,malaria T3 R2,0.156544,2.416648,95.266808,2.16
12,DRAGEN 4.0.3 default,malaria T3 R3,0.14676,2.39708,95.29616,2.16
137,DRAGEN 4.0.3 default,human T1 R1,0.23976,1.73826,97.92198,0.1
138,DRAGEN 4.0.3 default,human T2 R1,0.27958,1.727405,97.843015,0.15
139,DRAGEN 4.0.3 default,human T3 R1,0.59298,1.818472,96.418548,1.17
140,DRAGEN 4.0.3 default,malaria T1 R1,0.019996,1.739652,98.220352,0.02
141,DRAGEN 4.0.3 default,malaria T2 R1,0.029988,1.839264,98.090748,0.04
142,DRAGEN 4.0.3 default,malaria T3 R1,0.166345,2.397325,95.28633,2.15
13,DeepSAP MS150,human T1 R2,0.51,1.44,98.05,0
14,DeepSAP MS150,human T1 R3,0.5,1.44,98.06,0
15,DeepSAP MS150,human T2 R2,0.56,1.47,97.97,0
16,DeepSAP MS150,human T2 R3,0.56,1.47,97.97,0
17,DeepSAP MS150,human T3 R2,1.545815,1.904843,96.279342,0.27
18,DeepSAP MS150,human T3 R3,1.54566,1.904652,96.269688,0.28
19,DeepSAP MS150,malaria T1 R2,0.029982,1.39916,98.510858,0.06
20,DeepSAP MS150,malaria T1 R3,0.029982,1.39916,98.510858,0.06
21,DeepSAP MS150,malaria T2 R2,0.049975,1.409295,98.49073,0.05
22,DeepSAP MS150,malaria T2 R3,0.049975,1.389305,98.51072,0.05
23,DeepSAP MS150,malaria T3 R2,0.38766,1.6401,97.37224,0.6
24,DeepSAP MS150,malaria T3 R3,0.377682,1.629996,97.382322,0.61
725,DeepSAP MS150,human T1 R1,0.5,1.45,98.05,0
825,DeepSAP MS150,human T2 R1,0.56,1.47,97.97,0
925,DeepSAP MS150,human T3 R1,1.545815,1.904843,96.279342,0.27
1025,DeepSAP MS150,malaria T1 R1,0.029982,1.389166,98.520852,0.06
1125,DeepSAP MS150,malaria T2 R1,0.049975,1.3993,98.500725,0.05
1225,DeepSAP MS150,malaria T3 R1,0.38766,1.63016,97.38218,0.6
37,HISAT2 2.2.1 default,human T1 R2,0.129402,2.279466,97.131132,0.46
38,HISAT2 2.2.1 default,human T1 R3,0.129402,2.269512,97.141086,0.46
39,HISAT2 2.2.1 default,human T2 R2,0.169056,2.197728,91.553216,6.08
40,HISAT2 2.2.1 default,human T2 R3,0.159681,2.197962,91.572357,6.07
41,HISAT2 2.2.1 default,human T3 R2,0.026345,0.26345,23.660205,76.05
42,HISAT2 2.2.1 default,human T3 R3,0.026356,0.261164,23.67248,76.04
43,HISAT2 2.2.1 default,malaria T1 R2,0.009913,1.952861,97.167226,0.87
44,HISAT2 2.2.1 default,malaria T1 R3,0.009912,1.942752,97.167336,0.88
45,HISAT2 2.2.1 default,malaria T2 R2,0.035308,1.668303,86.566389,11.73
46,HISAT2 2.2.1 default,malaria T2 R3,0.035344,1.63466,86.689996,11.64
47,HISAT2 2.2.1 default,malaria T3 R2,0,0.012852,6.10714800000001,93.88
48,HISAT2 2.2.1 default,malaria T3 R3,0,0.013596,6.16640400000001,93.82
209,HISAT2 2.2.1 default,human T1 R1,0.119448,2.279466,97.141086,0.46
210,HISAT2 2.2.1 default,human T2 R1,0.159647,2.188103,91.56225,6.09
211,HISAT2 2.2.1 default,human T3 R1,0.026356,0.261164,23.67248,76.04
212,HISAT2 2.2.1 default,malaria T1 R1,0.009909,1.942164,97.137927,0.91
213,HISAT2 2.2.1 default,malaria T2 R1,0.035292,1.658724,86.535984,11.77
214,HISAT2 2.2.1 default,malaria T3 R1,0,0.013442,6.096558,93.89
49,STAR 2.7.10a default,human T1 R2,0.089856,1.906944,97.8432,0.16
50,STAR 2.7.10a default,human T1 R3,0.089856,1.916928,97.833216,0.16
51,STAR 2.7.10a default,human T2 R2,0.129636,2.19384,97.396524,0.28
52,STAR 2.7.10a default,human T2 R3,0.129623,2.19362,97.386757,0.29
53,STAR 2.7.10a default,human T3 R2,0.301716,1.810296,81.697988,16.19
54,STAR 2.7.10a default,human T3 R3,0.29323,1.818026,81.668744,16.22
55,STAR 2.7.10a default,malaria T1 R2,0,2.138288,97.781712,0.08
56,STAR 2.7.10a default,malaria T1 R3,0,2.14828,97.77172,0.08
57,STAR 2.7.10a default,malaria T2 R2,0,3.225155,96.624845,0.15
58,STAR 2.7.10a default,malaria T2 R3,0,3.185215,96.664785,0.15
59,STAR 2.7.10a default,malaria T3 R2,0.061504,4.182272,72.636224,23.12
60,STAR 2.7.10a default,malaria T3 R3,0.061384,4.120401,72.548215,23.27
233,STAR 2.7.10a default,human T1 R1,0.089847,1.916736,97.823417,0.17
234,STAR 2.7.10a default,human T2 R1,0.139594,2.183649,97.386757,0.29
235,STAR 2.7.10a default,human T3 R1,0.301716,1.818677,81.689607,16.19
236,STAR 2.7.10a default,malaria T1 R1,0,2.14828,97.77172,0.08
237,STAR 2.7.10a default,malaria T2 R1,0,3.205185,96.644815,0.15
238,STAR 2.7.10a default,malaria T3 R1,0.061392,4.14396,72.534648,23.26
61,Subjunc 2.0.1 default,human T1 R2,0.588042,0,92.751958,6.66
62,Subjunc 2.0.1 default,human T1 R3,0.588042,0,92.751958,6.66
63,Subjunc 2.0.1 default,human T2 R2,0.613428,0,89.596572,9.79
64,Subjunc 2.0.1 default,human T2 R3,0.61336,0,89.58664,9.8
65,Subjunc 2.0.1 default,human T3 R2,0.366288,0,46.593712,53.04
66,Subjunc 2.0.1 default,human T3 R3,0.366288,0,46.593712,53.04
67,Subjunc 2.0.1 default,malaria T1 R2,0.402374,0,97.737626,1.86
68,Subjunc 2.0.1 default,malaria T1 R3,0.412146,0,97.717854,1.87
69,Subjunc 2.0.1 default,malaria T2 R2,0.42084,0,93.09916,6.48
70,Subjunc 2.0.1 default,malaria T2 R3,0.430468,0,93.149532,6.42
71,Subjunc 2.0.1 default,malaria T3 R2,0.504868,0,27.235132,72.26
72,Subjunc 2.0.1 default,malaria T3 R3,0.51894,0,27.38106,72.1
305,Subjunc 2.0.1 default,human T1 R1,0.588042,0,92.751958,6.66
306,Subjunc 2.0.1 default,human T2 R1,0.613224,0,89.566776,9.82
307,Subjunc 2.0.1 default,human T3 R1,0.366054,0,46.563946,53.07
308,Subjunc 2.0.1 default,malaria T1 R1,0.412146,0,97.717854,1.87
309,Subjunc 2.0.1 default,malaria T2 R1,0.411532,0,93.118468,6.47
310,Subjunc 2.0.1 default,malaria T3 R1,0.525042,0,27.254958,72.22
73,novoSplice 0.8.4 default,human T1 R2,0.079896,3.675216,96.114888,0.13
74,novoSplice 0.8.4 default,human T1 R3,0.079896,3.675216,96.114888,0.13
75,novoSplice 0.8.4 default,human T2 R2,0.09986,4.373868,95.386272,0.14
76,novoSplice 0.8.4 default,human T2 R3,0.09987,4.384293,95.385837,0.13
77,novoSplice 0.8.4 default,human T3 R2,0.179455,5.015295,89.25525,5.55
78,novoSplice 0.8.4 default,human T3 R3,0.179436,5.024208,89.236356,5.56
79,novoSplice 0.8.4 default,malaria T1 R2,0,2.708645,97.241355,0.05
80,novoSplice 0.8.4 default,malaria T1 R3,0,2.708645,97.241355,0.05
81,novoSplice 0.8.4 default,malaria T2 R2,0,3.17841,96.77159,0.05
82,novoSplice 0.8.4 default,malaria T2 R3,0,3.11844,96.83156,0.05
83,novoSplice 0.8.4 default,malaria T3 R2,0.008933,3.885855,85.435212,10.67
84,novoSplice 0.8.4 default,malaria T3 R3,0.008918,3.816904,85.354178,10.82
311,novoSplice 0.8.4 default,human T1 R1,0.079896,3.665229,96.124875,0.13
312,novoSplice 0.8.4 default,human T2 R1,0.09986,4.363882,95.396258,0.14
313,novoSplice 0.8.4 default,human T3 R1,0.179436,5.014764,89.2458,5.56
314,novoSplice 0.8.4 default,malaria T1 R1,0,2.708645,97.241355,0.05
315,novoSplice 0.8.4 default,malaria T2 R1,0,3.15842,96.79158,0.05
316,novoSplice 0.8.4 default,malaria T3 R1,0.008923,3.845813,85.375264,10.77
