,Run,Dataset,CPU
1,DRAGEN 4.0.3 default,human T1 R2,677
2,DRAGEN 4.0.3 default,human T1 R3,701
3,DRAGEN 4.0.3 default,human T2 R2,669
4,DRAGEN 4.0.3 default,human T2 R3,712
5,DRAGEN 4.0.3 default,human T3 R2,697
6,DRAGEN 4.0.3 default,human T3 R3,703
7,DRAGEN 4.0.3 default,malaria T1 R2,442
8,DRAGEN 4.0.3 default,malaria T1 R3,455
9,DRAGEN 4.0.3 default,malaria T2 R2,465
10,DRAGEN 4.0.3 default,malaria T2 R3,343
11,DRAGEN 4.0.3 default,malaria T3 R2,442
12,DRAGEN 4.0.3 default,malaria T3 R3,417
137,DRAGEN 4.0.3 default,human T1 R1,710
138,DRAGEN 4.0.3 default,human T2 R1,706
139,DRAGEN 4.0.3 default,human T3 R1,689
140,DRAGEN 4.0.3 default,malaria T1 R1,431
141,DRAGEN 4.0.3 default,malaria T2 R1,417
142,DRAGEN 4.0.3 default,malaria T3 R1,407
13,DeepSAP MS150,human T1 R2,0
14,DeepSAP MS150,human T1 R3,0
15,DeepSAP MS150,human T2 R2,0
16,DeepSAP MS150,human T2 R3,0
17,DeepSAP MS150,human T3 R2,0
18,DeepSAP MS150,human T3 R3,0
19,DeepSAP MS150,malaria T1 R2,0
20,DeepSAP MS150,malaria T1 R3,0
21,DeepSAP MS150,malaria T2 R2,0
22,DeepSAP MS150,malaria T2 R3,0
23,DeepSAP MS150,malaria T3 R2,0
24,DeepSAP MS150,malaria T3 R3,0
725,DeepSAP MS150,human T1 R1,151
825,DeepSAP MS150,human T2 R1,153
925,DeepSAP MS150,human T3 R1,149
1025,DeepSAP MS150,malaria T1 R1,181
1125,DeepSAP MS150,malaria T2 R1,190
1225,DeepSAP MS150,malaria T3 R1,187
37,HISAT2 2.2.1 default,human T1 R2,2188
38,HISAT2 2.2.1 default,human T1 R3,2187
39,HISAT2 2.2.1 default,human T2 R2,2224
40,HISAT2 2.2.1 default,human T2 R3,1654
41,HISAT2 2.2.1 default,human T3 R2,2270
42,HISAT2 2.2.1 default,human T3 R3,2271
43,HISAT2 2.2.1 default,malaria T1 R2,2261
44,HISAT2 2.2.1 default,malaria T1 R3,2197
45,HISAT2 2.2.1 default,malaria T2 R2,2251
46,HISAT2 2.2.1 default,malaria T2 R3,2253
47,HISAT2 2.2.1 default,malaria T3 R2,2286
48,HISAT2 2.2.1 default,malaria T3 R3,2296
209,HISAT2 2.2.1 default,human T1 R1,1996
210,HISAT2 2.2.1 default,human T2 R1,2035
211,HISAT2 2.2.1 default,human T3 R1,2058
212,HISAT2 2.2.1 default,malaria T1 R1,2074
213,HISAT2 2.2.1 default,malaria T2 R1,2084
214,HISAT2 2.2.1 default,malaria T3 R1,2081
49,STAR 2.7.10a default,human T1 R2,1291
50,STAR 2.7.10a default,human T1 R3,1262
51,STAR 2.7.10a default,human T2 R2,1135
52,STAR 2.7.10a default,human T2 R3,625
53,STAR 2.7.10a default,human T3 R2,1220
54,STAR 2.7.10a default,human T3 R3,1781
55,STAR 2.7.10a default,malaria T1 R2,2115
56,STAR 2.7.10a default,malaria T1 R3,1989
57,STAR 2.7.10a default,malaria T2 R2,2166
58,STAR 2.7.10a default,malaria T2 R3,2012
59,STAR 2.7.10a default,malaria T3 R2,2192
60,STAR 2.7.10a default,malaria T3 R3,2176
233,STAR 2.7.10a default,human T1 R1,1462
234,STAR 2.7.10a default,human T2 R1,1576
235,STAR 2.7.10a default,human T3 R1,1696
236,STAR 2.7.10a default,malaria T1 R1,1916
237,STAR 2.7.10a default,malaria T2 R1,1962
238,STAR 2.7.10a default,malaria T3 R1,1983
61,Subjunc 2.0.1 default,human T1 R2,1033
62,Subjunc 2.0.1 default,human T1 R3,981
63,Subjunc 2.0.1 default,human T2 R2,1023
64,Subjunc 2.0.1 default,human T2 R3,1036
65,Subjunc 2.0.1 default,human T3 R2,1051
66,Subjunc 2.0.1 default,human T3 R3,1050
67,Subjunc 2.0.1 default,malaria T1 R2,771
68,Subjunc 2.0.1 default,malaria T1 R3,769
69,Subjunc 2.0.1 default,malaria T2 R2,789
70,Subjunc 2.0.1 default,malaria T2 R3,793
71,Subjunc 2.0.1 default,malaria T3 R2,880
72,Subjunc 2.0.1 default,malaria T3 R3,880
305,Subjunc 2.0.1 default,human T1 R1,1011
306,Subjunc 2.0.1 default,human T2 R1,1010
307,Subjunc 2.0.1 default,human T3 R1,1019
308,Subjunc 2.0.1 default,malaria T1 R1,792
309,Subjunc 2.0.1 default,malaria T2 R1,804
310,Subjunc 2.0.1 default,malaria T3 R1,870
73,novoSplice 0.8.4 default,human T1 R2,2288
74,novoSplice 0.8.4 default,human T1 R3,2293
75,novoSplice 0.8.4 default,human T2 R2,2300
76,novoSplice 0.8.4 default,human T2 R3,2299
77,novoSplice 0.8.4 default,human T3 R2,2317
78,novoSplice 0.8.4 default,human T3 R3,2258
79,novoSplice 0.8.4 default,malaria T1 R2,2379
80,novoSplice 0.8.4 default,malaria T1 R3,2379
81,novoSplice 0.8.4 default,malaria T2 R2,2374
82,novoSplice 0.8.4 default,malaria T2 R3,2244
83,novoSplice 0.8.4 default,malaria T3 R2,2382
84,novoSplice 0.8.4 default,malaria T3 R3,2384
311,novoSplice 0.8.4 default,human T1 R1,1971
312,novoSplice 0.8.4 default,human T2 R1,1996
313,novoSplice 0.8.4 default,human T3 R1,2020
314,novoSplice 0.8.4 default,malaria T1 R1,2113
315,novoSplice 0.8.4 default,malaria T2 R1,2115
316,novoSplice 0.8.4 default,malaria T3 R1,2118
