,Run,Dataset,IO_in
1,DRAGEN 4.0.3 default,human T1 R2,2.64680480957031
2,DRAGEN 4.0.3 default,human T1 R3,5.01502990722656
3,DRAGEN 4.0.3 default,human T2 R2,5.05397796630859
4,DRAGEN 4.0.3 default,human T2 R3,4.92861938476562
5,DRAGEN 4.0.3 default,human T3 R2,5.09170532226562
6,DRAGEN 4.0.3 default,human T3 R3,2.53545379638672
7,DRAGEN 4.0.3 default,malaria T1 R2,8.14080810546875
8,DRAGEN 4.0.3 default,malaria T1 R3,8.14080810546875
9,DRAGEN 4.0.3 default,malaria T2 R2,6.99538421630859
10,DRAGEN 4.0.3 default,malaria T2 R3,0.117095947265625
11,DRAGEN 4.0.3 default,malaria T3 R2,6.15264129638672
12,DRAGEN 4.0.3 default,malaria T3 R3,0.0001068115234375
137,DRAGEN 4.0.3 default,human T1 R1,5.02242279052734
138,DRAGEN 4.0.3 default,human T2 R1,3.48892974853516
139,DRAGEN 4.0.3 default,human T3 R1,3.90866088867188
140,DRAGEN 4.0.3 default,malaria T1 R1,2.983154296875
141,DRAGEN 4.0.3 default,malaria T2 R1,3.40398406982422
142,DRAGEN 4.0.3 default,malaria T3 R1,7.16376495361328
13,DeepSAP MS150,human T1 R2,0.0056304931640625
14,DeepSAP MS150,human T1 R3,0
15,DeepSAP MS150,human T2 R2,0.000213623046875
16,DeepSAP MS150,human T2 R3,0.00400543212890625
17,DeepSAP MS150,human T3 R2,0.00130462646484375
18,DeepSAP MS150,human T3 R3,0
19,DeepSAP MS150,malaria T1 R2,0.00026702880859375
20,DeepSAP MS150,malaria T1 R3,0.00615692138671875
21,DeepSAP MS150,malaria T2 R2,9.1552734375e-05
22,DeepSAP MS150,malaria T2 R3,0.00537109375
23,DeepSAP MS150,malaria T3 R2,0
24,DeepSAP MS150,malaria T3 R3,0
725,DeepSAP MS150,human T1 R1,5.26655578613281
825,DeepSAP MS150,human T2 R1,6.26320648193359
925,DeepSAP MS150,human T3 R1,6.55975341796875
1025,DeepSAP MS150,malaria T1 R1,6.45924377441406
1125,DeepSAP MS150,malaria T2 R1,3.24510192871094
1225,DeepSAP MS150,malaria T3 R1,3.15009307861328
37,HISAT2 2.2.1 default,human T1 R2,4.296630859375
38,HISAT2 2.2.1 default,human T1 R3,4.30002593994141
39,HISAT2 2.2.1 default,human T2 R2,4.29829406738281
40,HISAT2 2.2.1 default,human T2 R3,14.5680160522461
41,HISAT2 2.2.1 default,human T3 R2,4.301025390625
42,HISAT2 2.2.1 default,human T3 R3,4.29660797119141
43,HISAT2 2.2.1 default,malaria T1 R2,0.0002288818359375
44,HISAT2 2.2.1 default,malaria T1 R3,2.37758636474609
45,HISAT2 2.2.1 default,malaria T2 R2,8.392333984375e-05
46,HISAT2 2.2.1 default,malaria T2 R3,0
47,HISAT2 2.2.1 default,malaria T3 R2,0.11602783203125
48,HISAT2 2.2.1 default,malaria T3 R3,0.0007476806640625
209,HISAT2 2.2.1 default,human T1 R1,10.9951019287109
210,HISAT2 2.2.1 default,human T2 R1,4.31310272216797
211,HISAT2 2.2.1 default,human T3 R1,4.29538726806641
212,HISAT2 2.2.1 default,malaria T1 R1,0
213,HISAT2 2.2.1 default,malaria T2 R1,0.0994949340820312
214,HISAT2 2.2.1 default,malaria T3 R1,0
49,STAR 2.7.10a default,human T1 R2,18.7827682495117
50,STAR 2.7.10a default,human T1 R3,23.3448181152344
51,STAR 2.7.10a default,human T2 R2,56.311767578125
52,STAR 2.7.10a default,human T2 R3,57.0664138793945
53,STAR 2.7.10a default,human T3 R2,56.748420715332
54,STAR 2.7.10a default,human T3 R3,15.7020645141602
55,STAR 2.7.10a default,malaria T1 R2,4.00669097900391
56,STAR 2.7.10a default,malaria T1 R3,0.482513427734375
57,STAR 2.7.10a default,malaria T2 R2,3.24935150146484
58,STAR 2.7.10a default,malaria T2 R3,2.49191284179688
59,STAR 2.7.10a default,malaria T3 R2,2.01051330566406
60,STAR 2.7.10a default,malaria T3 R3,2.82725524902344
233,STAR 2.7.10a default,human T1 R1,57.7280502319336
234,STAR 2.7.10a default,human T2 R1,57.7265319824219
235,STAR 2.7.10a default,human T3 R1,57.7485885620117
236,STAR 2.7.10a default,malaria T1 R1,4.79397583007812
237,STAR 2.7.10a default,malaria T2 R1,4.80230712890625
238,STAR 2.7.10a default,malaria T3 R1,4.80284881591797
61,Subjunc 2.0.1 default,human T1 R2,4.48934936523438
62,Subjunc 2.0.1 default,human T1 R3,15.2190399169922
63,Subjunc 2.0.1 default,human T2 R2,15.1613998413086
64,Subjunc 2.0.1 default,human T2 R3,4.31389617919922
65,Subjunc 2.0.1 default,human T3 R2,4.31415557861328
66,Subjunc 2.0.1 default,human T3 R3,4.31415557861328
67,Subjunc 2.0.1 default,malaria T1 R2,2.38236999511719
68,Subjunc 2.0.1 default,malaria T1 R3,4.32032775878906
69,Subjunc 2.0.1 default,malaria T2 R2,2.48745727539062
70,Subjunc 2.0.1 default,malaria T2 R3,4.27267456054688
71,Subjunc 2.0.1 default,malaria T3 R2,2.54103088378906
72,Subjunc 2.0.1 default,malaria T3 R3,2.90765380859375
305,Subjunc 2.0.1 default,human T1 R1,0
306,Subjunc 2.0.1 default,human T2 R1,0
307,Subjunc 2.0.1 default,human T3 R1,7.78408050537109
308,Subjunc 2.0.1 default,malaria T1 R1,0.01190185546875
309,Subjunc 2.0.1 default,malaria T2 R1,0.171012878417969
310,Subjunc 2.0.1 default,malaria T3 R1,0
73,novoSplice 0.8.4 default,human T1 R2,8.4697265625
74,novoSplice 0.8.4 default,human T1 R3,8.14764404296875
75,novoSplice 0.8.4 default,human T2 R2,8.14764404296875
76,novoSplice 0.8.4 default,human T2 R3,8.14765930175781
77,novoSplice 0.8.4 default,human T3 R2,8.14816284179688
78,novoSplice 0.8.4 default,human T3 R3,13.8098068237305
79,novoSplice 0.8.4 default,malaria T1 R2,8.14082336425781
80,novoSplice 0.8.4 default,malaria T1 R3,8.14122772216797
81,novoSplice 0.8.4 default,malaria T2 R2,8.14443206787109
82,novoSplice 0.8.4 default,malaria T2 R3,7.32597351074219
83,novoSplice 0.8.4 default,malaria T3 R2,8.14704895019531
84,novoSplice 0.8.4 default,malaria T3 R3,8.14447784423828
311,novoSplice 0.8.4 default,human T1 R1,14.1145248413086
312,novoSplice 0.8.4 default,human T2 R1,8.15113830566406
313,novoSplice 0.8.4 default,human T3 R1,14.1037292480469
314,novoSplice 0.8.4 default,malaria T1 R1,0.0615005493164062
315,novoSplice 0.8.4 default,malaria T2 R1,0
316,novoSplice 0.8.4 default,malaria T3 R1,0.0001220703125
