,Run,Dataset,IO_out
1,DRAGEN 4.0.3 default,human T1 R2,2.09341430664062
2,DRAGEN 4.0.3 default,human T1 R3,2.09455871582031
3,DRAGEN 4.0.3 default,human T2 R2,2.81953430175781
4,DRAGEN 4.0.3 default,human T2 R3,2.82141876220703
5,DRAGEN 4.0.3 default,human T3 R2,8.88045501708984
6,DRAGEN 4.0.3 default,human T3 R3,8.88010406494141
7,DRAGEN 4.0.3 default,malaria T1 R2,1.43766021728516
8,DRAGEN 4.0.3 default,malaria T1 R3,1.44424438476562
9,DRAGEN 4.0.3 default,malaria T2 R2,2.72456359863281
10,DRAGEN 4.0.3 default,malaria T2 R3,2.71974182128906
11,DRAGEN 4.0.3 default,malaria T3 R2,8.90366363525391
12,DRAGEN 4.0.3 default,malaria T3 R3,8.8970947265625
137,DRAGEN 4.0.3 default,human T1 R1,2.0927734375
138,DRAGEN 4.0.3 default,human T2 R1,2.81870269775391
139,DRAGEN 4.0.3 default,human T3 R1,8.88101196289062
140,DRAGEN 4.0.3 default,malaria T1 R1,1.44759368896484
141,DRAGEN 4.0.3 default,malaria T2 R1,2.73436737060547
142,DRAGEN 4.0.3 default,malaria T3 R1,8.90113067626953
13,DeepSAP MS150,human T1 R2,0.000457763671875
14,DeepSAP MS150,human T1 R3,0.00045013427734375
15,DeepSAP MS150,human T2 R2,0.00048065185546875
16,DeepSAP MS150,human T2 R3,0.00048828125
17,DeepSAP MS150,human T3 R2,0.00072479248046875
18,DeepSAP MS150,human T3 R3,0.0007476806640625
19,DeepSAP MS150,malaria T1 R2,3.814697265625e-05
20,DeepSAP MS150,malaria T1 R3,3.0517578125e-05
21,DeepSAP MS150,malaria T2 R2,4.57763671875e-05
22,DeepSAP MS150,malaria T2 R3,3.814697265625e-05
23,DeepSAP MS150,malaria T3 R2,7.62939453125e-05
24,DeepSAP MS150,malaria T3 R3,7.62939453125e-05
725,DeepSAP MS150,human T1 R1,6.78199768066406
825,DeepSAP MS150,human T2 R1,7.14022827148438
925,DeepSAP MS150,human T3 R1,7.85695648193359
1025,DeepSAP MS150,malaria T1 R1,5.53052520751953
1125,DeepSAP MS150,malaria T2 R1,6.01127624511719
1225,DeepSAP MS150,malaria T3 R1,6.51528167724609
37,HISAT2 2.2.1 default,human T1 R2,13.0890502929688
38,HISAT2 2.2.1 default,human T1 R3,13.0910415649414
39,HISAT2 2.2.1 default,human T2 R2,12.9532470703125
40,HISAT2 2.2.1 default,human T2 R3,12.9485778808594
41,HISAT2 2.2.1 default,human T3 R2,10.0289764404297
42,HISAT2 2.2.1 default,human T3 R3,10.0275955200195
43,HISAT2 2.2.1 default,malaria T1 R2,12.7013549804688
44,HISAT2 2.2.1 default,malaria T1 R3,12.7006378173828
45,HISAT2 2.2.1 default,malaria T2 R2,12.3865203857422
46,HISAT2 2.2.1 default,malaria T2 R3,12.3761520385742
47,HISAT2 2.2.1 default,malaria T3 R2,9.15695190429688
48,HISAT2 2.2.1 default,malaria T3 R3,9.16011047363281
209,HISAT2 2.2.1 default,human T1 R1,13.089729309082
210,HISAT2 2.2.1 default,human T2 R1,12.9524917602539
211,HISAT2 2.2.1 default,human T3 R1,10.0268936157227
212,HISAT2 2.2.1 default,malaria T1 R1,12.6955947875977
213,HISAT2 2.2.1 default,malaria T2 R1,12.3786010742188
214,HISAT2 2.2.1 default,malaria T3 R1,9.15562438964844
49,STAR 2.7.10a default,human T1 R2,7.27943420410156
50,STAR 2.7.10a default,human T1 R3,7.28053283691406
51,STAR 2.7.10a default,human T2 R2,7.30293273925781
52,STAR 2.7.10a default,human T2 R3,7.3033447265625
53,STAR 2.7.10a default,human T3 R2,6.19553375244141
54,STAR 2.7.10a default,human T3 R3,6.19361877441406
55,STAR 2.7.10a default,malaria T1 R2,7.12316131591797
56,STAR 2.7.10a default,malaria T1 R3,7.12473297119141
57,STAR 2.7.10a default,malaria T2 R2,7.23233032226562
58,STAR 2.7.10a default,malaria T2 R3,7.23065185546875
59,STAR 2.7.10a default,malaria T3 R2,6.04732513427734
60,STAR 2.7.10a default,malaria T3 R3,6.02426910400391
233,STAR 2.7.10a default,human T1 R1,7.27928161621094
234,STAR 2.7.10a default,human T2 R1,7.30255889892578
235,STAR 2.7.10a default,human T3 R1,6.19538116455078
236,STAR 2.7.10a default,malaria T1 R1,7.12400054931641
237,STAR 2.7.10a default,malaria T2 R1,7.23508453369141
238,STAR 2.7.10a default,malaria T3 R1,6.03335571289062
61,Subjunc 2.0.1 default,human T1 R2,10.312385559082
62,Subjunc 2.0.1 default,human T1 R3,10.3125305175781
63,Subjunc 2.0.1 default,human T2 R2,10.2873306274414
64,Subjunc 2.0.1 default,human T2 R3,10.2871704101562
65,Subjunc 2.0.1 default,human T3 R2,9.61395263671875
66,Subjunc 2.0.1 default,human T3 R3,9.61400604248047
67,Subjunc 2.0.1 default,malaria T1 R2,10.1717987060547
68,Subjunc 2.0.1 default,malaria T1 R3,10.1721343994141
69,Subjunc 2.0.1 default,malaria T2 R2,10.1485900878906
70,Subjunc 2.0.1 default,malaria T2 R3,10.1494064331055
71,Subjunc 2.0.1 default,malaria T3 R2,9.23004913330078
72,Subjunc 2.0.1 default,malaria T3 R3,9.23329925537109
305,Subjunc 2.0.1 default,human T1 R1,10.3124389648438
306,Subjunc 2.0.1 default,human T2 R1,10.2869720458984
307,Subjunc 2.0.1 default,human T3 R1,9.61345672607422
308,Subjunc 2.0.1 default,malaria T1 R1,10.1721649169922
309,Subjunc 2.0.1 default,malaria T2 R1,10.1487579345703
310,Subjunc 2.0.1 default,malaria T3 R1,9.23088836669922
73,novoSplice 0.8.4 default,human T1 R2,12.9413986206055
74,novoSplice 0.8.4 default,human T1 R3,12.9404602050781
75,novoSplice 0.8.4 default,human T2 R2,13.1257247924805
76,novoSplice 0.8.4 default,human T2 R3,13.1294860839844
77,novoSplice 0.8.4 default,human T3 R2,13.4326782226562
78,novoSplice 0.8.4 default,human T3 R3,13.433219909668
79,novoSplice 0.8.4 default,malaria T1 R2,11.802978515625
80,novoSplice 0.8.4 default,malaria T1 R3,11.8069305419922
81,novoSplice 0.8.4 default,malaria T2 R2,12.0359878540039
82,novoSplice 0.8.4 default,malaria T2 R3,12.0270843505859
83,novoSplice 0.8.4 default,malaria T3 R2,12.6064987182617
84,novoSplice 0.8.4 default,malaria T3 R3,12.5854721069336
311,novoSplice 0.8.4 default,human T1 R1,12.9407653808594
312,novoSplice 0.8.4 default,human T2 R1,13.1302337646484
313,novoSplice 0.8.4 default,human T3 R1,13.4325180053711
314,novoSplice 0.8.4 default,malaria T1 R1,11.806526184082
315,novoSplice 0.8.4 default,malaria T2 R1,12.0336227416992
316,novoSplice 0.8.4 default,malaria T3 R1,12.5962677001953
