	Run	Dataset	IO_out
137	DRAGEN 4.0.3 default	human T1	2.0927734375
138	DRAGEN 4.0.3 default	human T2	2.81870269775391
139	DRAGEN 4.0.3 default	human T3	8.88101196289062
140	DRAGEN 4.0.3 default	malaria T1	1.44759368896484
141	DRAGEN 4.0.3 default	malaria T2	2.73436737060547
142	DRAGEN 4.0.3 default	malaria T3	8.90113067626953
725	DeepSAP MS150	human T1	6.78199768066406
825	DeepSAP MS150	human T2	7.14022827148438
925	DeepSAP MS150	human T3	7.85695648193359
1025	DeepSAP MS150	malaria T1	5.53052520751953
1125	DeepSAP MS150	malaria T2	6.01127624511719
1225	DeepSAP MS150	malaria T3	6.51528167724609
209	HISAT2 2.2.1 default	human T1	13.089729309082
210	HISAT2 2.2.1 default	human T2	12.9524917602539
211	HISAT2 2.2.1 default	human T3	10.0268936157227
212	HISAT2 2.2.1 default	malaria T1	12.6955947875977
213	HISAT2 2.2.1 default	malaria T2	12.3786010742188
214	HISAT2 2.2.1 default	malaria T3	9.15562438964844
233	STAR 2.7.10a default	human T1	7.27928161621094
234	STAR 2.7.10a default	human T2	7.30255889892578
235	STAR 2.7.10a default	human T3	6.19538116455078
236	STAR 2.7.10a default	malaria T1	7.12400054931641
237	STAR 2.7.10a default	malaria T2	7.23508453369141
238	STAR 2.7.10a default	malaria T3	6.03335571289062
305	Subjunc 2.0.1 default	human T1	10.3124389648438
306	Subjunc 2.0.1 default	human T2	10.2869720458984
307	Subjunc 2.0.1 default	human T3	9.61345672607422
308	Subjunc 2.0.1 default	malaria T1	10.1721649169922
309	Subjunc 2.0.1 default	malaria T2	10.1487579345703
310	Subjunc 2.0.1 default	malaria T3	9.23088836669922
311	novoSplice 0.8.4 default	human T1	12.9407653808594
312	novoSplice 0.8.4 default	human T2	13.1302337646484
313	novoSplice 0.8.4 default	human T3	13.4325180053711
314	novoSplice 0.8.4 default	malaria T1	11.806526184082
315	novoSplice 0.8.4 default	malaria T2	12.0336227416992
316	novoSplice 0.8.4 default	malaria T3	12.5962677001953
