,Run,Dataset,RAM
1,DRAGEN 4.0.3 default,human T1 R2,43.2132301330566
2,DRAGEN 4.0.3 default,human T1 R3,43.1728134155273
3,DRAGEN 4.0.3 default,human T2 R2,42.8881416320801
4,DRAGEN 4.0.3 default,human T2 R3,42.9064788818359
5,DRAGEN 4.0.3 default,human T3 R2,38.733039855957
6,DRAGEN 4.0.3 default,human T3 R3,38.7349700927734
7,DRAGEN 4.0.3 default,malaria T1 R2,7.64052200317383
8,DRAGEN 4.0.3 default,malaria T1 R3,7.64343643188477
9,DRAGEN 4.0.3 default,malaria T2 R2,7.33075332641602
10,DRAGEN 4.0.3 default,malaria T2 R3,7.31703948974609
11,DRAGEN 4.0.3 default,malaria T3 R2,7.45601654052734
12,DRAGEN 4.0.3 default,malaria T3 R3,7.46542358398438
137,DRAGEN 4.0.3 default,human T1 R1,43.215160369873
138,DRAGEN 4.0.3 default,human T2 R1,42.9014701843262
139,DRAGEN 4.0.3 default,human T3 R1,38.7330322265625
140,DRAGEN 4.0.3 default,malaria T1 R1,7.764892578125
141,DRAGEN 4.0.3 default,malaria T2 R1,7.31497573852539
142,DRAGEN 4.0.3 default,malaria T3 R1,7.38848495483398
13,DeepSAP MS150,human T1 R2,0.0260047912597656
14,DeepSAP MS150,human T1 R3,0.026092529296875
15,DeepSAP MS150,human T2 R2,0.0265655517578125
16,DeepSAP MS150,human T2 R3,0.0261154174804688
17,DeepSAP MS150,human T3 R2,0.0258445739746094
18,DeepSAP MS150,human T3 R3,0.0264205932617188
19,DeepSAP MS150,malaria T1 R2,0.0259819030761719
20,DeepSAP MS150,malaria T1 R3,0.0267295837402344
21,DeepSAP MS150,malaria T2 R2,0.0266075134277344
22,DeepSAP MS150,malaria T2 R3,0.0258941650390625
23,DeepSAP MS150,malaria T3 R2,0.0258903503417969
24,DeepSAP MS150,malaria T3 R3,0.0257835388183594
725,DeepSAP MS150,human T1 R1,31.9338264465332
825,DeepSAP MS150,human T2 R1,32.2674827575684
925,DeepSAP MS150,human T3 R1,32.8902244567871
1025,DeepSAP MS150,malaria T1 R1,4.66233062744141
1125,DeepSAP MS150,malaria T2 R1,4.7701530456543
1225,DeepSAP MS150,malaria T3 R1,4.81535339355469
37,HISAT2 2.2.1 default,human T1 R2,5.68566131591797
38,HISAT2 2.2.1 default,human T1 R3,5.6600227355957
39,HISAT2 2.2.1 default,human T2 R2,5.72991561889648
40,HISAT2 2.2.1 default,human T2 R3,5.68405151367188
41,HISAT2 2.2.1 default,human T3 R2,5.66760635375977
42,HISAT2 2.2.1 default,human T3 R3,5.64456558227539
43,HISAT2 2.2.1 default,malaria T1 R2,0.190925598144531
44,HISAT2 2.2.1 default,malaria T1 R3,0.191791534423828
45,HISAT2 2.2.1 default,malaria T2 R2,0.217395782470703
46,HISAT2 2.2.1 default,malaria T2 R3,0.219467163085938
47,HISAT2 2.2.1 default,malaria T3 R2,0.156864166259766
48,HISAT2 2.2.1 default,malaria T3 R3,0.1640625
209,HISAT2 2.2.1 default,human T1 R1,5.64521408081055
210,HISAT2 2.2.1 default,human T2 R1,5.73149871826172
211,HISAT2 2.2.1 default,human T3 R1,5.64650726318359
212,HISAT2 2.2.1 default,malaria T1 R1,0.18536376953125
213,HISAT2 2.2.1 default,malaria T2 R1,0.217849731445312
214,HISAT2 2.2.1 default,malaria T3 R1,0.1590576171875
49,STAR 2.7.10a default,human T1 R2,30.171501159668
50,STAR 2.7.10a default,human T1 R3,30.1740646362305
51,STAR 2.7.10a default,human T2 R2,30.1717109680176
52,STAR 2.7.10a default,human T2 R3,30.1774673461914
53,STAR 2.7.10a default,human T3 R2,30.1474800109863
54,STAR 2.7.10a default,human T3 R3,30.1454734802246
55,STAR 2.7.10a default,malaria T1 R2,3.66819381713867
56,STAR 2.7.10a default,malaria T1 R3,3.66875457763672
57,STAR 2.7.10a default,malaria T2 R2,3.66974639892578
58,STAR 2.7.10a default,malaria T2 R3,3.66817092895508
59,STAR 2.7.10a default,malaria T3 R2,3.67389678955078
60,STAR 2.7.10a default,malaria T3 R3,3.6735725402832
233,STAR 2.7.10a default,human T1 R1,30.172233581543
234,STAR 2.7.10a default,human T2 R1,30.1796379089355
