	Run	Dataset	F1_mapping
317	DRAGEN 4.0.3 default	human T1	91.6288941377055
318	DRAGEN 4.0.3 default	human T2	91.5849776869915
319	DRAGEN 4.0.3 default	human T3	91.4377172352199
320	DRAGEN 4.0.3 default	malaria T1	91.8500969562328
321	DRAGEN 4.0.3 default	malaria T2	91.7510963566941
322	DRAGEN 4.0.3 default	malaria T3	91.4836905097959
3127	DeepSAP MS150	human T1	91.9766024886919
3225	DeepSAP MS150	human T2	92.0193626160192
3325	DeepSAP MS150	human T3	92.0520360831105
3425	DeepSAP MS150	malaria T1	91.927031955126
3525	DeepSAP MS150	malaria T2	91.9728888302244
3625	DeepSAP MS150	malaria T3	92.032419005303
389	HISAT2 2.2.1 default	human T1	90.2316020155647
390	HISAT2 2.2.1 default	human T2	89.1477273022412
391	HISAT2 2.2.1 default	human T3	86.823621514862
392	HISAT2 2.2.1 default	malaria T1	90.1986808061118
393	HISAT2 2.2.1 default	malaria T2	79.5778264682553
394	HISAT2 2.2.1 default	malaria T3	49.1159373300017
413	STAR 2.7.10a default	human T1	91.3175129095766
414	STAR 2.7.10a default	human T2	91.1296777398677
415	STAR 2.7.10a default	human T3	90.7020092700092
416	STAR 2.7.10a default	malaria T1	91.3986327728868
417	STAR 2.7.10a default	malaria T2	88.9385851676457
418	STAR 2.7.10a default	malaria T3	80.2611634204499
485	Subjunc 2.0.1 default	human T1	89.3843012437124
486	Subjunc 2.0.1 default	human T2	89.0861916479562
487	Subjunc 2.0.1 default	human T3	87.7013056011229
488	Subjunc 2.0.1 default	malaria T1	88.8013290852134
489	Subjunc 2.0.1 default	malaria T2	88.7811372394556
490	Subjunc 2.0.1 default	malaria T3	75.9044045674932
491	novoSplice 0.8.4 default	human T1	91.8265499389088
492	novoSplice 0.8.4 default	human T2	91.5969440832118
493	novoSplice 0.8.4 default	human T3	91.6054803215177
494	novoSplice 0.8.4 default	malaria T1	91.7015237238661
495	novoSplice 0.8.4 default	malaria T2	91.7238594500461
496	novoSplice 0.8.4 default	malaria T3	90.9775594408265
