,Run,Dataset,F1_splice
317,DRAGEN 4.0.3 default,human T1 R1,98.3169495261186
318,DRAGEN 4.0.3 default,human T2 R1,98.2528101654681
319,DRAGEN 4.0.3 default,human T3 R1,98.0565091101135
320,DRAGEN 4.0.3 default,malaria T1 R1,97.11654676259
321,DRAGEN 4.0.3 default,malaria T2 R1,96.2206095791001
322,DRAGEN 4.0.3 default,malaria T3 R1,91.9765166340509
3135,DeepSAP MS150,human T1 R1,98.8137313223921
3225,DeepSAP MS150,human T2 R1,98.6632706985125
3325,DeepSAP MS150,human T3 R1,98.4635541774031
3425,DeepSAP MS150,malaria T1 R1,98.9463880318994
3525,DeepSAP MS150,malaria T2 R1,96.9175293707107
3625,DeepSAP MS150,malaria T3 R1,94.4898435675928
389,HISAT2 2.2.1 default,human T1 R1,96.2307803949357
390,HISAT2 2.2.1 default,human T2 R1,95.6257594167679
391,HISAT2 2.2.1 default,human T3 R1,94.5504826860759
392,HISAT2 2.2.1 default,malaria T1 R1,93.011811023622
393,HISAT2 2.2.1 default,malaria T2 R1,79.0234994473545
394,HISAT2 2.2.1 default,malaria T3 R1,72.2624866565537
413,STAR 2.7.10a default,human T1 R1,98.158905361584
414,STAR 2.7.10a default,human T2 R1,97.8132490360232
415,STAR 2.7.10a default,human T3 R1,97.4204801430437
416,STAR 2.7.10a default,malaria T1 R1,86.3258753376484
417,STAR 2.7.10a default,malaria T2 R1,62.1823838802874
418,STAR 2.7.10a default,malaria T3 R1,46.4755909324778
485,Subjunc 2.0.1 default,human T1 R1,96.7621921425081
486,Subjunc 2.0.1 default,human T2 R1,95.7911677718889
487,Subjunc 2.0.1 default,human T3 R1,94.6403242147923
488,Subjunc 2.0.1 default,malaria T1 R1,52.150224970157
489,Subjunc 2.0.1 default,malaria T2 R1,35.9683879120173
490,Subjunc 2.0.1 default,malaria T3 R1,30.1201560870069
491,novoSplice 0.8.4 default,human T1 R1,98.8439051490754
492,novoSplice 0.8.4 default,human T2 R1,98.7879898431978
493,novoSplice 0.8.4 default,human T3 R1,98.6430108471301
494,novoSplice 0.8.4 default,malaria T1 R1,99.5367927294049
495,novoSplice 0.8.4 default,malaria T2 R1,97.111416781293
496,novoSplice 0.8.4 default,malaria T3 R1,91.7462408078147
