	Run	Dataset	TP_splice	AM_splice	FN_splice	FP_splice
317	DRAGEN 4.0.3 default	human T1	55758	0	1236	673
318	DRAGEN 4.0.3 default	human T2	56291	0	1258	744
319	DRAGEN 4.0.3 default	human T3	55701	0	1287	921
320	DRAGEN 4.0.3 default	malaria T1	8437	0	95	406
321	DRAGEN 4.0.3 default	malaria T2	8287	0	251	400
322	DRAGEN 4.0.3 default	malaria T3	7990	0	547	847
3127	DeepSAP MS150	human T1	56476	0	518	838
3225	DeepSAP MS150	human T2	56944	0	605	938
3325	DeepSAP MS150	human T3	56363	0	625	1134
3425	DeepSAP MS150	malaria T1	8499	0	33	148
3525	DeepSAP MS150	malaria T2	8332	0	206	324
3625	DeepSAP MS150	malaria T3	8094	0	443	501
389	HISAT2 2.2.1 default	human T1	56359	0	635	3780
390	HISAT2 2.2.1 default	human T2	56664	0	885	4299
391	HISAT2 2.2.1 default	human T3	55729	0	1259	5165
392	HISAT2 2.2.1 default	malaria T1	8505	0	27	1251
393	HISAT2 2.2.1 default	malaria T2	8222	0	316	4049
394	HISAT2 2.2.1 default	malaria T3	6431	0	2106	2831
413	STAR 2.7.10a default	human T1	55848	0	1146	949
414	STAR 2.7.10a default	human T2	56315	0	1234	1284
415	STAR 2.7.10a default	human T3	55574	0	1414	1529
416	STAR 2.7.10a default	malaria T1	8469	0	63	2620
417	STAR 2.7.10a default	malaria T2	8394	0	144	10066
418	STAR 2.7.10a default	malaria T3	7678	0	859	16826
485	Subjunc 2.0.1 default	human T1	56438	0	556	3221
486	Subjunc 2.0.1 default	human T2	56842	0	707	4288
487	Subjunc 2.0.1 default	human T3	56046	0	942	5406
488	Subjunc 2.0.1 default	malaria T1	8519	0	13	15620
489	Subjunc 2.0.1 default	malaria T2	8397	0	141	29756
490	Subjunc 2.0.1 default	malaria T3	7796	0	741	35433
491	novoSplice 0.8.4 default	human T1	56044	0	950	361
492	novoSplice 0.8.4 default	human T2	56607	0	942	447
493	novoSplice 0.8.4 default	human T3	56155	0	833	712
494	novoSplice 0.8.4 default	malaria T1	8488	0	44	35
495	novoSplice 0.8.4 default	malaria T2	8472	0	66	438
496	novoSplice 0.8.4 default	malaria T3	8359	0	178	1326
