,Run,Dataset,F1_Base
1,DRAGEN 4.0.3 default,human T1 R2,98.7051714531733
2,DRAGEN 4.0.3 default,human T1 R3,98.7051714531733
3,DRAGEN 4.0.3 default,human T2 R2,98.4630454430058
4,DRAGEN 4.0.3 default,human T2 R3,98.4681559707555
5,DRAGEN 4.0.3 default,human T3 R2,94.2304569280458
6,DRAGEN 4.0.3 default,human T3 R3,94.2195033095049
137,DRAGEN 4.0.3 default,human T1 R1,98.7051714531733
138,DRAGEN 4.0.3 default,human T2 R1,98.4632647880173
139,DRAGEN 4.0.3 default,human T3 R1,94.2295250701541
13,DeepSAP MS150,human T1 R2,98.633348540146
14,DeepSAP MS150,human T1 R3,98.633348540146
15,DeepSAP MS150,human T2 R2,98.4426612493652
16,DeepSAP MS150,human T2 R3,98.4475750342796
17,DeepSAP MS150,human T3 R2,94.3695755715495
18,DeepSAP MS150,human T3 R3,94.3695755715495
725,DeepSAP MS150,human T1 R1,98.633348540146
825,DeepSAP MS150,human T2 R1,98.4426612493652
925,DeepSAP MS150,human T3 R1,94.3695755715495
37,HISAT2 2.2.1 default,human T1 R2,98.3637769985262
38,HISAT2 2.2.1 default,human T1 R3,98.3689246874682
39,HISAT2 2.2.1 default,human T2 R2,95.2471657585918
40,HISAT2 2.2.1 default,human T2 R3,95.252625072031
41,HISAT2 2.2.1 default,human T3 R2,36.6554664041349
42,HISAT2 2.2.1 default,human T3 R3,36.6820736608974
209,HISAT2 2.2.1 default,human T1 R1,98.3689246874682
210,HISAT2 2.2.1 default,human T2 R1,95.2471657585918
211,HISAT2 2.2.1 default,human T3 R1,36.6680909016326
49,STAR 2.7.10a default,human T1 R2,98.6868328267477
50,STAR 2.7.10a default,human T1 R3,98.6919487361329
51,STAR 2.7.10a default,human T2 R2,98.03643891495
52,STAR 2.7.10a default,human T2 R3,98.03643891495
53,STAR 2.7.10a default,human T3 R2,85.7933741769253
54,STAR 2.7.10a default,human T3 R3,85.7741346924751
233,STAR 2.7.10a default,human T1 R1,98.6868328267477
234,STAR 2.7.10a default,human T2 R1,98.0264365119837
235,STAR 2.7.10a default,human T3 R1,85.7869617498855
61,Subjunc 2.0.1 default,human T1 R2,95.7733854736952
62,Subjunc 2.0.1 default,human T1 R3,95.7733854736952
63,Subjunc 2.0.1 default,human T2 R2,93.7434682265355
64,Subjunc 2.0.1 default,human T2 R3,93.7423727731986
65,Subjunc 2.0.1 default,human T3 R2,58.9489568627451
66,Subjunc 2.0.1 default,human T3 R3,58.9507614430344
305,Subjunc 2.0.1 default,human T1 R1,95.7733854736952
306,Subjunc 2.0.1 default,human T2 R1,93.7267790660568
307,Subjunc 2.0.1 default,human T3 R1,58.9195835116246
73,novoSplice 0.8.4 default,human T1 R2,97.8595495403473
74,novoSplice 0.8.4 default,human T1 R3,97.8595495403473
75,novoSplice 0.8.4 default,human T2 R2,97.3508684939945
76,novoSplice 0.8.4 default,human T2 R3,97.3508684939945
77,novoSplice 0.8.4 default,human T3 R2,91.032251377448
78,novoSplice 0.8.4 default,human T3 R3,91.0205335806645
311,novoSplice 0.8.4 default,human T1 R1,97.8647546090598
312,novoSplice 0.8.4 default,human T2 R1,97.3561176410204
313,novoSplice 0.8.4 default,human T3 R1,91.032251377448
