	Run	Dataset	F1_Deletion
137	DRAGEN 4.0.3 default	human T1	84.7787771280285
138	DRAGEN 4.0.3 default	human T2	82.9044273715237
139	DRAGEN 4.0.3 default	human T3	60.2925594963918
725	DeepSAP MS150	human T1	91.9346395182449
825	DeepSAP MS150	human T2	89.3381989876398
925	DeepSAP MS150	human T3	68.8483113443916
209	HISAT2 2.2.1 default	human T1	79.999373531715
210	HISAT2 2.2.1 default	human T2	58.196409120901
211	HISAT2 2.2.1 default	human T3	1.68507387142456
233	STAR 2.7.10a default	human T1	82.5614790728067
234	STAR 2.7.10a default	human T2	74.4571009855369
235	STAR 2.7.10a default	human T3	26.7530791132805
305	Subjunc 2.0.1 default	human T1	88.7050145444325
306	Subjunc 2.0.1 default	human T2	83.4368079227871
307	Subjunc 2.0.1 default	human T3	21.3889812956761
311	novoSplice 0.8.4 default	human T1	87.0954062879266
312	novoSplice 0.8.4 default	human T2	84.0610301787284
313	novoSplice 0.8.4 default	human T3	59.7751902923068
