,Run,Dataset,F1_Insertion
1,DRAGEN 4.0.3 default,human T1 R2,82.6128218893809
2,DRAGEN 4.0.3 default,human T1 R3,82.9840031364233
3,DRAGEN 4.0.3 default,human T2 R2,81.0784031193761
4,DRAGEN 4.0.3 default,human T2 R3,80.983708243957
5,DRAGEN 4.0.3 default,human T3 R2,59.3019303202014
6,DRAGEN 4.0.3 default,human T3 R3,59.429203811866
137,DRAGEN 4.0.3 default,human T1 R1,82.7905832780167
138,DRAGEN 4.0.3 default,human T2 R1,80.9191984629439
139,DRAGEN 4.0.3 default,human T3 R1,59.3850450034618
13,DeepSAP MS150,human T1 R2,89.9103734284914
14,DeepSAP MS150,human T1 R3,90.1697260361106
15,DeepSAP MS150,human T2 R2,87.8058100558659
16,DeepSAP MS150,human T2 R3,87.8455463417386
17,DeepSAP MS150,human T3 R2,67.3730967647916
18,DeepSAP MS150,human T3 R3,67.5258164897484
725,DeepSAP MS150,human T1 R1,90.1260756983086
825,DeepSAP MS150,human T2 R1,87.7727687710203
925,DeepSAP MS150,human T3 R1,67.5461904121352
37,HISAT2 2.2.1 default,human T1 R2,77.6159409412488
38,HISAT2 2.2.1 default,human T1 R3,78.260464501245
39,HISAT2 2.2.1 default,human T2 R2,57.0611456296618
40,HISAT2 2.2.1 default,human T2 R3,57.0648747956915
41,HISAT2 2.2.1 default,human T3 R2,1.72425585023402
42,HISAT2 2.2.1 default,human T3 R3,1.74409321678809
209,HISAT2 2.2.1 default,human T1 R1,78.0730591535475
210,HISAT2 2.2.1 default,human T2 R1,56.9911193165363
211,HISAT2 2.2.1 default,human T3 R1,1.74406807462652
49,STAR 2.7.10a default,human T1 R2,75.217312210919
50,STAR 2.7.10a default,human T1 R3,75.1592402622615
51,STAR 2.7.10a default,human T2 R2,67.1024244989642
52,STAR 2.7.10a default,human T2 R3,67.0588715159755
53,STAR 2.7.10a default,human T3 R2,23.4191060762101
54,STAR 2.7.10a default,human T3 R3,23.4478764160659
233,STAR 2.7.10a default,human T1 R1,75.2729358547465
234,STAR 2.7.10a default,human T2 R1,66.8482124616956
235,STAR 2.7.10a default,human T3 R1,23.566383372775
61,Subjunc 2.0.1 default,human T1 R2,86.4989527432132
62,Subjunc 2.0.1 default,human T1 R3,87.2056749716874
63,Subjunc 2.0.1 default,human T2 R2,81.4629048325327
64,Subjunc 2.0.1 default,human T2 R3,81.5342643630059
65,Subjunc 2.0.1 default,human T3 R2,21.8713193640097
66,Subjunc 2.0.1 default,human T3 R3,22.1453131492775
305,Subjunc 2.0.1 default,human T1 R1,85.8836150753798
306,Subjunc 2.0.1 default,human T2 R1,81.280987654321
307,Subjunc 2.0.1 default,human T3 R1,22.1225928654109
73,novoSplice 0.8.4 default,human T1 R2,86.1338110447305
74,novoSplice 0.8.4 default,human T1 R3,86.1776427872861
75,novoSplice 0.8.4 default,human T2 R2,83.5152548557975
76,novoSplice 0.8.4 default,human T2 R3,83.6716720973244
77,novoSplice 0.8.4 default,human T3 R2,58.3791430589067
78,novoSplice 0.8.4 default,human T3 R3,58.4849440894569
311,novoSplice 0.8.4 default,human T1 R1,86.0323606000226
312,novoSplice 0.8.4 default,human T2 R1,83.6171780708031
313,novoSplice 0.8.4 default,human T3 R1,58.5081990256369
