,Run,Dataset,F1_Skipping
1,DRAGEN 4.0.3 default,human T1 R2,96.110717439867
2,DRAGEN 4.0.3 default,human T1 R3,96.1337700650444
3,DRAGEN 4.0.3 default,human T2 R2,95.6829215358932
4,DRAGEN 4.0.3 default,human T2 R3,95.7046232711124
5,DRAGEN 4.0.3 default,human T3 R2,87.5274947796151
6,DRAGEN 4.0.3 default,human T3 R3,87.5785549985588
137,DRAGEN 4.0.3 default,human T1 R1,96.1183262337662
138,DRAGEN 4.0.3 default,human T2 R1,95.6975410776694
139,DRAGEN 4.0.3 default,human T3 R1,87.5521825243003
13,DeepSAP MS150,human T1 R2,98.8897357552274
14,DeepSAP MS150,human T1 R3,98.9298819983413
15,DeepSAP MS150,human T2 R2,98.6499641902856
16,DeepSAP MS150,human T2 R3,98.6043461947979
17,DeepSAP MS150,human T3 R2,93.6933841941677
18,DeepSAP MS150,human T3 R3,93.81159549886
725,DeepSAP MS150,human T1 R1,98.9652894562095
825,DeepSAP MS150,human T2 R1,98.6094504157372
925,DeepSAP MS150,human T3 R1,93.8216261918892
37,HISAT2 2.2.1 default,human T1 R2,97.3812785931339
38,HISAT2 2.2.1 default,human T1 R3,97.4894481444437
39,HISAT2 2.2.1 default,human T2 R2,90.944637291899
40,HISAT2 2.2.1 default,human T2 R3,90.5515610158143
41,HISAT2 2.2.1 default,human T3 R2,10.4652320304288
42,HISAT2 2.2.1 default,human T3 R3,10.3226274278988
209,HISAT2 2.2.1 default,human T1 R1,97.455091579064
210,HISAT2 2.2.1 default,human T2 R1,90.9959855847985
211,HISAT2 2.2.1 default,human T3 R1,10.5169007150393
49,STAR 2.7.10a default,human T1 R2,95.8835781068641
50,STAR 2.7.10a default,human T1 R3,95.9488870270155
51,STAR 2.7.10a default,human T2 R2,93.001240642422
52,STAR 2.7.10a default,human T2 R3,92.8771468520513
53,STAR 2.7.10a default,human T3 R2,54.1006900416266
54,STAR 2.7.10a default,human T3 R3,54.2735950115917
233,STAR 2.7.10a default,human T1 R1,95.8227835528517
234,STAR 2.7.10a default,human T2 R1,93.042412029347
235,STAR 2.7.10a default,human T3 R1,54.2359495310153
61,Subjunc 2.0.1 default,human T1 R2,94.6476152627495
62,Subjunc 2.0.1 default,human T1 R3,94.8369253479544
63,Subjunc 2.0.1 default,human T2 R2,90.5829058169517
64,Subjunc 2.0.1 default,human T2 R3,90.420110018224
65,Subjunc 2.0.1 default,human T3 R2,39.1546358567514
66,Subjunc 2.0.1 default,human T3 R3,39.3379598533102
305,Subjunc 2.0.1 default,human T1 R1,94.8226711190766
306,Subjunc 2.0.1 default,human T2 R1,90.4231415921623
307,Subjunc 2.0.1 default,human T3 R1,39.4482927818605
73,novoSplice 0.8.4 default,human T1 R2,95.3775473765983
74,novoSplice 0.8.4 default,human T1 R3,95.339236747986
75,novoSplice 0.8.4 default,human T2 R2,94.9124091154384
76,novoSplice 0.8.4 default,human T2 R3,94.883851967043
77,novoSplice 0.8.4 default,human T3 R2,86.07173057484
78,novoSplice 0.8.4 default,human T3 R3,85.9601658068183
311,novoSplice 0.8.4 default,human T1 R1,95.36107724529
312,novoSplice 0.8.4 default,human T2 R1,94.8958533446219
313,novoSplice 0.8.4 default,human T3 R1,86.1780336249025
