	Run	Dataset	F1_Skipping
137	DRAGEN 4.0.3 default	human T1	96.1183262337662
138	DRAGEN 4.0.3 default	human T2	95.6975410776694
139	DRAGEN 4.0.3 default	human T3	87.5521825243003
725	DeepSAP MS150	human T1	98.9652894562095
825	DeepSAP MS150	human T2	98.6094504157372
925	DeepSAP MS150	human T3	93.8216261918892
209	HISAT2 2.2.1 default	human T1	97.455091579064
210	HISAT2 2.2.1 default	human T2	90.9959855847985
211	HISAT2 2.2.1 default	human T3	10.5169007150393
233	STAR 2.7.10a default	human T1	95.8227835528517
234	STAR 2.7.10a default	human T2	93.042412029347
235	STAR 2.7.10a default	human T3	54.2359495310153
305	Subjunc 2.0.1 default	human T1	94.8226711190766
306	Subjunc 2.0.1 default	human T2	90.4231415921623
307	Subjunc 2.0.1 default	human T3	39.4482927818605
311	novoSplice 0.8.4 default	human T1	95.36107724529
312	novoSplice 0.8.4 default	human T2	94.8958533446219
313	novoSplice 0.8.4 default	human T3	86.1780336249025
