,Run,Dataset,Percision_Read,Recall_Read,Percision_Base,Recall_Base,Percision_Junction,Recall_Junction,Percision_Skipping,Recall_Skipping,Percision_Deletion,Recall_Deletion,Percision_Insertion,Recall_Insertion
1,DRAGEN 4.0.3 default,human T1 R2,99.75,97.9,99.7,97.73,99.8901,92.0201,99.84,92.65,98.4501,74.43,98.0601,71.37
2,DRAGEN 4.0.3 default,human T1 R3,99.75,97.91,99.7,97.73,99.8901,92.05,99.82,92.7101,98.5601,74.81,98.3701,71.76
3,DRAGEN 4.0.3 default,human T2 R2,99.71,97.81,99.56,97.39,99.8501,91.46,99.72,91.96,97.1301,72.35,97.11,69.59
4,DRAGEN 4.0.3 default,human T2 R3,99.71,97.82,99.56,97.4,99.83,91.44,99.72,92.0001,97.1401,72.5,97.1501,69.4301
5,DRAGEN 4.0.3 default,human T3 R2,99.37,96.37,98.83,90.04,99.3801,79.9901,98.32,78.87,82.8,47.47,84.1601,45.78
6,DRAGEN 4.0.3 default,human T3 R3,99.37,96.36,98.83,90.02,99.3701,79.97,98.3401,78.94,82.98,47.59,84.2,45.92
137,DRAGEN 4.0.3 default,human T1 R1,99.75,97.9,99.7,97.73,99.8901,92.0201,99.81,92.69,98.4,74.4701,98.2401,71.54
138,DRAGEN 4.0.3 default,human T2 R1,99.7,97.82,99.55,97.4,99.84,91.5001,99.74,91.97,97.1,72.3301,97.18,69.3201
139,DRAGEN 4.0.3 default,human T3 R1,99.37,96.37,98.84,90.03,99.3801,79.96,98.32,78.9101,82.88,47.38,84.09,45.9
13,DeepSAP MS150,human T1 R2,99.48,98.04,99.45,97.83,99.7901,97.89,99.62,98.1701,97.8,86.53,98.02,83.0401
14,DeepSAP MS150,human T1 R3,99.48,98.04,99.45,97.83,99.7901,97.91,99.6501,98.22,97.73,86.82,98.0801,83.4401
15,DeepSAP MS150,human T2 R2,99.42,97.95,99.3,97.6,99.7601,97.42,99.6601,97.6601,96.4601,83.5601,97.02,80.19
16,DeepSAP MS150,human T2 R3,99.42,97.95,99.31,97.6,99.7601,97.39,99.64,97.59,96.4301,83.6,97,80.27
17,DeepSAP MS150,human T3 R2,98.4,96.24,97.71,91.25,99.3901,89.13,99.32,88.6701,77.93,61.63,77.87,59.37
18,DeepSAP MS150,human T3 R3,98.4,96.24,97.71,91.25,99.4,89.0801,99.3601,88.85,78.15,61.68,78.02,59.52
725,DeepSAP MS150,human T1 R1,99.48,98.03,99.45,97.83,99.8,97.91,99.6601,98.2801,97.8801,86.6701,98.31,83.2
825,DeepSAP MS150,human T2 R1,99.42,97.95,99.3,97.6,99.7701,97.4401,99.64,97.6,96.2401,83.36,96.91,80.2101
925,DeepSAP MS150,human T3 R1,98.4,96.24,97.71,91.25,99.3901,89.11,99.32,88.9001,78.1101,61.5501,77.9201,59.61
37,HISAT2 2.2.1 default,human T1 R2,99.86,97.1,99.83,96.94,99.5,94.8101,99.4901,95.36,98.73,67.24,98.52,64.03
38,HISAT2 2.2.1 default,human T1 R3,99.86,97.11,99.83,96.95,99.5,94.88,99.52,95.5401,98.8501,67.25,98.6401,64.86
39,HISAT2 2.2.1 default,human T2 R2,99.8,91.39,99.73,91.15,98.9901,83.87,98.7401,84.29,97.8501,41.6801,97.81,40.28
40,HISAT2 2.2.1 default,human T2 R3,99.8,91.4,99.73,91.16,99.03,83.86,98.7501,83.61,97.91,41.36,97.9501,40.26
41,HISAT2 2.2.1 default,human T3 R2,99.49,22.72,99.42,22.47,92.4101,5.7,79.74,5.6001,96.09,0.880099999999999,95.28,0.870000000000005
42,HISAT2 2.2.1 default,human T3 R3,99.49,22.74,99.42,22.49,92.5001,5.72,79.43,5.52,95.9,0.870000000000005,95.3,0.880099999999999
209,HISAT2 2.2.1 default,human T1 R1,99.86,97.1,99.83,96.95,99.4901,94.8201,99.4701,95.5201,98.8,67.21,98.6701,64.5901
210,HISAT2 2.2.1 default,human T2 R1,99.8,91.39,99.73,91.15,99.04,83.9,98.82,84.32,97.8701,41.41,97.93,40.19
