,Run,Dataset,Bases_Alinged_Incorrectly,Bases_Alinged_Ambiguously,Bases_Alinged_Correctly,Bases_Unalinged
1,DRAGEN 4.0.3 default,human T1 R2,0.279328,1.725848,97.754824,0.24
2,DRAGEN 4.0.3 default,human T1 R3,0.279356,1.726021,97.764623,0.23
3,DRAGEN 4.0.3 default,human T2 R2,0.418194,1.722561,97.429245,0.43
4,DRAGEN 4.0.3 default,human T2 R3,0.418194,1.722561,97.429245,0.43
5,DRAGEN 4.0.3 default,human T3 R2,0.97587,1.691508,90.272622,7.06
6,DRAGEN 4.0.3 default,human T3 R3,0.985058,1.700619,90.244323,7.07
137,DRAGEN 4.0.3 default,human T1 R1,0.279328,1.735824,97.744848,0.24
138,DRAGEN 4.0.3 default,human T2 R1,0.428151,1.722561,97.419288,0.43
139,DRAGEN 4.0.3 default,human T3 R1,0.97587,1.710096,90.254034,7.06
13,DeepSAP MS150,human T1 R2,0.529046,1.437408,97.853546,0.18
14,DeepSAP MS150,human T1 R3,0.529046,1.437408,97.853546,0.18
15,DeepSAP MS150,human T2 R2,0.678436,1.466619,97.624945,0.23
16,DeepSAP MS150,human T2 R3,0.668459,1.466619,97.634922,0.23
17,DeepSAP MS150,human T3 R2,2.030103,1.820421,91.459476,4.69
18,DeepSAP MS150,human T3 R3,2.030103,1.820421,91.459476,4.69
725,DeepSAP MS150,human T1 R1,0.529046,1.44739,97.843564,0.18
825,DeepSAP MS150,human T2 R1,0.678436,1.466619,97.624945,0.23
925,DeepSAP MS150,human T3 R1,2.030103,1.820421,91.459476,4.69
37,HISAT2 2.2.1 default,human T1 R2,0.1491,2.27626,96.97464,0.6
38,HISAT2 2.2.1 default,human T1 R3,0.1491,2.26632,96.98458,0.6
39,HISAT2 2.2.1 default,human T2 R2,0.224976,2.193516,91.321508,6.26
40,HISAT2 2.2.1 default,human T2 R3,0.225,2.19375,91.33125,6.25
41,HISAT2 2.2.1 default,human T3 R2,0.030823,0.26081,23.418367,76.29
42,HISAT2 2.2.1 default,human T3 R3,0.030849,0.258657,23.440494,76.27
209,HISAT2 2.2.1 default,human T1 R1,0.149115,2.276489,96.984396,0.59
210,HISAT2 2.2.1 default,human T2 R1,0.224952,2.183909,91.321139,6.27
211,HISAT2 2.2.1 default,human T3 R1,0.030836,0.258548,23.430616,76.28
49,STAR 2.7.10a default,human T1 R2,0.14946,1.903124,97.587416,0.36
50,STAR 2.7.10a default,human T1 R3,0.139496,1.913088,97.587416,0.36
51,STAR 2.7.10a default,human T2 R2,0.39664,2.18152,96.58184,0.84
52,STAR 2.7.10a default,human T2 R3,0.39664,2.18152,96.58184,0.84
53,STAR 2.7.10a default,human T3 R2,0.661836,1.701864,76.4263,21.21
54,STAR 2.7.10a default,human T3 R3,0.661584,1.709092,76.389324,21.24
233,STAR 2.7.10a default,human T1 R1,0.139496,1.913088,97.587416,0.36
234,STAR 2.7.10a default,human T2 R1,0.3966,2.171385,96.582015,0.85
235,STAR 2.7.10a default,human T3 R1,0.661752,1.709526,76.408722,21.22
61,Subjunc 2.0.1 default,human T1 R2,0.586719,0,92.543281,6.87
62,Subjunc 2.0.1 default,human T1 R3,0.586719,0,92.543281,6.87
63,Subjunc 2.0.1 default,human T2 R2,0.654299,0,88.975701,10.37
64,Subjunc 2.0.1 default,human T2 R3,0.654226,0,88.965774,10.38
65,Subjunc 2.0.1 default,human T3 R2,0.34352,0,42.59648,57.06
66,Subjunc 2.0.1 default,human T3 R3,0.34352,0,42.59648,57.06
305,Subjunc 2.0.1 default,human T1 R1,0.586719,0,92.543281,6.87
306,Subjunc 2.0.1 default,human T2 R1,0.65408,0,88.94592,10.4
307,Subjunc 2.0.1 default,human T3 R1,0.34336,0,42.57664,57.08
73,novoSplice 0.8.4 default,human T1 R2,0.08973,3.66896,95.94131,0.3
74,novoSplice 0.8.4 default,human T1 R3,0.08973,3.66896,95.94131,0.3
75,novoSplice 0.8.4 default,human T2 R2,0.169303,4.362042,95.058655,0.41
76,novoSplice 0.8.4 default,human T2 R3,0.169303,4.372001,95.048696,0.41
77,novoSplice 0.8.4 default,human T3 R2,0.594594,4.783779,84.711627,9.91
78,novoSplice 0.8.4 default,human T3 R3,0.594528,4.792256,84.693216,9.92
311,novoSplice 0.8.4 default,human T1 R1,0.08973,3.65899,95.95128,0.3
312,novoSplice 0.8.4 default,human T2 R1,0.169303,4.352083,95.068614,0.41
313,novoSplice 0.8.4 default,human T3 R1,0.594528,4.783248,84.702224,9.92
