,Run,Dataset,Reads_Alinged_Incorrectly,Reads_Alinged_Ambiguously,Reads_Alinged_Correctly,Reads_Unalinged
1,DRAGEN 4.0.3 default,human T1 R2,0.239736,1.728097,97.922167,0.11
2,DRAGEN 4.0.3 default,human T1 R3,0.23976,1.72827,97.93197,0.1
3,DRAGEN 4.0.3 default,human T2 R2,0.27958,1.727405,97.843015,0.15
4,DRAGEN 4.0.3 default,human T2 R3,0.279552,1.727232,97.833216,0.16
5,DRAGEN 4.0.3 default,human T3 R2,0.59292,1.798524,96.428556,1.18
6,DRAGEN 4.0.3 default,human T3 R3,0.602741,1.808223,96.399036,1.19
137,DRAGEN 4.0.3 default,human T1 R1,0.23976,1.73826,97.92198,0.1
138,DRAGEN 4.0.3 default,human T2 R1,0.27958,1.727405,97.843015,0.15
139,DRAGEN 4.0.3 default,human T3 R1,0.59298,1.818472,96.418548,1.17
13,DeepSAP MS150,human T1 R2,0.51,1.44,98.05,0
14,DeepSAP MS150,human T1 R3,0.5,1.44,98.06,0
15,DeepSAP MS150,human T2 R2,0.56,1.47,97.97,0
16,DeepSAP MS150,human T2 R3,0.56,1.47,97.97,0
17,DeepSAP MS150,human T3 R2,1.545815,1.904843,96.279342,0.27
18,DeepSAP MS150,human T3 R3,1.54566,1.904652,96.269688,0.28
725,DeepSAP MS150,human T1 R1,0.5,1.45,98.05,0
825,DeepSAP MS150,human T2 R1,0.56,1.47,97.97,0
925,DeepSAP MS150,human T3 R1,1.545815,1.904843,96.279342,0.27
37,HISAT2 2.2.1 default,human T1 R2,0.129402,2.279466,97.131132,0.46
38,HISAT2 2.2.1 default,human T1 R3,0.129402,2.269512,97.141086,0.46
39,HISAT2 2.2.1 default,human T2 R2,0.169056,2.197728,91.553216,6.08
40,HISAT2 2.2.1 default,human T2 R3,0.159681,2.197962,91.572357,6.07
41,HISAT2 2.2.1 default,human T3 R2,0.026345,0.26345,23.660205,76.05
42,HISAT2 2.2.1 default,human T3 R3,0.026356,0.261164,23.67248,76.04
209,HISAT2 2.2.1 default,human T1 R1,0.119448,2.279466,97.141086,0.46
210,HISAT2 2.2.1 default,human T2 R1,0.159647,2.188103,91.56225,6.09
211,HISAT2 2.2.1 default,human T3 R1,0.026356,0.261164,23.67248,76.04
49,STAR 2.7.10a default,human T1 R2,0.089856,1.906944,97.8432,0.16
50,STAR 2.7.10a default,human T1 R3,0.089856,1.916928,97.833216,0.16
51,STAR 2.7.10a default,human T2 R2,0.129636,2.19384,97.396524,0.28
52,STAR 2.7.10a default,human T2 R3,0.129623,2.19362,97.386757,0.29
53,STAR 2.7.10a default,human T3 R2,0.301716,1.810296,81.697988,16.19
54,STAR 2.7.10a default,human T3 R3,0.29323,1.818026,81.668744,16.22
233,STAR 2.7.10a default,human T1 R1,0.089847,1.916736,97.823417,0.17
234,STAR 2.7.10a default,human T2 R1,0.139594,2.183649,97.386757,0.29
235,STAR 2.7.10a default,human T3 R1,0.301716,1.818677,81.689607,16.19
61,Subjunc 2.0.1 default,human T1 R2,0.588042,0,92.751958,6.66
62,Subjunc 2.0.1 default,human T1 R3,0.588042,0,92.751958,6.66
63,Subjunc 2.0.1 default,human T2 R2,0.613428,0,89.596572,9.79
64,Subjunc 2.0.1 default,human T2 R3,0.61336,0,89.58664,9.8
65,Subjunc 2.0.1 default,human T3 R2,0.366288,0,46.593712,53.04
66,Subjunc 2.0.1 default,human T3 R3,0.366288,0,46.593712,53.04
305,Subjunc 2.0.1 default,human T1 R1,0.588042,0,92.751958,6.66
306,Subjunc 2.0.1 default,human T2 R1,0.613224,0,89.566776,9.82
307,Subjunc 2.0.1 default,human T3 R1,0.366054,0,46.563946,53.07
73,novoSplice 0.8.4 default,human T1 R2,0.079896,3.675216,96.114888,0.13
74,novoSplice 0.8.4 default,human T1 R3,0.079896,3.675216,96.114888,0.13
75,novoSplice 0.8.4 default,human T2 R2,0.09986,4.373868,95.386272,0.14
76,novoSplice 0.8.4 default,human T2 R3,0.09987,4.384293,95.385837,0.13
77,novoSplice 0.8.4 default,human T3 R2,0.179455,5.015295,89.25525,5.55
78,novoSplice 0.8.4 default,human T3 R3,0.179436,5.024208,89.236356,5.56
311,novoSplice 0.8.4 default,human T1 R1,0.079896,3.665229,96.124875,0.13
312,novoSplice 0.8.4 default,human T2 R1,0.09986,4.363882,95.396258,0.14
313,novoSplice 0.8.4 default,human T3 R1,0.179436,5.014764,89.2458,5.56
