,Run,Dataset,IO_in
1,DRAGEN 4.0.3 default,human T1 R2,2.64680480957031
2,DRAGEN 4.0.3 default,human T1 R3,5.01502990722656
3,DRAGEN 4.0.3 default,human T2 R2,5.05397796630859
4,DRAGEN 4.0.3 default,human T2 R3,4.92861938476562
5,DRAGEN 4.0.3 default,human T3 R2,5.09170532226562
6,DRAGEN 4.0.3 default,human T3 R3,2.53545379638672
137,DRAGEN 4.0.3 default,human T1 R1,5.02242279052734
138,DRAGEN 4.0.3 default,human T2 R1,3.48892974853516
139,DRAGEN 4.0.3 default,human T3 R1,3.90866088867188
13,DeepSAP MS150,human T1 R2,0.0056304931640625
14,DeepSAP MS150,human T1 R3,0
15,DeepSAP MS150,human T2 R2,0.000213623046875
16,DeepSAP MS150,human T2 R3,0.00400543212890625
17,DeepSAP MS150,human T3 R2,0.00130462646484375
18,DeepSAP MS150,human T3 R3,0
725,DeepSAP MS150,human T1 R1,5.26655578613281
825,DeepSAP MS150,human T2 R1,6.26320648193359
925,DeepSAP MS150,human T3 R1,6.55975341796875
37,HISAT2 2.2.1 default,human T1 R2,4.296630859375
38,HISAT2 2.2.1 default,human T1 R3,4.30002593994141
39,HISAT2 2.2.1 default,human T2 R2,4.29829406738281
40,HISAT2 2.2.1 default,human T2 R3,14.5680160522461
41,HISAT2 2.2.1 default,human T3 R2,4.301025390625
42,HISAT2 2.2.1 default,human T3 R3,4.29660797119141
209,HISAT2 2.2.1 default,human T1 R1,10.9951019287109
210,HISAT2 2.2.1 default,human T2 R1,4.31310272216797
211,HISAT2 2.2.1 default,human T3 R1,4.29538726806641
49,STAR 2.7.10a default,human T1 R2,18.7827682495117
50,STAR 2.7.10a default,human T1 R3,23.3448181152344
51,STAR 2.7.10a default,human T2 R2,56.311767578125
52,STAR 2.7.10a default,human T2 R3,57.0664138793945
53,STAR 2.7.10a default,human T3 R2,56.748420715332
54,STAR 2.7.10a default,human T3 R3,15.7020645141602
233,STAR 2.7.10a default,human T1 R1,57.7280502319336
234,STAR 2.7.10a default,human T2 R1,57.7265319824219
235,STAR 2.7.10a default,human T3 R1,57.7485885620117
61,Subjunc 2.0.1 default,human T1 R2,4.48934936523438
62,Subjunc 2.0.1 default,human T1 R3,15.2190399169922
63,Subjunc 2.0.1 default,human T2 R2,15.1613998413086
64,Subjunc 2.0.1 default,human T2 R3,4.31389617919922
65,Subjunc 2.0.1 default,human T3 R2,4.31415557861328
66,Subjunc 2.0.1 default,human T3 R3,4.31415557861328
305,Subjunc 2.0.1 default,human T1 R1,0
306,Subjunc 2.0.1 default,human T2 R1,0
307,Subjunc 2.0.1 default,human T3 R1,7.78408050537109
73,novoSplice 0.8.4 default,human T1 R2,8.4697265625
74,novoSplice 0.8.4 default,human T1 R3,8.14764404296875
75,novoSplice 0.8.4 default,human T2 R2,8.14764404296875
76,novoSplice 0.8.4 default,human T2 R3,8.14765930175781
77,novoSplice 0.8.4 default,human T3 R2,8.14816284179688
78,novoSplice 0.8.4 default,human T3 R3,13.8098068237305
311,novoSplice 0.8.4 default,human T1 R1,14.1145248413086
312,novoSplice 0.8.4 default,human T2 R1,8.15113830566406
313,novoSplice 0.8.4 default,human T3 R1,14.1037292480469
