,Run,Dataset,IO_out
1,DRAGEN 4.0.3 default,human T1 R2,2.09341430664062
2,DRAGEN 4.0.3 default,human T1 R3,2.09455871582031
3,DRAGEN 4.0.3 default,human T2 R2,2.81953430175781
4,DRAGEN 4.0.3 default,human T2 R3,2.82141876220703
5,DRAGEN 4.0.3 default,human T3 R2,8.88045501708984
6,DRAGEN 4.0.3 default,human T3 R3,8.88010406494141
137,DRAGEN 4.0.3 default,human T1 R1,2.0927734375
138,DRAGEN 4.0.3 default,human T2 R1,2.81870269775391
139,DRAGEN 4.0.3 default,human T3 R1,8.88101196289062
13,DeepSAP MS150,human T1 R2,0.000457763671875
14,DeepSAP MS150,human T1 R3,0.00045013427734375
15,DeepSAP MS150,human T2 R2,0.00048065185546875
16,DeepSAP MS150,human T2 R3,0.00048828125
17,DeepSAP MS150,human T3 R2,0.00072479248046875
18,DeepSAP MS150,human T3 R3,0.0007476806640625
725,DeepSAP MS150,human T1 R1,6.78199768066406
825,DeepSAP MS150,human T2 R1,7.14022827148438
925,DeepSAP MS150,human T3 R1,7.85695648193359
37,HISAT2 2.2.1 default,human T1 R2,13.0890502929688
38,HISAT2 2.2.1 default,human T1 R3,13.0910415649414
39,HISAT2 2.2.1 default,human T2 R2,12.9532470703125
40,HISAT2 2.2.1 default,human T2 R3,12.9485778808594
41,HISAT2 2.2.1 default,human T3 R2,10.0289764404297
42,HISAT2 2.2.1 default,human T3 R3,10.0275955200195
209,HISAT2 2.2.1 default,human T1 R1,13.089729309082
210,HISAT2 2.2.1 default,human T2 R1,12.9524917602539
211,HISAT2 2.2.1 default,human T3 R1,10.0268936157227
49,STAR 2.7.10a default,human T1 R2,7.27943420410156
50,STAR 2.7.10a default,human T1 R3,7.28053283691406
51,STAR 2.7.10a default,human T2 R2,7.30293273925781
52,STAR 2.7.10a default,human T2 R3,7.3033447265625
53,STAR 2.7.10a default,human T3 R2,6.19553375244141
54,STAR 2.7.10a default,human T3 R3,6.19361877441406
233,STAR 2.7.10a default,human T1 R1,7.27928161621094
234,STAR 2.7.10a default,human T2 R1,7.30255889892578
235,STAR 2.7.10a default,human T3 R1,6.19538116455078
61,Subjunc 2.0.1 default,human T1 R2,10.312385559082
62,Subjunc 2.0.1 default,human T1 R3,10.3125305175781
63,Subjunc 2.0.1 default,human T2 R2,10.2873306274414
64,Subjunc 2.0.1 default,human T2 R3,10.2871704101562
65,Subjunc 2.0.1 default,human T3 R2,9.61395263671875
66,Subjunc 2.0.1 default,human T3 R3,9.61400604248047
305,Subjunc 2.0.1 default,human T1 R1,10.3124389648438
306,Subjunc 2.0.1 default,human T2 R1,10.2869720458984
307,Subjunc 2.0.1 default,human T3 R1,9.61345672607422
73,novoSplice 0.8.4 default,human T1 R2,12.9413986206055
74,novoSplice 0.8.4 default,human T1 R3,12.9404602050781
75,novoSplice 0.8.4 default,human T2 R2,13.1257247924805
76,novoSplice 0.8.4 default,human T2 R3,13.1294860839844
77,novoSplice 0.8.4 default,human T3 R2,13.4326782226562
78,novoSplice 0.8.4 default,human T3 R3,13.433219909668
311,novoSplice 0.8.4 default,human T1 R1,12.9407653808594
312,novoSplice 0.8.4 default,human T2 R1,13.1302337646484
313,novoSplice 0.8.4 default,human T3 R1,13.4325180053711
