,Run,Dataset,RAM
1,DRAGEN 4.0.3 default,human T1 R2,43.2132301330566
2,DRAGEN 4.0.3 default,human T1 R3,43.1728134155273
3,DRAGEN 4.0.3 default,human T2 R2,42.8881416320801
4,DRAGEN 4.0.3 default,human T2 R3,42.9064788818359
5,DRAGEN 4.0.3 default,human T3 R2,38.733039855957
6,DRAGEN 4.0.3 default,human T3 R3,38.7349700927734
137,DRAGEN 4.0.3 default,human T1 R1,43.215160369873
138,DRAGEN 4.0.3 default,human T2 R1,42.9014701843262
139,DRAGEN 4.0.3 default,human T3 R1,38.7330322265625
13,DeepSAP MS150,human T1 R2,0.0260047912597656
14,DeepSAP MS150,human T1 R3,0.026092529296875
15,DeepSAP MS150,human T2 R2,0.0265655517578125
16,DeepSAP MS150,human T2 R3,0.0261154174804688
17,DeepSAP MS150,human T3 R2,0.0258445739746094
18,DeepSAP MS150,human T3 R3,0.0264205932617188
725,DeepSAP MS150,human T1 R1,31.9338264465332
825,DeepSAP MS150,human T2 R1,32.2674827575684
925,DeepSAP MS150,human T3 R1,32.8902244567871
37,HISAT2 2.2.1 default,human T1 R2,5.68566131591797
38,HISAT2 2.2.1 default,human T1 R3,5.6600227355957
39,HISAT2 2.2.1 default,human T2 R2,5.72991561889648
40,HISAT2 2.2.1 default,human T2 R3,5.68405151367188
41,HISAT2 2.2.1 default,human T3 R2,5.66760635375977
42,HISAT2 2.2.1 default,human T3 R3,5.64456558227539
209,HISAT2 2.2.1 default,human T1 R1,5.64521408081055
210,HISAT2 2.2.1 default,human T2 R1,5.73149871826172
211,HISAT2 2.2.1 default,human T3 R1,5.64650726318359
49,STAR 2.7.10a default,human T1 R2,30.171501159668
50,STAR 2.7.10a default,human T1 R3,30.1740646362305
51,STAR 2.7.10a default,human T2 R2,30.1717109680176
52,STAR 2.7.10a default,human T2 R3,30.1774673461914
53,STAR 2.7.10a default,human T3 R2,30.1474800109863
54,STAR 2.7.10a default,human T3 R3,30.1454734802246
233,STAR 2.7.10a default,human T1 R1,30.172233581543
234,STAR 2.7.10a default,human T2 R1,30.1796379089355
235,STAR 2.7.10a default,human T3 R1,30.1461868286133
61,Subjunc 2.0.1 default,human T1 R2,8.45235061645508
62,Subjunc 2.0.1 default,human T1 R3,8.45515060424805
63,Subjunc 2.0.1 default,human T2 R2,8.51559829711914
64,Subjunc 2.0.1 default,human T2 R3,8.51523208618164
65,Subjunc 2.0.1 default,human T3 R2,8.54126358032227
66,Subjunc 2.0.1 default,human T3 R3,8.54140090942383
305,Subjunc 2.0.1 default,human T1 R1,8.44694137573242
306,Subjunc 2.0.1 default,human T2 R1,8.51670074462891
307,Subjunc 2.0.1 default,human T3 R1,8.54164886474609
73,novoSplice 0.8.4 default,human T1 R2,29.9460182189941
74,novoSplice 0.8.4 default,human T1 R3,29.9475212097168
75,novoSplice 0.8.4 default,human T2 R2,29.9454002380371
76,novoSplice 0.8.4 default,human T2 R3,29.9448547363281
77,novoSplice 0.8.4 default,human T3 R2,29.942554473877
78,novoSplice 0.8.4 default,human T3 R3,29.947380065918
311,novoSplice 0.8.4 default,human T1 R1,29.9460525512695
312,novoSplice 0.8.4 default,human T2 R1,29.9480972290039
313,novoSplice 0.8.4 default,human T3 R1,29.9450187683105
