,Run,Dataset,RUN_ID,AM_splice,FN_splice,FP_splice
317,DRAGEN 4.0.3 default,human T1 R1,DRAGEN 4.0.3 default SimBA_human_t1,0,1236,673
3135,DeepSAP MS150,human T1 R1,DeepSAP v1.9-6-24 MS SimBA_human_t1,0,518,838
389,HISAT2 2.2.1 default,human T1 R1,HISAT2 2.2.1 default SimBA_human_t1,0,635,3780
413,STAR 2.7.10a default,human T1 R1,STAR 2.7.10a default SimBA_human_t1,0,1146,949
485,Subjunc 2.0.1 default,human T1 R1,Subjunc 2.0.1 default SimBA_human_t1,0,556,3221
491,novoSplice 0.8.4 default,human T1 R1,novoSplice 0.8.4 default SimBA_human_t1,0,950,361
318,DRAGEN 4.0.3 default,human T2 R1,DRAGEN 4.0.3 default SimBA_human_t2,0,1258,744
3225,DeepSAP MS150,human T2 R1,DeepSAP v1.9-6-24 MS SimBA_human_t2,0,605,938
390,HISAT2 2.2.1 default,human T2 R1,HISAT2 2.2.1 default SimBA_human_t2,0,885,4299
414,STAR 2.7.10a default,human T2 R1,STAR 2.7.10a default SimBA_human_t2,0,1234,1284
486,Subjunc 2.0.1 default,human T2 R1,Subjunc 2.0.1 default SimBA_human_t2,0,707,4288
492,novoSplice 0.8.4 default,human T2 R1,novoSplice 0.8.4 default SimBA_human_t2,0,942,447
319,DRAGEN 4.0.3 default,human T3 R1,DRAGEN 4.0.3 default SimBA_human_t3,0,1287,921
3325,DeepSAP MS150,human T3 R1,DeepSAP v1.9-6-24 MS SimBA_human_t3,0,625,1134
391,HISAT2 2.2.1 default,human T3 R1,HISAT2 2.2.1 default SimBA_human_t3,0,1259,5165
415,STAR 2.7.10a default,human T3 R1,STAR 2.7.10a default SimBA_human_t3,0,1414,1529
487,Subjunc 2.0.1 default,human T3 R1,Subjunc 2.0.1 default SimBA_human_t3,0,942,5406
493,novoSplice 0.8.4 default,human T3 R1,novoSplice 0.8.4 default SimBA_human_t3,0,833,712
