	Run	Dataset	TP_mapping	AM_mapping	FN_mapping	FP_mapping
317	DRAGEN 4.0.3 default	human T1	18083184	0	1917756	1386360
318	DRAGEN 4.0.3 default	human T2	18065995	0	1932187	1387697
319	DRAGEN 4.0.3 default	human T3	18002565	0	1996639	1374903
3127	DeepSAP MS150	human T1	18224783	0	1776157	1403449
3225	DeepSAP MS150	human T2	18234671	0	1763511	1399395
3325	DeepSAP MS150	human T3	18252335	0	1746869	1405020
389	HISAT2 2.2.1 default	human T1	17572997	0	2427943	1376933
390	HISAT2 2.2.1 default	human T2	17162141	0	2836041	1342377
391	HISAT2 2.2.1 default	human T3	16331630	0	3667574	1289412
413	STAR 2.7.10a default	human T1	17957283	0	2043657	1371107
414	STAR 2.7.10a default	human T2	17877596	0	2120586	1359730
415	STAR 2.7.10a default	human T3	17714760	0	2284444	1347486
485	Subjunc 2.0.1 default	human T1	17373312	0	2627628	1499044
486	Subjunc 2.0.1 default	human T2	17266887	0	2731295	1499383
487	Subjunc 2.0.1 default	human T3	16799528	0	3199676	1512050
491	novoSplice 0.8.4 default	human T1	18155254	0	1845686	1386300
492	novoSplice 0.8.4 default	human T2	18056839	0	1941343	1371707
493	novoSplice 0.8.4 default	human T3	18058192	0	1941012	1368612
