,Run,Dataset,F1_Base
7,DRAGEN 4.0.3 default,malaria T1 R2,98.8492686627554
8,DRAGEN 4.0.3 default,malaria T1 R3,98.8341625777733
9,DRAGEN 4.0.3 default,malaria T2 R2,98.2782013327229
10,DRAGEN 4.0.3 default,malaria T2 R3,98.2935937341064
11,DRAGEN 4.0.3 default,malaria T3 R2,91.5187548934319
12,DRAGEN 4.0.3 default,malaria T3 R3,91.5589467391304
140,DRAGEN 4.0.3 default,malaria T1 R1,98.844372060088
141,DRAGEN 4.0.3 default,malaria T2 R1,98.2633292633293
142,DRAGEN 4.0.3 default,malaria T3 R1,91.5445670489754
19,DeepSAP MS150,malaria T1 R2,98.9619965646155
20,DeepSAP MS150,malaria T1 R3,98.9570858384277
21,DeepSAP MS150,malaria T2 R2,98.6412326406488
22,DeepSAP MS150,malaria T2 R3,98.6265118872611
23,DeepSAP MS150,malaria T3 R2,94.0493029675638
24,DeepSAP MS150,malaria T3 R3,94.0793461762989
1025,DeepSAP MS150,malaria T1 R1,98.9570858384277
1125,DeepSAP MS150,malaria T2 R1,98.6312317518248
1225,DeepSAP MS150,malaria T3 R1,94.0292741464451
43,HISAT2 2.2.1 default,malaria T1 R2,98.35073545108
44,HISAT2 2.2.1 default,malaria T1 R3,98.3307305170047
45,HISAT2 2.2.1 default,malaria T2 R2,92.2752195700199
46,HISAT2 2.2.1 default,malaria T2 R3,92.3402057081314
47,HISAT2 2.2.1 default,malaria T3 R2,11.0151716941757
48,HISAT2 2.2.1 default,malaria T3 R3,11.104499004645
212,HISAT2 2.2.1 default,malaria T1 R1,98.3252557193696
213,HISAT2 2.2.1 default,malaria T2 R1,92.2478311954295
214,HISAT2 2.2.1 default,malaria T3 R1,10.9795275590551
55,STAR 2.7.10a default,malaria T1 R2,98.6090301647655
56,STAR 2.7.10a default,malaria T1 R3,98.5887713604787
57,STAR 2.7.10a default,malaria T2 R2,97.2480594100113
58,STAR 2.7.10a default,malaria T2 R3,97.2688942554722
59,STAR 2.7.10a default,malaria T3 R2,76.487217895196
60,STAR 2.7.10a default,malaria T3 R3,76.4489448426301
236,STAR 2.7.10a default,malaria T1 R1,98.5939002129601
237,STAR 2.7.10a default,malaria T2 R1,97.2584779033916
238,STAR 2.7.10a default,malaria T3 R1,76.4162543640898
67,Subjunc 2.0.1 default,malaria T1 R2,98.4672623883022
68,Subjunc 2.0.1 default,malaria T1 R3,98.4572610947497
69,Subjunc 2.0.1 default,malaria T2 R2,95.6593350383632
70,Subjunc 2.0.1 default,malaria T2 R3,95.6669634655532
71,Subjunc 2.0.1 default,malaria T3 R2,35.8490052536388
72,Subjunc 2.0.1 default,malaria T3 R3,36.000866046832
308,Subjunc 2.0.1 default,malaria T1 R1,98.4521464479764
309,Subjunc 2.0.1 default,malaria T2 R1,95.660086643353
310,Subjunc 2.0.1 default,malaria T3 R1,35.7835154025369
79,novoSplice 0.8.4 default,malaria T1 R2,98.4116828363895
80,novoSplice 0.8.4 default,malaria T1 R3,98.4065274814589
81,novoSplice 0.8.4 default,malaria T2 R2,97.8754213052804
82,novoSplice 0.8.4 default,malaria T2 R3,97.9065499285277
83,novoSplice 0.8.4 default,malaria T3 R2,87.8969475518579
84,novoSplice 0.8.4 default,malaria T3 R3,87.8680078718021
314,novoSplice 0.8.4 default,malaria T1 R1,98.4065274814589
315,novoSplice 0.8.4 default,malaria T2 R1,97.8657926455567
316,novoSplice 0.8.4 default,malaria T3 R1,87.8459797525309
