,Run,Dataset,F1_Deletion
7,DRAGEN 4.0.3 default,malaria T1 R2,81.5576831451627
8,DRAGEN 4.0.3 default,malaria T1 R3,81.5826923076923
9,DRAGEN 4.0.3 default,malaria T2 R2,80.0037670399221
10,DRAGEN 4.0.3 default,malaria T2 R3,79.5954589903435
11,DRAGEN 4.0.3 default,malaria T3 R2,53.7377658862876
12,DRAGEN 4.0.3 default,malaria T3 R3,54.331436733336
140,DRAGEN 4.0.3 default,malaria T1 R1,80.9030883567
141,DRAGEN 4.0.3 default,malaria T2 R1,79.6940285749176
142,DRAGEN 4.0.3 default,malaria T3 R1,53.6582951168492
19,DeepSAP MS150,malaria T1 R2,90.5061477093586
20,DeepSAP MS150,malaria T1 R3,90.1668234004712
21,DeepSAP MS150,malaria T2 R2,87.5039817974971
22,DeepSAP MS150,malaria T2 R3,87.1469229210395
23,DeepSAP MS150,malaria T3 R2,66.7585407281589
24,DeepSAP MS150,malaria T3 R3,67.4495681901095
1025,DeepSAP MS150,malaria T1 R1,89.3999095877193
1125,DeepSAP MS150,malaria T2 R1,87.1994921250856
1225,DeepSAP MS150,malaria T3 R1,66.5906735751295
43,HISAT2 2.2.1 default,malaria T1 R2,76.5616391466219
44,HISAT2 2.2.1 default,malaria T1 R3,77.0104835187259
45,HISAT2 2.2.1 default,malaria T2 R2,55.9223594999561
46,HISAT2 2.2.1 default,malaria T2 R3,56.0968249029986
47,HISAT2 2.2.1 default,malaria T3 R2,1.58660807700355
48,HISAT2 2.2.1 default,malaria T3 R3,1.60632982602355
212,HISAT2 2.2.1 default,malaria T1 R1,75.9964921192919
213,HISAT2 2.2.1 default,malaria T2 R1,55.8584992252638
214,HISAT2 2.2.1 default,malaria T3 R1,1.56715660874088
55,STAR 2.7.10a default,malaria T1 R2,83.9140835365152
56,STAR 2.7.10a default,malaria T1 R3,83.8604244869321
57,STAR 2.7.10a default,malaria T2 R2,77.1037582702998
58,STAR 2.7.10a default,malaria T2 R3,77.1196411768396
59,STAR 2.7.10a default,malaria T3 R2,34.495064441598
60,STAR 2.7.10a default,malaria T3 R3,34.9204845327487
236,STAR 2.7.10a default,malaria T1 R1,83.1195898886336
237,STAR 2.7.10a default,malaria T2 R1,77.2270322239085
238,STAR 2.7.10a default,malaria T3 R1,34.4108786477691
67,Subjunc 2.0.1 default,malaria T1 R2,91.8704687837053
68,Subjunc 2.0.1 default,malaria T1 R3,92.2935937246416
69,Subjunc 2.0.1 default,malaria T2 R2,87.0845463358996
70,Subjunc 2.0.1 default,malaria T2 R3,87.2376213260424
71,Subjunc 2.0.1 default,malaria T3 R2,23.1870917733106
72,Subjunc 2.0.1 default,malaria T3 R3,22.7832070994828
308,Subjunc 2.0.1 default,malaria T1 R1,91.3700486046639
309,Subjunc 2.0.1 default,malaria T2 R1,87.0101462522852
310,Subjunc 2.0.1 default,malaria T3 R1,22.8449205618236
79,novoSplice 0.8.4 default,malaria T1 R2,89.8519592649989
80,novoSplice 0.8.4 default,malaria T1 R3,89.5857959341792
81,novoSplice 0.8.4 default,malaria T2 R2,86.5595592792379
82,novoSplice 0.8.4 default,malaria T2 R3,86.3890725087689
83,novoSplice 0.8.4 default,malaria T3 R2,58.7491573204421
84,novoSplice 0.8.4 default,malaria T3 R3,58.9904092358018
314,novoSplice 0.8.4 default,malaria T1 R1,88.9130044779522
315,novoSplice 0.8.4 default,malaria T2 R1,86.0501282629289
316,novoSplice 0.8.4 default,malaria T3 R1,58.6333283156503
