,Run,Dataset,F1_Insertion
7,DRAGEN 4.0.3 default,malaria T1 R2,81.2931775645229
8,DRAGEN 4.0.3 default,malaria T1 R3,80.8072927515413
9,DRAGEN 4.0.3 default,malaria T2 R2,79.0781038374718
10,DRAGEN 4.0.3 default,malaria T2 R3,78.9417129441548
11,DRAGEN 4.0.3 default,malaria T3 R2,54.4034886731392
12,DRAGEN 4.0.3 default,malaria T3 R3,55.1323584341616
140,DRAGEN 4.0.3 default,malaria T1 R1,81.0394378998983
141,DRAGEN 4.0.3 default,malaria T2 R1,78.3890151747865
142,DRAGEN 4.0.3 default,malaria T3 R1,54.8445601023367
19,DeepSAP MS150,malaria T1 R2,88.7623937129054
20,DeepSAP MS150,malaria T1 R3,89.0114181298846
21,DeepSAP MS150,malaria T2 R2,87.2946839895609
22,DeepSAP MS150,malaria T2 R3,87.0604775352665
23,DeepSAP MS150,malaria T3 R2,66.8321952654021
24,DeepSAP MS150,malaria T3 R3,67.6197978034766
1025,DeepSAP MS150,malaria T1 R1,89.5383768051084
1125,DeepSAP MS150,malaria T2 R1,86.6168371720866
1225,DeepSAP MS150,malaria T3 R1,67.4540931283247
43,HISAT2 2.2.1 default,malaria T1 R2,75.8323334165211
44,HISAT2 2.2.1 default,malaria T1 R3,76.8083811553966
45,HISAT2 2.2.1 default,malaria T2 R2,56.5324116530379
46,HISAT2 2.2.1 default,malaria T2 R3,56.7023566867417
47,HISAT2 2.2.1 default,malaria T3 R2,1.64578415187783
48,HISAT2 2.2.1 default,malaria T3 R3,1.70471744527591
212,HISAT2 2.2.1 default,malaria T1 R1,75.5925253004536
213,HISAT2 2.2.1 default,malaria T2 R1,55.7542798594848
214,HISAT2 2.2.1 default,malaria T3 R1,1.62612894674682
55,STAR 2.7.10a default,malaria T1 R2,78.2015683141684
56,STAR 2.7.10a default,malaria T1 R3,77.5666304889057
57,STAR 2.7.10a default,malaria T2 R2,71.4978733307933
58,STAR 2.7.10a default,malaria T2 R3,71.2809151272106
59,STAR 2.7.10a default,malaria T3 R2,32.8188819875776
60,STAR 2.7.10a default,malaria T3 R3,33.4119059049448
236,STAR 2.7.10a default,malaria T1 R1,78.2260433508807
237,STAR 2.7.10a default,malaria T2 R1,71.06498853564
238,STAR 2.7.10a default,malaria T3 R1,32.9387766934003
67,Subjunc 2.0.1 default,malaria T1 R2,89.8287643515626
68,Subjunc 2.0.1 default,malaria T1 R3,91.1975461395654
69,Subjunc 2.0.1 default,malaria T2 R2,86.6674667427919
70,Subjunc 2.0.1 default,malaria T2 R3,86.0932386939163
71,Subjunc 2.0.1 default,malaria T3 R2,24.8164634781397
72,Subjunc 2.0.1 default,malaria T3 R3,25.1941444702656
308,Subjunc 2.0.1 default,malaria T1 R1,90.9705567709473
309,Subjunc 2.0.1 default,malaria T2 R1,85.7235294999253
310,Subjunc 2.0.1 default,malaria T3 R1,24.8532096320234
79,novoSplice 0.8.4 default,malaria T1 R2,89.5535595114119
80,novoSplice 0.8.4 default,malaria T1 R3,88.8737495263939
81,novoSplice 0.8.4 default,malaria T2 R2,86.8264996709289
82,novoSplice 0.8.4 default,malaria T2 R3,86.4065571055021
83,novoSplice 0.8.4 default,malaria T3 R2,59.6789265982636
84,novoSplice 0.8.4 default,malaria T3 R3,60.3876011495033
314,novoSplice 0.8.4 default,malaria T1 R1,89.3984356681627
315,novoSplice 0.8.4 default,malaria T2 R1,85.8806792757467
316,novoSplice 0.8.4 default,malaria T3 R1,60.3299109540503
