,Run,Dataset,F1_Junction
7,DRAGEN 4.0.3 default,malaria T1 R2,95.5413639499823
8,DRAGEN 4.0.3 default,malaria T1 R3,95.5740766008372
9,DRAGEN 4.0.3 default,malaria T2 R2,95.1794098223177
10,DRAGEN 4.0.3 default,malaria T2 R3,95.2178025778057
11,DRAGEN 4.0.3 default,malaria T3 R2,88.3471601711215
12,DRAGEN 4.0.3 default,malaria T3 R3,88.2152318548387
140,DRAGEN 4.0.3 default,malaria T1 R1,95.4867972790566
141,DRAGEN 4.0.3 default,malaria T2 R1,95.2269261489281
142,DRAGEN 4.0.3 default,malaria T3 R1,88.4812492318006
19,DeepSAP MS150,malaria T1 R2,99.5338338637325
20,DeepSAP MS150,malaria T1 R3,99.5589558562898
21,DeepSAP MS150,malaria T2 R2,99.3017200333719
22,DeepSAP MS150,malaria T2 R3,99.3219988201371
23,DeepSAP MS150,malaria T3 R2,95.2071625768238
24,DeepSAP MS150,malaria T3 R3,95.1223744232934
1025,DeepSAP MS150,malaria T1 R1,99.5288692165486
1125,DeepSAP MS150,malaria T2 R1,99.3270545988578
1225,DeepSAP MS150,malaria T3 R1,95.2790782927468
43,HISAT2 2.2.1 default,malaria T1 R2,96.4423092243321
44,HISAT2 2.2.1 default,malaria T1 R3,96.3297777365948
45,HISAT2 2.2.1 default,malaria T2 R2,90.0276388410359
46,HISAT2 2.2.1 default,malaria T2 R3,89.4778009141103
47,HISAT2 2.2.1 default,malaria T3 R2,11.3016923535846
48,HISAT2 2.2.1 default,malaria T3 R3,10.7331255213531
212,HISAT2 2.2.1 default,malaria T1 R1,96.0896581679023
213,HISAT2 2.2.1 default,malaria T2 R1,89.4686948919278
214,HISAT2 2.2.1 default,malaria T3 R1,10.8197936078549
55,STAR 2.7.10a default,malaria T1 R2,96.728437144923
56,STAR 2.7.10a default,malaria T1 R3,96.8250606109482
57,STAR 2.7.10a default,malaria T2 R2,94.4874678743302
58,STAR 2.7.10a default,malaria T2 R3,94.4086628245122
59,STAR 2.7.10a default,malaria T3 R2,63.0950876879104
60,STAR 2.7.10a default,malaria T3 R3,62.3239682359459
236,STAR 2.7.10a default,malaria T1 R1,96.7102999946278
237,STAR 2.7.10a default,malaria T2 R1,94.3650467524101
238,STAR 2.7.10a default,malaria T3 R1,62.8391390068291
67,Subjunc 2.0.1 default,malaria T1 R2,95.1853907931342
68,Subjunc 2.0.1 default,malaria T1 R3,95.3447285684343
69,Subjunc 2.0.1 default,malaria T2 R2,88.8564303337492
70,Subjunc 2.0.1 default,malaria T2 R3,88.8592054450726
71,Subjunc 2.0.1 default,malaria T3 R2,34.2855761482675
72,Subjunc 2.0.1 default,malaria T3 R3,33.3733223049352
308,Subjunc 2.0.1 default,malaria T1 R1,95.0479625234137
309,Subjunc 2.0.1 default,malaria T2 R1,88.8985518326962
310,Subjunc 2.0.1 default,malaria T3 R1,33.3109523078646
79,novoSplice 0.8.4 default,malaria T1 R2,96.5446427971018
80,novoSplice 0.8.4 default,malaria T1 R3,96.5613747911172
81,novoSplice 0.8.4 default,malaria T2 R2,96.2610265356849
82,novoSplice 0.8.4 default,malaria T2 R3,96.2993557298788
83,novoSplice 0.8.4 default,malaria T3 R2,87.7773365508727
84,novoSplice 0.8.4 default,malaria T3 R3,87.3733213179386
314,novoSplice 0.8.4 default,malaria T1 R1,96.5446427971018
315,novoSplice 0.8.4 default,malaria T2 R1,96.2993557298788
316,novoSplice 0.8.4 default,malaria T3 R1,87.5303909620432
