,Run,Dataset
7,DRAGEN 4.0.3 default,malaria T1 R2
8,DRAGEN 4.0.3 default,malaria T1 R3
9,DRAGEN 4.0.3 default,malaria T2 R2
10,DRAGEN 4.0.3 default,malaria T2 R3
11,DRAGEN 4.0.3 default,malaria T3 R2
12,DRAGEN 4.0.3 default,malaria T3 R3
140,DRAGEN 4.0.3 default,malaria T1 R1
141,DRAGEN 4.0.3 default,malaria T2 R1
142,DRAGEN 4.0.3 default,malaria T3 R1
19,DeepSAP MS150,malaria T1 R2
20,DeepSAP MS150,malaria T1 R3
21,DeepSAP MS150,malaria T2 R2
22,DeepSAP MS150,malaria T2 R3
23,DeepSAP MS150,malaria T3 R2
24,DeepSAP MS150,malaria T3 R3
1025,DeepSAP MS150,malaria T1 R1
1125,DeepSAP MS150,malaria T2 R1
1225,DeepSAP MS150,malaria T3 R1
43,HISAT2 2.2.1 default,malaria T1 R2
44,HISAT2 2.2.1 default,malaria T1 R3
45,HISAT2 2.2.1 default,malaria T2 R2
46,HISAT2 2.2.1 default,malaria T2 R3
47,HISAT2 2.2.1 default,malaria T3 R2
48,HISAT2 2.2.1 default,malaria T3 R3
212,HISAT2 2.2.1 default,malaria T1 R1
213,HISAT2 2.2.1 default,malaria T2 R1
214,HISAT2 2.2.1 default,malaria T3 R1
55,STAR 2.7.10a default,malaria T1 R2
56,STAR 2.7.10a default,malaria T1 R3
57,STAR 2.7.10a default,malaria T2 R2
58,STAR 2.7.10a default,malaria T2 R3
59,STAR 2.7.10a default,malaria T3 R2
60,STAR 2.7.10a default,malaria T3 R3
236,STAR 2.7.10a default,malaria T1 R1
237,STAR 2.7.10a default,malaria T2 R1
238,STAR 2.7.10a default,malaria T3 R1
67,Subjunc 2.0.1 default,malaria T1 R2
68,Subjunc 2.0.1 default,malaria T1 R3
69,Subjunc 2.0.1 default,malaria T2 R2
70,Subjunc 2.0.1 default,malaria T2 R3
71,Subjunc 2.0.1 default,malaria T3 R2
72,Subjunc 2.0.1 default,malaria T3 R3
308,Subjunc 2.0.1 default,malaria T1 R1
309,Subjunc 2.0.1 default,malaria T2 R1
310,Subjunc 2.0.1 default,malaria T3 R1
79,novoSplice 0.8.4 default,malaria T1 R2
80,novoSplice 0.8.4 default,malaria T1 R3
81,novoSplice 0.8.4 default,malaria T2 R2
82,novoSplice 0.8.4 default,malaria T2 R3
83,novoSplice 0.8.4 default,malaria T3 R2
84,novoSplice 0.8.4 default,malaria T3 R3
314,novoSplice 0.8.4 default,malaria T1 R1
315,novoSplice 0.8.4 default,malaria T2 R1
316,novoSplice 0.8.4 default,malaria T3 R1
