,Run,Dataset,F1_Skipping
7,DRAGEN 4.0.3 default,malaria T1 R2,95.0089071210687
8,DRAGEN 4.0.3 default,malaria T1 R3,94.8471751700869
9,DRAGEN 4.0.3 default,malaria T2 R2,90.3941625225821
10,DRAGEN 4.0.3 default,malaria T2 R3,89.2589103264756
11,DRAGEN 4.0.3 default,malaria T3 R2,52.3980246086884
12,DRAGEN 4.0.3 default,malaria T3 R3,52.1400100688035
140,DRAGEN 4.0.3 default,malaria T1 R1,95.0694923270969
141,DRAGEN 4.0.3 default,malaria T2 R1,91.5978864628821
142,DRAGEN 4.0.3 default,malaria T3 R1,51.7589973470598
19,DeepSAP MS150,malaria T1 R2,99.2563512630957
20,DeepSAP MS150,malaria T1 R3,99.241411908598
21,DeepSAP MS150,malaria T2 R2,98.7270959449529
22,DeepSAP MS150,malaria T2 R3,98.9942656624589
23,DeepSAP MS150,malaria T3 R2,92.0693717399437
24,DeepSAP MS150,malaria T3 R3,93.4344617254473
1025,DeepSAP MS150,malaria T1 R1,99.2260495686538
1125,DeepSAP MS150,malaria T2 R1,98.8710999387611
1225,DeepSAP MS150,malaria T3 R1,92.7281945523069
43,HISAT2 2.2.1 default,malaria T1 R2,78.2667085637767
44,HISAT2 2.2.1 default,malaria T1 R3,61.4504372395281
45,HISAT2 2.2.1 default,malaria T2 R2,43.4604897603486
46,HISAT2 2.2.1 default,malaria T2 R3,40.6686009255963
47,HISAT2 2.2.1 default,malaria T3 R2,8.19203225806452
48,HISAT2 2.2.1 default,malaria T3 R3,7.68955416928304
212,HISAT2 2.2.1 default,malaria T1 R1,61.9345029239766
213,HISAT2 2.2.1 default,malaria T2 R1,43.9241677646084
214,HISAT2 2.2.1 default,malaria T3 R1,7.78124240378123
55,STAR 2.7.10a default,malaria T1 R2,36.3633472032267
56,STAR 2.7.10a default,malaria T1 R3,38.8843818637248
57,STAR 2.7.10a default,malaria T2 R2,9.56507659666848
58,STAR 2.7.10a default,malaria T2 R3,9.7805845117366
59,STAR 2.7.10a default,malaria T3 R2,0.378609666859229
60,STAR 2.7.10a default,malaria T3 R3,0.37860212971926
236,STAR 2.7.10a default,malaria T1 R1,39.2083697662637
237,STAR 2.7.10a default,malaria T2 R1,9.16881355932203
238,STAR 2.7.10a default,malaria T3 R1,0.378598874442068
67,Subjunc 2.0.1 default,malaria T1 R2,2.07763467122966
68,Subjunc 2.0.1 default,malaria T1 R3,1.97972427035252
69,Subjunc 2.0.1 default,malaria T2 R2,1.21181928108167
70,Subjunc 2.0.1 default,malaria T2 R3,1.1526405600525
71,Subjunc 2.0.1 default,malaria T3 R2,0.139837611218241
72,Subjunc 2.0.1 default,malaria T3 R3,0.139834239545064
308,Subjunc 2.0.1 default,malaria T1 R1,2.03844137370453
309,Subjunc 2.0.1 default,malaria T2 R1,1.21185598599256
310,Subjunc 2.0.1 default,malaria T3 R1,0.13982843305532
79,novoSplice 0.8.4 default,malaria T1 R2,96.3892159823779
80,novoSplice 0.8.4 default,malaria T1 R3,96.4113915930017
81,novoSplice 0.8.4 default,malaria T2 R2,96.050785186398
82,novoSplice 0.8.4 default,malaria T2 R3,96.1748227717267
83,novoSplice 0.8.4 default,malaria T3 R2,87.4758088487288
84,novoSplice 0.8.4 default,malaria T3 R3,87.3935124176381
314,novoSplice 0.8.4 default,malaria T1 R1,96.3838481070106
315,novoSplice 0.8.4 default,malaria T2 R1,96.1478715505911
316,novoSplice 0.8.4 default,malaria T3 R1,87.2681022688292
