,Run,Dataset,Percision_Read,Recall_Read,Percision_Base,Recall_Base,Percision_Junction,Recall_Junction,Percision_Skipping,Recall_Skipping,Percision_Deletion,Recall_Deletion,Percision_Insertion,Recall_Insertion
7,DRAGEN 4.0.3 default,malaria T1 R2,99.97,98.19,99.89,97.83,99.9801,91.48,97.48,92.66,94.3501,71.82,98.63,69.14
8,DRAGEN 4.0.3 default,malaria T1 R3,99.97,98.19,99.88,97.81,99.9801,91.54,97.1401,92.66,94.8,71.6,98.63,68.44
9,DRAGEN 4.0.3 default,malaria T2 R2,99.97,98.06,99.58,97.01,99.93,90.86,88.8901,91.95,95.47,68.85,97.31,66.6
10,DRAGEN 4.0.3 default,malaria T2 R3,99.97,98.09,99.58,97.04,99.93,90.93,86.5701,92.1201,95.27,68.35,97.2601,66.43
11,DRAGEN 4.0.3 default,malaria T3 R2,99.82,95.18,98.33,85.59,98.9601,79.7901,38.8,80.67,78.84,40.76,83.18,40.42
12,DRAGEN 4.0.3 default,malaria T3 R3,99.83,95.22,98.37,85.63,99.03,79.53,38.52,80.66,79.6001,41.24,83.88,41.0601
140,DRAGEN 4.0.3 default,malaria T1 R1,99.97,98.2,99.88,97.83,99.9801,91.38,97.73,92.55,94.2101,70.89,98.29,68.94
141,DRAGEN 4.0.3 default,malaria T2 R1,99.96,98.07,99.56,97,99.9501,90.93,91.16,92.04,95.3,68.48,97,65.77
142,DRAGEN 4.0.3 default,malaria T3 R1,99.81,95.2,98.35,85.62,99.02,79.97,38.0301,81.0001,78.9101,40.65,83.7601,40.77
19,DeepSAP MS150,malaria T1 R2,99.96,98.49,99.86,98.08,99.8901,99.1801,99.8701,98.6501,96.4401,85.2601,98.1701,81.0001
20,DeepSAP MS150,malaria T1 R3,99.95,98.49,99.85,98.08,99.8901,99.23,99.8501,98.6401,96.2201,84.8301,97.99,81.5401
21,DeepSAP MS150,malaria T2 R2,99.94,98.48,99.58,97.72,99.8801,98.73,99.2701,98.19,93.8,82,96.71,79.55
22,DeepSAP MS150,malaria T2 R3,99.94,98.49,99.55,97.72,99.8801,98.7701,99.7601,98.2401,93.8201,81.36,96.4601,79.3301
23,DeepSAP MS150,malaria T3 R2,99.59,97.35,97.76,90.61,99.7501,91.06,93.47,90.7101,75.71,59.7,76.96,59.06
24,DeepSAP MS150,malaria T3 R3,99.61,97.36,97.79,90.64,99.7801,90.8801,96.3501,90.6901,76.41,60.3701,77.54,59.95
1025,DeepSAP MS150,malaria T1 R1,99.95,98.49,99.85,98.08,99.8801,99.1801,99.8601,98.6,96.2501,83.46,98.43,82.1201
1125,DeepSAP MS150,malaria T2 R1,99.94,98.48,99.57,97.71,99.8801,98.7801,99.5,98.2501,93.69,81.55,96.2,78.77
1225,DeepSAP MS150,malaria T3 R1,99.59,97.35,97.74,90.59,99.8,91.15,94.86,90.6901,75.6,59.5,77.54,59.69
43,HISAT2 2.2.1 default,malaria T1 R2,99.98,97.13,99.92,96.83,97.7701,95.1501,65.81,96.5401,94.9501,64.14,98.72,61.56
44,HISAT2 2.2.1 default,malaria T1 R3,99.98,97.12,99.9,96.81,97.5601,95.1301,45.08,96.49,95.0201,64.74,98.5401,62.93
45,HISAT2 2.2.1 default,malaria T2 R2,99.94,86.32,99.74,85.85,96.29,84.5301,29.12,85.63,96.2501,39.41,97.7801,39.76
46,HISAT2 2.2.1 default,malaria T2 R3,99.94,86.44,99.73,85.97,95.41,84.2401,26.66,85.7,96.3301,39.57,97.7701,39.93
47,HISAT2 2.2.1 default,malaria T3 R2,99.88,5.89,99.59,5.83,94.56,6.01,12.51,6.09,94.78,0.799999999999997,96.09,0.829999999999998
48,HISAT2 2.2.1 default,malaria T3 R3,99.88,5.94,99.61,5.88,94.4101,5.69,11.1801,5.86,95.18,0.810000000000002,95.9301,0.859999999999999
212,HISAT2 2.2.1 default,malaria T1 R1,99.98,97.1,99.91,96.79,97.51,94.7101,45.65,96.28,94.7501,63.44,98.3701,61.38
213,HISAT2 2.2.1 default,malaria T2 R1,99.94,86.28,99.73,85.81,95.66,84.0301,29.5701,85.3601,96.17,39.36,97.62,39.02
214,HISAT2 2.2.1 default,malaria T3 R1,99.89,5.88,99.6,5.81,94.07,5.74,12.21,5.7101,94.9301,0.790099999999995,96.1301,0.819999999999993
55,STAR 2.7.10a default,malaria T1 R2,99.99,97.76,99.88,97.37,99.62,94,22.5701,93.5101,97.31,73.7601,97.8601,65.12
56,STAR 2.7.10a default,malaria T1 R3,99.99,97.75,99.87,97.34,99.6901,94.1201,24.5401,93.59,97.41,73.62,97.8,64.2701
57,STAR 2.7.10a default,malaria T2 R2,99.99,96.61,99.31,95.27,98.4401,90.84,5.05,90.3001,93.9301,65.39,95.27,57.2201
58,STAR 2.7.10a default,malaria T2 R3,99.99,96.64,99.31,95.31,98.41,90.72,5.17,90.3901,94.06,65.35,95.11,57
