	Run	Dataset	Percision_Read	Recall_Read	Percision_Base	Recall_Base	Percision_Junction	Recall_Junction	Percision_Skipping	Recall_Skipping	Percision_Deletion	Recall_Deletion	Percision_Insertion	Recall_Insertion
140	DRAGEN 4.0.3 default	malaria T1	99.97	98.2	99.88	97.83	99.9801	91.38	97.73	92.55	94.2101	70.89	98.29	68.94
141	DRAGEN 4.0.3 default	malaria T2	99.96	98.07	99.56	97	99.9501	90.93	91.16	92.04	95.3	68.48	97	65.77
142	DRAGEN 4.0.3 default	malaria T3	99.81	95.2	98.35	85.62	99.02	79.97	38.0301	81.0001	78.9101	40.65	83.7601	40.77
1025	DeepSAP MS150	malaria T1	99.95	98.49	99.85	98.08	99.8801	99.1801	99.8601	98.6	96.2501	83.46	98.43	82.1201
1125	DeepSAP MS150	malaria T2	99.94	98.48	99.57	97.71	99.8801	98.7801	99.5	98.2501	93.69	81.55	96.2	78.77
1225	DeepSAP MS150	malaria T3	99.59	97.35	97.74	90.59	99.8	91.15	94.86	90.6901	75.6	59.5	77.54	59.69
212	HISAT2 2.2.1 default	malaria T1	99.98	97.1	99.91	96.79	97.51	94.7101	45.65	96.28	94.7501	63.44	98.3701	61.38
213	HISAT2 2.2.1 default	malaria T2	99.94	86.28	99.73	85.81	95.66	84.0301	29.5701	85.3601	96.17	39.36	97.62	39.02
214	HISAT2 2.2.1 default	malaria T3	99.89	5.88	99.6	5.81	94.07	5.73999999999999	12.21	5.7101	94.9301	0.790099999999995	96.1301	0.819999999999993
236	STAR 2.7.10a default	malaria T1	99.99	97.76	99.87	97.35	99.6601	93.9301	24.81	93.4301	96.99	72.72	98.0501	65.07
237	STAR 2.7.10a default	malaria T2	99.99	96.62	99.31	95.29	98.4801	90.5801	4.83	90.16	94.1101	65.4801	95.1501	56.7101
238	STAR 2.7.10a default	malaria T3	99.88	71.24	97.62	62.78	80.6301	51.4801	0.189999999999998	51.34	77.8101	22.09	82.94	20.55
308	Subjunc 2.0.1 default	malaria T1	99.56	97.7	99.59	97.34	92.68	97.5401	1.03	97.39	95.67	87.44	97.83	85.01
309	Subjunc 2.0.1 default	malaria T2	99.52	93.08	99.39	92.2	87.02	90.86	0.609999999999999	90.77	94.2	80.84	96.1301	77.35
310	Subjunc 2.0.1 default	malaria T3	93.18	25.88	93.78	22.11	46.3101	26.01	0.0700999999999965	26.3801	73.33	13.53	81.26	14.67
314	novoSplice 0.8.4 default	malaria T1	99.99	97.23	99.95	96.91	100	93.3201	100	93.0201	96.6401	82.3301	97.9501	82.2201
315	novoSplice 0.8.4 default	malaria T2	99.99	96.77	99.73	96.07	99.9801	92.88	99.9901	92.59	93.6101	79.62	95.19	78.23
316	novoSplice 0.8.4 default	malaria T3	99.98	84.9	98.58	79.22	99.9601	77.85	99.8701	77.4901	73.91	48.5901	79.3101	48.68
