,Run,Dataset,Bases_Alinged_Incorrectly,Bases_Alinged_Ambiguously,Bases_Alinged_Correctly,Bases_Unalinged
7,DRAGEN 4.0.3 default,malaria T1 R2,0.0997,1.75472,97.84558,0.3
8,DRAGEN 4.0.3 default,malaria T1 R3,0.109681,1.764867,97.835452,0.29
9,DRAGEN 4.0.3 default,malaria T2 R2,0.39716,1.836865,97.055975,0.71
10,DRAGEN 4.0.3 default,malaria T2 R3,0.39716,1.817007,97.075833,0.71
11,DRAGEN 4.0.3 default,malaria T3 R2,1.289088,2.211144,86.019768,10.48
12,DRAGEN 4.0.3 default,malaria T3 R3,1.262091,2.192995,86.054914,10.49
140,DRAGEN 4.0.3 default,malaria T1 R1,0.10967,1.73478,97.85555,0.3
141,DRAGEN 4.0.3 default,malaria T2 R1,0.416976,1.826752,97.036272,0.72
142,DRAGEN 4.0.3 default,malaria T3 R1,1.271184,2.19324,86.055576,10.48
19,DeepSAP MS150,malaria T1 R2,0.129519,1.39482,98.105661,0.37
20,DeepSAP MS150,malaria T1 R3,0.139482,1.39482,98.095698,0.37
21,DeepSAP MS150,malaria T2 R2,0.39824,1.403796,97.757964,0.44
22,DeepSAP MS150,malaria T2 R3,0.428108,1.383884,97.748008,0.44
23,DeepSAP MS150,malaria T3 R2,1.953045,1.556775,90.84018,5.65
24,DeepSAP MS150,malaria T3 R3,1.924332,1.547012,90.858656,5.67
1025,DeepSAP MS150,malaria T1 R1,0.139482,1.384857,98.105661,0.37
1125,DeepSAP MS150,malaria T2 R1,0.41811,1.3937,97.73819,0.45
1225,DeepSAP MS150,malaria T3 R1,1.971706,1.547176,90.821118,5.66
43,HISAT2 2.2.1 default,malaria T1 R2,0.069223,1.948133,96.872644,1.11
44,HISAT2 2.2.1 default,malaria T1 R3,0.079104,1.938048,96.862848,1.12
45,HISAT2 2.2.1 default,malaria T2 R2,0.193556,1.662822,86.123622,12.02
46,HISAT2 2.2.1 default,malaria T2 R3,0.202538,1.62911,86.228352,11.94
47,HISAT2 2.2.1 default,malaria T3 R2,0.001216,0.012768,6.066016,93.92
48,HISAT2 2.2.1 default,malaria T3 R3,0.001226,0.013486,6.115288,93.87
212,HISAT2 2.2.1 default,malaria T1 R1,0.07908,1.93746,96.83346,1.15
213,HISAT2 2.2.1 default,malaria T2 R1,0.202239,1.653084,86.074677,12.07
214,HISAT2 2.2.1 default,malaria T3 R1,0.001214,0.013354,6.05543199999999,93.93
55,STAR 2.7.10a default,malaria T1 R2,0.109604,2.132296,97.3981,0.36
56,STAR 2.7.10a default,malaria T1 R3,0.119556,2.142045,97.368399,0.37
57,STAR 2.7.10a default,malaria T2 R2,0.64454,3.202868,95.312592,0.84
58,STAR 2.7.10a default,malaria T2 R3,0.644605,3.163523,95.361872,0.83
59,STAR 2.7.10a default,malaria T3 R2,1.069011,3.800928,65.000061,30.13
60,STAR 2.7.10a default,malaria T3 R3,1.060048,3.745038,64.934914,30.26
236,STAR 2.7.10a default,malaria T1 R1,0.119556,2.142045,97.368399,0.37
237,STAR 2.7.10a default,malaria T2 R1,0.644605,3.183357,95.342038,0.83
238,STAR 2.7.10a default,malaria T3 R1,1.059744,3.76488,64.895376,30.28
67,Subjunc 2.0.1 default,malaria T1 R2,0.381264,0,97.378736,2.24
68,Subjunc 2.0.1 default,malaria T1 R3,0.381264,0,97.378736,2.24
69,Subjunc 2.0.1 default,malaria T2 R2,0.51018,0,92.24982,7.24
70,Subjunc 2.0.1 default,malaria T2 R3,0.529074,0,92.290926,7.18
71,Subjunc 2.0.1 default,malaria T3 R2,0.334836,0,23.245164,76.42
72,Subjunc 2.0.1 default,malaria T3 R3,0.341568,0,23.378432,76.28
308,Subjunc 2.0.1 default,malaria T1 R1,0.381225,0,97.368775,2.25
309,Subjunc 2.0.1 default,malaria T2 R1,0.519512,0,92.250488,7.23
310,Subjunc 2.0.1 default,malaria T3 R1,0.344414,0,23.245586,76.41
79,novoSplice 0.8.4 default,malaria T1 R2,0.029904,2.701328,96.948768,0.32
80,novoSplice 0.8.4 default,malaria T1 R3,0.039872,2.701328,96.9388,0.32
81,novoSplice 0.8.4 default,malaria T2 R2,0.22885,3.1641,96.10705,0.5
82,novoSplice 0.8.4 default,malaria T2 R3,0.22885,3.1044,96.16675,0.5
83,novoSplice 0.8.4 default,malaria T3 R2,0.949536,3.68793,80.142534,15.22
84,novoSplice 0.8.4 default,malaria T3 R3,0.93093,3.622164,80.076906,15.37
314,novoSplice 0.8.4 default,malaria T1 R1,0.039872,2.701328,96.9388,0.32
315,novoSplice 0.8.4 default,malaria T2 R1,0.24875,3.1442,96.10705,0.5
316,novoSplice 0.8.4 default,malaria T3 R1,0.956884,3.649708,80.073408,15.32
