,Run,Dataset,IO_out
7,DRAGEN 4.0.3 default,malaria T1 R2,1.43766021728516
8,DRAGEN 4.0.3 default,malaria T1 R3,1.44424438476562
9,DRAGEN 4.0.3 default,malaria T2 R2,2.72456359863281
10,DRAGEN 4.0.3 default,malaria T2 R3,2.71974182128906
11,DRAGEN 4.0.3 default,malaria T3 R2,8.90366363525391
12,DRAGEN 4.0.3 default,malaria T3 R3,8.8970947265625
140,DRAGEN 4.0.3 default,malaria T1 R1,1.44759368896484
141,DRAGEN 4.0.3 default,malaria T2 R1,2.73436737060547
142,DRAGEN 4.0.3 default,malaria T3 R1,8.90113067626953
19,DeepSAP MS150,malaria T1 R2,3.814697265625e-05
20,DeepSAP MS150,malaria T1 R3,3.0517578125e-05
21,DeepSAP MS150,malaria T2 R2,4.57763671875e-05
22,DeepSAP MS150,malaria T2 R3,3.814697265625e-05
23,DeepSAP MS150,malaria T3 R2,7.62939453125e-05
24,DeepSAP MS150,malaria T3 R3,7.62939453125e-05
1025,DeepSAP MS150,malaria T1 R1,5.53052520751953
1125,DeepSAP MS150,malaria T2 R1,6.01127624511719
1225,DeepSAP MS150,malaria T3 R1,6.51528167724609
43,HISAT2 2.2.1 default,malaria T1 R2,12.7013549804688
44,HISAT2 2.2.1 default,malaria T1 R3,12.7006378173828
45,HISAT2 2.2.1 default,malaria T2 R2,12.3865203857422
46,HISAT2 2.2.1 default,malaria T2 R3,12.3761520385742
47,HISAT2 2.2.1 default,malaria T3 R2,9.15695190429688
48,HISAT2 2.2.1 default,malaria T3 R3,9.16011047363281
212,HISAT2 2.2.1 default,malaria T1 R1,12.6955947875977
213,HISAT2 2.2.1 default,malaria T2 R1,12.3786010742188
214,HISAT2 2.2.1 default,malaria T3 R1,9.15562438964844
55,STAR 2.7.10a default,malaria T1 R2,7.12316131591797
56,STAR 2.7.10a default,malaria T1 R3,7.12473297119141
57,STAR 2.7.10a default,malaria T2 R2,7.23233032226562
58,STAR 2.7.10a default,malaria T2 R3,7.23065185546875
59,STAR 2.7.10a default,malaria T3 R2,6.04732513427734
60,STAR 2.7.10a default,malaria T3 R3,6.02426910400391
236,STAR 2.7.10a default,malaria T1 R1,7.12400054931641
237,STAR 2.7.10a default,malaria T2 R1,7.23508453369141
238,STAR 2.7.10a default,malaria T3 R1,6.03335571289062
67,Subjunc 2.0.1 default,malaria T1 R2,10.1717987060547
68,Subjunc 2.0.1 default,malaria T1 R3,10.1721343994141
69,Subjunc 2.0.1 default,malaria T2 R2,10.1485900878906
70,Subjunc 2.0.1 default,malaria T2 R3,10.1494064331055
71,Subjunc 2.0.1 default,malaria T3 R2,9.23004913330078
72,Subjunc 2.0.1 default,malaria T3 R3,9.23329925537109
308,Subjunc 2.0.1 default,malaria T1 R1,10.1721649169922
309,Subjunc 2.0.1 default,malaria T2 R1,10.1487579345703
310,Subjunc 2.0.1 default,malaria T3 R1,9.23088836669922
79,novoSplice 0.8.4 default,malaria T1 R2,11.802978515625
80,novoSplice 0.8.4 default,malaria T1 R3,11.8069305419922
81,novoSplice 0.8.4 default,malaria T2 R2,12.0359878540039
82,novoSplice 0.8.4 default,malaria T2 R3,12.0270843505859
83,novoSplice 0.8.4 default,malaria T3 R2,12.6064987182617
84,novoSplice 0.8.4 default,malaria T3 R3,12.5854721069336
314,novoSplice 0.8.4 default,malaria T1 R1,11.806526184082
315,novoSplice 0.8.4 default,malaria T2 R1,12.0336227416992
316,novoSplice 0.8.4 default,malaria T3 R1,12.5962677001953
