,Run,Dataset,RAM
7,DRAGEN 4.0.3 default,malaria T1 R2,7.64052200317383
8,DRAGEN 4.0.3 default,malaria T1 R3,7.64343643188477
9,DRAGEN 4.0.3 default,malaria T2 R2,7.33075332641602
10,DRAGEN 4.0.3 default,malaria T2 R3,7.31703948974609
11,DRAGEN 4.0.3 default,malaria T3 R2,7.45601654052734
12,DRAGEN 4.0.3 default,malaria T3 R3,7.46542358398438
140,DRAGEN 4.0.3 default,malaria T1 R1,7.764892578125
141,DRAGEN 4.0.3 default,malaria T2 R1,7.31497573852539
142,DRAGEN 4.0.3 default,malaria T3 R1,7.38848495483398
19,DeepSAP MS150,malaria T1 R2,0.0259819030761719
20,DeepSAP MS150,malaria T1 R3,0.0267295837402344
21,DeepSAP MS150,malaria T2 R2,0.0266075134277344
22,DeepSAP MS150,malaria T2 R3,0.0258941650390625
23,DeepSAP MS150,malaria T3 R2,0.0258903503417969
24,DeepSAP MS150,malaria T3 R3,0.0257835388183594
1025,DeepSAP MS150,malaria T1 R1,4.66233062744141
1125,DeepSAP MS150,malaria T2 R1,4.7701530456543
1225,DeepSAP MS150,malaria T3 R1,4.81535339355469
43,HISAT2 2.2.1 default,malaria T1 R2,0.190925598144531
44,HISAT2 2.2.1 default,malaria T1 R3,0.191791534423828
45,HISAT2 2.2.1 default,malaria T2 R2,0.217395782470703
46,HISAT2 2.2.1 default,malaria T2 R3,0.219467163085938
47,HISAT2 2.2.1 default,malaria T3 R2,0.156864166259766
48,HISAT2 2.2.1 default,malaria T3 R3,0.1640625
212,HISAT2 2.2.1 default,malaria T1 R1,0.18536376953125
213,HISAT2 2.2.1 default,malaria T2 R1,0.217849731445312
214,HISAT2 2.2.1 default,malaria T3 R1,0.1590576171875
55,STAR 2.7.10a default,malaria T1 R2,3.66819381713867
56,STAR 2.7.10a default,malaria T1 R3,3.66875457763672
57,STAR 2.7.10a default,malaria T2 R2,3.66974639892578
58,STAR 2.7.10a default,malaria T2 R3,3.66817092895508
59,STAR 2.7.10a default,malaria T3 R2,3.67389678955078
60,STAR 2.7.10a default,malaria T3 R3,3.6735725402832
236,STAR 2.7.10a default,malaria T1 R1,3.66612243652344
237,STAR 2.7.10a default,malaria T2 R1,3.66790771484375
238,STAR 2.7.10a default,malaria T3 R1,3.67402267456055
67,Subjunc 2.0.1 default,malaria T1 R2,2.80958557128906
68,Subjunc 2.0.1 default,malaria T1 R3,2.81063461303711
69,Subjunc 2.0.1 default,malaria T2 R2,2.93300247192383
70,Subjunc 2.0.1 default,malaria T2 R3,2.91816711425781
71,Subjunc 2.0.1 default,malaria T3 R2,3.06791687011719
72,Subjunc 2.0.1 default,malaria T3 R3,3.06305313110352
308,Subjunc 2.0.1 default,malaria T1 R1,2.81057739257812
309,Subjunc 2.0.1 default,malaria T2 R1,2.93874359130859
310,Subjunc 2.0.1 default,malaria T3 R1,3.06135559082031
79,novoSplice 0.8.4 default,malaria T1 R2,1.2621955871582
80,novoSplice 0.8.4 default,malaria T1 R3,1.26269912719727
81,novoSplice 0.8.4 default,malaria T2 R2,1.26664352416992
82,novoSplice 0.8.4 default,malaria T2 R3,1.2637939453125
83,novoSplice 0.8.4 default,malaria T3 R2,1.27106475830078
84,novoSplice 0.8.4 default,malaria T3 R3,1.27626037597656
314,novoSplice 0.8.4 default,malaria T1 R1,1.26133728027344
315,novoSplice 0.8.4 default,malaria T2 R1,1.266845703125
316,novoSplice 0.8.4 default,malaria T3 R1,1.28093338012695
