,Run,Dataset,Time
7,DRAGEN 4.0.3 default,malaria T1 R2,0.659833333333333
8,DRAGEN 4.0.3 default,malaria T1 R3,0.627
9,DRAGEN 4.0.3 default,malaria T2 R2,0.677
10,DRAGEN 4.0.3 default,malaria T2 R3,0.908
11,DRAGEN 4.0.3 default,malaria T3 R2,0.910333333333333
12,DRAGEN 4.0.3 default,malaria T3 R3,0.977166666666667
140,DRAGEN 4.0.3 default,malaria T1 R1,0.659833333333333
141,DRAGEN 4.0.3 default,malaria T2 R1,0.7445
142,DRAGEN 4.0.3 default,malaria T3 R1,0.977333333333333
19,DeepSAP MS150,malaria T1 R2,4.57983333333333
20,DeepSAP MS150,malaria T1 R3,5.11433333333333
21,DeepSAP MS150,malaria T2 R2,4.71216666666667
22,DeepSAP MS150,malaria T2 R3,4.87333333333333
23,DeepSAP MS150,malaria T3 R2,5.2125
24,DeepSAP MS150,malaria T3 R3,5.21766666666667
1025,DeepSAP MS150,malaria T1 R1,9.22233333333333
1125,DeepSAP MS150,malaria T2 R1,8.646
1225,DeepSAP MS150,malaria T3 R1,9.45216666666667
43,HISAT2 2.2.1 default,malaria T1 R2,0.952333333333333
44,HISAT2 2.2.1 default,malaria T1 R3,1.41483333333333
45,HISAT2 2.2.1 default,malaria T2 R2,1.06566666666667
46,HISAT2 2.2.1 default,malaria T2 R3,1.06433333333333
47,HISAT2 2.2.1 default,malaria T3 R2,1.1495
48,HISAT2 2.2.1 default,malaria T3 R3,1.1485
212,HISAT2 2.2.1 default,malaria T1 R1,0.926
213,HISAT2 2.2.1 default,malaria T2 R1,1.14566666666667
214,HISAT2 2.2.1 default,malaria T3 R1,1.26483333333333
55,STAR 2.7.10a default,malaria T1 R2,1.61333333333333
56,STAR 2.7.10a default,malaria T1 R3,1.7195
57,STAR 2.7.10a default,malaria T2 R2,5.37133333333333
58,STAR 2.7.10a default,malaria T2 R3,5.76783333333333
59,STAR 2.7.10a default,malaria T3 R2,35.33
60,STAR 2.7.10a default,malaria T3 R3,35.5723333333333
236,STAR 2.7.10a default,malaria T1 R1,1.776
237,STAR 2.7.10a default,malaria T2 R1,5.85666666666667
238,STAR 2.7.10a default,malaria T3 R1,38.361
67,Subjunc 2.0.1 default,malaria T1 R2,7.63016666666667
68,Subjunc 2.0.1 default,malaria T1 R3,7.73583333333333
69,Subjunc 2.0.1 default,malaria T2 R2,7.76616666666667
70,Subjunc 2.0.1 default,malaria T2 R3,7.7065
71,Subjunc 2.0.1 default,malaria T3 R2,8.06466666666667
72,Subjunc 2.0.1 default,malaria T3 R3,8.098
308,Subjunc 2.0.1 default,malaria T1 R1,8.26933333333333
309,Subjunc 2.0.1 default,malaria T2 R1,8.36166666666667
310,Subjunc 2.0.1 default,malaria T3 R1,8.661
79,novoSplice 0.8.4 default,malaria T1 R2,7.4105
80,novoSplice 0.8.4 default,malaria T1 R3,7.47733333333333
81,novoSplice 0.8.4 default,malaria T2 R2,8.03533333333333
82,novoSplice 0.8.4 default,malaria T2 R3,8.46216666666667
83,novoSplice 0.8.4 default,malaria T3 R2,12.4065
84,novoSplice 0.8.4 default,malaria T3 R3,12.5595
314,novoSplice 0.8.4 default,malaria T1 R1,7.92766666666667
315,novoSplice 0.8.4 default,malaria T2 R1,8.53216666666667
316,novoSplice 0.8.4 default,malaria T3 R1,13.4285
