Competitor,Composite_Outcome,Mean_DeepSAP,Mean_Competitor,Mean_Diff_pp,Mean_CI_low,Mean_CI_high,Median_DeepSAP,Median_Competitor,HL_Diff_pp,HL_CI_low,HL_CI_high,Wilcoxon_p,Holm_Wilcoxon_p,Ttest_p,Holm_Ttest_p
DRAGEN 4.0.3 default,Bases_Aligned_Correctly,1.91198e+09,1.88789e+09,2.40913e+07,-1.35306e+07,6.17131e+07,1.95363e+09,1.94456e+09,9.52029e+06,8.00634e+06,2.41088e+07,0.03125,0.0625,0.0903529,0.180706
DRAGEN 4.0.3 default,Bases_Not_Correctly,8.80235e+07,1.12115e+08,-2.40913e+07,-6.17131e+07,1.35306e+07,4.63686e+07,5.54444e+07,-9.52029e+06,-2.41088e+07,-8.00634e+06,0.03125,0.0625,0.0903529,0.180706
HISAT2 2.2.1 default,Bases_Aligned_Correctly,1.91198e+09,1.33567e+09,5.76311e+08,-2.09535e+08,1.36216e+09,1.95363e+09,1.77396e+09,1.79673e+08,1.26076e+08,8.56249e+08,0.03125,0.0625,0.0812005,0.162401
HISAT2 2.2.1 default,Bases_Not_Correctly,8.80235e+07,6.64334e+08,-5.76311e+08,-1.36216e+09,2.09535e+08,4.63686e+07,2.26042e+08,-1.79673e+08,-8.56249e+08,-1.26076e+08,0.03125,0.0625,0.0812005,0.162401
STAR 2.7.10a default,Bases_Aligned_Correctly,1.91198e+09,1.76061e+09,1.51363e+08,-7.12447e+07,3.73971e+08,1.95363e+09,1.91924e+09,3.43908e+07,2.6523e+07,2.61819e+08,0.03125,0.0625,0.087165,0.17433
STAR 2.7.10a default,Bases_Not_Correctly,8.80235e+07,2.39387e+08,-1.51363e+08,-3.73971e+08,7.12447e+07,4.63686e+07,8.07595e+07,-3.43908e+07,-2.61819e+08,-2.6523e+07,0.03125,0.0625,0.087165,0.17433
Subjunc 2.0.1 default,Bases_Aligned_Correctly,1.91198e+09,1.45644e+09,4.55541e+08,-1.36423e+08,1.0475e+09,1.95363e+09,1.81196e+09,1.41667e+08,1.09754e+08,6.83124e+08,0.03125,0.0625,0.0543291,0.108658
Subjunc 2.0.1 default,Bases_Not_Correctly,8.80235e+07,5.43564e+08,-4.55541e+08,-1.0475e+09,1.36423e+08,4.63686e+07,1.88036e+08,-1.41667e+08,-6.83124e+08,-1.09754e+08,0.03125,0.0625,0.0543291,0.108658
novoSplice 0.8.4 default,Bases_Aligned_Correctly,1.91198e+09,1.82947e+09,8.25053e+07,2.19514e+06,1.62815e+08,1.95363e+09,1.9102e+09,4.44862e+07,3.78457e+07,1.19146e+08,0.03125,0.0625,0.00745946,0.0149189
novoSplice 0.8.4 default,Bases_Not_Correctly,8.80235e+07,1.70529e+08,-8.25053e+07,-1.62815e+08,-2.19514e+06,4.63686e+07,8.98011e+07,-4.44862e+07,-1.19146e+08,-3.78457e+07,0.03125,0.0625,0.00745946,0.0149189
