Competitor,Metric,Mean_DeepSAP,Mean_Competitor,Mean_Diff_pp,Median_DeepSAP,Median_Competitor,HL_Diff_pp,Wilcoxon_p,Holm_Wilcoxon_p,Ttest_p,Holm_Ttest_p
DRAGEN 4.0.3 default,Bases_Alinged_Correctly,95.59882566666666,94.39426133333332,1.2045643333333373,97.6815675,97.22778,0.4760145000000051,0.03125,0.125,0.09035294288023407,0.18070588576046814
DRAGEN 4.0.3 default,Bases_Alinged_Incorrectly,0.9611471666666667,0.5801965,0.38095066666666666,0.6037410000000001,0.4225635,0.2500015,0.03125,0.125,0.034568689426084355,0.10370606827825307
DRAGEN 4.0.3 default,Bases_Unalinged,1.9300000000000004,3.205,-1.2749999999999997,0.41000000000000003,0.575,-0.235,0.09375,0.125,0.09486841265510244,0.18070588576046814
DRAGEN 4.0.3 default,Bases_Alinged_Ambiguously,1.5100271666666665,1.8205421666666666,-0.3105150000000001,1.4570045,1.735302,-0.31917850000000003,0.0625,0.125,0.02474144595848115,0.0989657838339246
HISAT2 2.2.1 default,Bases_Alinged_Correctly,95.59882566666666,66.78328666666667,28.815538999999987,97.6815675,88.697908,8.983659500000002,0.03125,0.125,0.08120046957531214,0.20476790491317692
HISAT2 2.2.1 default,Bases_Alinged_Incorrectly,0.9611471666666667,0.11457266666666667,0.8465745,0.6037410000000001,0.11409749999999999,0.4167075,0.03125,0.125,0.04683219037831294,0.18732876151325176
HISAT2 2.2.1 default,Bases_Unalinged,1.9300000000000004,31.715000000000003,-29.785000000000004,0.41000000000000003,9.17,-8.83,0.03125,0.125,0.0682559683043923,0.20476790491317692
HISAT2 2.2.1 default,Bases_Alinged_Ambiguously,1.5100271666666665,1.3871406666666666,0.1228864999999999,1.4570045,1.795272,-0.4059935,1.0,1.0,0.5211563854984589,0.5211563854984589
STAR 2.7.10a default,Bases_Alinged_Correctly,95.59882566666666,88.03066100000001,7.568164666666647,97.6815675,95.96202650000001,1.7195409999999995,0.03125,0.125,0.0871650429125343,0.2614951287376029
STAR 2.7.10a default,Bases_Alinged_Incorrectly,0.9611471666666667,0.5036255000000001,0.4575216666666666,0.6037410000000001,0.5206025,0.335693,0.09375,0.1875,0.08977760946232652,0.2614951287376029
STAR 2.7.10a default,Bases_Unalinged,1.9300000000000004,8.985,-7.054999999999999,0.41000000000000003,0.84,-0.5,0.0625,0.1875,0.1149513708528973,0.2614951287376029
STAR 2.7.10a default,Bases_Alinged_Ambiguously,1.5100271666666665,2.4807135,-0.9706863333333333,1.4570045,2.156715,-0.730977,0.0625,0.1875,0.031772231825989,0.127088927303956
Subjunc 2.0.1 default,Bases_Alinged_Correctly,95.59882566666666,72.82178166666667,22.77704399999999,97.6815675,90.59820400000001,7.083363499999997,0.03125,0.125,0.054329063153312956,0.10865812630662591
Subjunc 2.0.1 default,Bases_Alinged_Incorrectly,0.9611471666666667,0.47155166666666665,0.4895955,0.6037410000000001,0.45036849999999995,-0.016658499999999965,0.84375,0.84375,0.3135223265867977,0.3135223265867977
Subjunc 2.0.1 default,Bases_Unalinged,1.9300000000000004,26.706666666666667,-24.776666666666667,0.41000000000000003,8.815000000000001,-8.475,0.03125,0.125,0.023708585586940917,0.07112575676082275
Subjunc 2.0.1 default,Bases_Alinged_Ambiguously,1.5100271666666665,0.0,1.5100271666666665,1.4570045,0.0,1.4570045,0.03125,0.125,8.745366309569994e-08,3.498146523827998e-07
novoSplice 0.8.4 default,Bases_Alinged_Correctly,95.59882566666666,91.47356266666668,4.1252629999999755,97.6815675,95.509947,2.224307500000002,0.03125,0.125,0.007459457913676763,0.014918915827353526
novoSplice 0.8.4 default,Bases_Alinged_Incorrectly,0.9611471666666667,0.34984449999999995,0.6113026666666668,0.6037410000000001,0.2090265,0.47422450000000005,0.03125,0.125,0.0046606935802921265,0.013982080740876379
novoSplice 0.8.4 default,Bases_Unalinged,1.9300000000000004,4.461666666666667,-2.5316666666666663,0.41000000000000003,0.45499999999999996,-0.14999999999999997,0.09375,0.125,0.13856036245861306,0.13856036245861306
novoSplice 0.8.4 default,Bases_Alinged_Ambiguously,1.5100271666666665,3.714926166666667,-2.204899,1.4570045,3.654349,-2.1570660000000004,0.03125,0.125,0.00010750066693913642,0.00043000266775654566
