Event_Type,Metric,Competitor,Mean_DeepSAP,Mean_Competitor,Mean_Diff_pp,Mean_CI_low,Mean_CI_high,Median_DeepSAP,Median_Competitor,HL_Diff_pp,HL_CI_low,HL_CI_high,Ttest_p,Wilcoxon_p,Holm_Wilcoxon_p
Deletion,Percision,DRAGEN 4.0.3 default,89.6284,91.1334,-1.50497,-3.98317,0.973239,94.965,94.755,-1.23495,-2.46005,-0.6899,0.210881,0.21875,0.875
Deletion,Percision,HISAT2 2.2.1 default,89.6284,96.4134,-6.785,-16.494,2.92397,94.965,96.065,-2.055,-10.125,-1.63,0.101632,0.09375,0.46875
Deletion,Percision,STAR 2.7.10a default,89.6284,90.755,-1.12665,-3.09547,0.842172,94.965,94.59,-0.58,-1.5449,-0.4201,0.225373,0.21875,0.875
Deletion,Percision,Subjunc 2.0.1 default,89.6284,89.6001,0.02835,-1.4653,1.522,94.965,94.935,-0.04,-0.315,0.31005,0.95693,1,1
Deletion,Percision,novoSplice 0.8.4 default,89.6284,89.1334,0.495,-0.335506,1.32551,94.965,94.66,0.305,0.0799,0.805,0.271642,0.3125,0.875
Deletion,Recall,DRAGEN 4.0.3 default,76.015,62.3667,13.6483,10.7636,16.5331,82.455,69.685,12.82,12.57,14.1701,6.08961e-06,0.03125,0.15625
Deletion,Recall,HISAT2 2.2.1 default,76.015,35.51,40.505,21.6928,59.3172,82.455,40.385,42.07,31.105,50.33,0.00519997,0.03125,0.15625
Deletion,Recall,STAR 2.7.10a default,76.015,51.4467,24.5683,10.0351,39.1016,82.455,63.335,19.12,16.455,29.79,0.00478875,0.03125,0.15625
Deletion,Recall,Subjunc 2.0.1 default,76.015,58.1417,17.8733,-6.78734,42.534,82.455,77.205,7.665,5.25,25.755,0.11785,0.09375,0.15625
Deletion,Recall,novoSplice 0.8.4 default,76.015,68.7901,7.22498,2.27696,12.173,82.455,76.6701,8.345,5.175,9.58995,0.00934683,0.03125,0.15625
Insertion,Percision,DRAGEN 4.0.3 default,90.885,93.0934,-2.20835,-5.46782,1.05112,96.555,97.09,-0.535,-3.21995,-0.33,0.119765,0.15625,0.625
Insertion,Percision,HISAT2 2.2.1 default,90.885,97.3117,-6.42672,-15.7878,2.93433,96.555,97.775,-1.22,-9.325,-0.89005,0.107693,0.0625,0.3125
Insertion,Percision,STAR 2.7.10a default,90.885,92.1867,-1.30168,-4.73004,2.12667,96.555,95.275,0.28995,-2.51005,0.62495,0.683459,1,1
Insertion,Percision,Subjunc 2.0.1 default,90.885,92.0384,-1.15335,-3.50535,1.19865,96.555,96.475,0.07995,-1.86495,0.2199,0.479655,1,1
Insertion,Percision,novoSplice 0.8.4 default,90.885,90.8217,0.0633,-1.07148,1.19808,96.555,95.615,0.48495,-0.38005,0.6749,0.302055,0.84375,1
Insertion,Recall,DRAGEN 4.0.3 default,73.9334,60.3733,13.56,10.5937,16.5264,79.49,67.355,13.09,12.33,13.71,1.53029e-05,0.03125,0.15625
Insertion,Recall,HISAT2 2.2.1 default,73.9334,34.48,39.4533,21.0739,57.8328,79.49,39.605,39.885,30.3801,49.2399,0.00606727,0.03125,0.15625
Insertion,Recall,STAR 2.7.10a default,73.9334,44.76,29.1733,17.431,40.9157,79.49,54.08,25.45,22.9051,33.95,0.00115169,0.03125,0.15625
Insertion,Recall,Subjunc 2.0.1 default,73.9334,56.0534,17.88,-5.40123,41.1613,79.49,73.2551,8.45,5.79505,25.8749,0.102563,0.09375,0.15625
Insertion,Recall,novoSplice 0.8.4 default,73.9334,67.7567,6.17667,0.595483,11.7579,79.49,75.4101,6.295,3.47995,8.59005,0.028876,0.0625,0.15625
Junction,Percision,DRAGEN 4.0.3 default,99.7534,99.6767,0.0766667,-0.287213,0.440546,99.8,99.865,-0.06995,-0.08,0.01,0.969301,0.5625,0.5625
Junction,Percision,HISAT2 2.2.1 default,99.7534,96.3684,3.38505,0.551919,6.21818,99.8,96.585,3.2951,2.3701,4.2201,0.00884433,0.03125,0.15625
Junction,Percision,STAR 2.7.10a default,99.7534,96.2351,3.51832,-4.54828,11.5849,99.8,99.3101,0.325,0.215,1.4,0.236457,0.125,0.25
Junction,Percision,Subjunc 2.0.1 default,99.7534,86.5584,13.195,-8.04908,34.4391,99.8,94.225,5.4101,3.975,12.8601,0.0603043,0.03125,0.15625
Junction,Percision,novoSplice 0.8.4 default,99.7534,99.9684,-0.215,-0.376962,-0.0530384,99.8,99.9751,-0.1751,-0.2,-0.15,0.000433064,0.03125,0.15625
Junction,Recall,DRAGEN 4.0.3 default,95.5951,87.6267,7.96835,5.85967,10.077,97.675,91.155,7.8251,6.89505,8.53495,7.21781e-05,0.03125,0.15625
Junction,Recall,HISAT2 2.2.1 default,95.5951,61.4817,34.1133,-7.0745,75.3012,97.675,83.9651,14.145,9.61,48.48,0.0444343,0.03125,0.15625
Junction,Recall,STAR 2.7.10a default,95.5951,76.0184,19.5767,-0.855354,40.0087,97.675,89.145,8.96505,7.675,27.12,0.0108146,0.03125,0.15625
Junction,Recall,Subjunc 2.0.1 default,95.5951,70.6584,24.9367,-7.00639,56.8798,97.675,89.5101,8.60005,5.99,35.4301,0.0474996,0.03125,0.15625
Junction,Recall,novoSplice 0.8.4 default,95.5951,86.295,9.30002,5.3857,13.2143,97.675,89.565,8.11,7.1101,10.6,2.80666e-07,0.03125,0.15625
Skipping,Percision,DRAGEN 4.0.3 default,98.8067,87.465,11.3417,-12.2786,34.962,99.57,98.025,1.56505,1,8.34,0.165189,0.15625,0.15625
Skipping,Percision,HISAT2 2.2.1 default,98.8067,60.9,37.9067,0.287966,75.5254,99.57,62.665,36.925,27.2001,51.145,0.0318566,0.03125,0.15625
Skipping,Percision,STAR 2.7.10a default,98.8067,52.205,46.6016,-2.01068,95.214,99.57,54.98,44.61,37.56,54.42,0.043994,0.03125,0.15625
Skipping,Percision,Subjunc 2.0.1 default,98.8067,44.1767,54.63,4.90397,104.356,99.57,38.7501,58.8199,50.05,60.8699,0.0215336,0.03125,0.15625
Skipping,Percision,novoSplice 0.8.4 default,98.8067,99.9184,-1.1117,-3.11953,0.89613,99.57,99.9701,-0.35505,-0.4901,-0.32005,0.0456554,0.03125,0.15625
Skipping,Recall,DRAGEN 4.0.3 default,95.3867,88.1934,7.19337,5.02517,9.36156,97.925,92.005,6.13005,5.92005,7.87,3.18239e-07,0.03125,0.15625
Skipping,Recall,HISAT2 2.2.1 default,95.3867,62.1367,33.25,-8.40515,74.9052,97.925,84.84,13.085,8.02,48.08,0.0554776,0.03125,0.15625
Skipping,Recall,STAR 2.7.10a default,95.3867,75.8467,19.54,-0.855337,39.9354,97.925,89.095,8.83005,7.76,27.14,0.0116821,0.03125,0.15625
Skipping,Recall,Subjunc 2.0.1 default,95.3867,70.805,24.5817,-7.05754,56.221,97.925,89.59,8.33505,6.08505,34.9001,0.050954,0.03125,0.15625
Skipping,Recall,novoSplice 0.8.4 default,95.3867,86.7417,8.64502,4.93912,12.3509,97.925,90.735,7.20505,6.47005,10.075,1.7147e-06,0.03125,0.15625
