Competitor,Metric_Group,Mean_DeepSAP,Mean_Competitor,Mean_Diff_pp,Mean_CI_low,Mean_CI_high,Median_DeepSAP,Median_Competitor,HL_Diff_pp,HL_CI_low,HL_CI_high,Cohen_dz,Hedges_g,Wilcoxon_p,Holm_Wilcoxon_p
DRAGEN,TP_only,135.813,134.595,1.21833,-4.28127,6.71793,136.815,137.78,2.745,-0.805,3.59,0.232483,0.195775,0.6875,1
DRAGEN,FP+FN,64.185,65.4017,-1.21667,-6.71285,4.27952,63.19,62.22,-2.745,-3.59,0.8,-0.232309,-0.195629,0.6875,1
HISAT2,TP_only,135.813,84.0883,51.725,-8.26415,111.714,136.815,115.095,27.93,24.485,65.865,0.904865,0.761991,0.03125,0.0625
HISAT2,FP+FN,64.185,115.912,-51.7267,-111.723,8.26936,63.19,84.9,-27.93,-65.87,-24.49,-0.90479,-0.761928,0.03125,0.0625
STAR,TP_only,135.813,111.493,24.32,-3.28203,51.922,136.815,120.34,15.895,13.375,23.24,0.924652,0.778654,0.03125,0.0625
STAR,FP+FN,64.185,88.5033,-24.3183,-51.9262,3.28951,63.19,79.66,-15.89,-23.24,-13.375,-0.924394,-0.778437,0.03125,0.0625
Subjunc,TP_only,135.813,92.0267,43.7867,-2.19009,89.7634,136.815,119.57,25.81,20.785,65.785,0.999446,0.841639,0.03125,0.0625
Subjunc,FP+FN,64.185,107.973,-43.7883,-89.7649,2.18825,63.19,80.435,-25.82,-65.785,-20.785,-0.999488,-0.841674,0.03125,0.0625
novoSplice,TP_only,135.813,135.935,-0.121667,-3.36059,3.11726,136.815,134.73,0.21,-1.15,1.21,-0.0394209,-0.0331966,1,1
novoSplice,FP+FN,64.185,64.06,0.125,-3.1163,3.3663,63.19,65.27,-0.205,-1.21,1.155,0.0404712,0.034081,1,1
