sample_id,aligner_name,variant_type,TP (%),FP (%),FN (%)
baruzzo_human_t1r1,DRAGEN,deletion,72.32,19.36,8.32
baruzzo_human_t1r1,DeepSAP,deletion,74.65,21.39,3.96
baruzzo_human_t1r1,HISAT2,deletion,69.52,18.98,11.5
baruzzo_human_t1r1,STAR,deletion,71.1,20.11,8.79
baruzzo_human_t1r1,Subjunc,deletion,63.85,1.02,35.14
baruzzo_human_t1r1,novoSplice,deletion,75.29,13.19,11.52
baruzzo_human_t2r1,DRAGEN,deletion,69.97,19.8,10.23
baruzzo_human_t2r1,DeepSAP,deletion,71.43,22.4,6.17
baruzzo_human_t2r1,HISAT2,deletion,49.78,13.43,36.79
baruzzo_human_t2r1,STAR,deletion,63.98,20.32,15.7
baruzzo_human_t2r1,Subjunc,deletion,56.6,1.75,41.65
baruzzo_human_t2r1,novoSplice,deletion,73.09,14.26,12.64
baruzzo_human_t3r1,DRAGEN,deletion,58.48,19.14,22.37
baruzzo_human_t3r1,DeepSAP,deletion,61.48,24.68,13.83
baruzzo_human_t3r1,HISAT2,deletion,0.0,0.0,100.0
baruzzo_human_t3r1,STAR,deletion,27.28,8.82,63.9
baruzzo_human_t3r1,Subjunc,deletion,1.2,0.08,98.72
baruzzo_human_t3r1,novoSplice,deletion,60.51,14.91,24.58
baruzzo_malaria_t1r1,DRAGEN,deletion,63.36,35.4,1.24
baruzzo_malaria_t1r1,DeepSAP,deletion,65.98,33.25,0.77
baruzzo_malaria_t1r1,HISAT2,deletion,62.32,35.4,2.28
baruzzo_malaria_t1r1,STAR,deletion,65.4,33.32,1.28
baruzzo_malaria_t1r1,Subjunc,deletion,59.66,2.83,37.51
baruzzo_malaria_t1r1,novoSplice,deletion,63.06,22.99,13.95
baruzzo_malaria_t2r1,DRAGEN,deletion,66.6,30.94,2.46
baruzzo_malaria_t2r1,DeepSAP,deletion,64.77,32.59,2.64
baruzzo_malaria_t2r1,HISAT2,deletion,62.1,28.55,9.34
baruzzo_malaria_t2r1,STAR,deletion,62.88,32.29,4.83
baruzzo_malaria_t2r1,Subjunc,deletion,57.74,4.53,37.73
baruzzo_malaria_t2r1,novoSplice,deletion,63.98,22.34,13.68
baruzzo_malaria_t3r1,DRAGEN,deletion,62.63,29.58,7.79
baruzzo_malaria_t3r1,DeepSAP,deletion,60.32,32.68,7.0
baruzzo_malaria_t3r1,HISAT2,deletion,0.36,0.03,99.61
baruzzo_malaria_t3r1,STAR,deletion,56.19,27.65,16.15
baruzzo_malaria_t3r1,Subjunc,deletion,24.12,3.56,72.31
baruzzo_malaria_t3r1,novoSplice,deletion,58.47,25.72,15.81
baruzzo_human_t1r1,DRAGEN,insertion,72.73,17.64,9.63
baruzzo_human_t1r1,DeepSAP,insertion,75.12,19.6,5.28
baruzzo_human_t1r1,HISAT2,insertion,69.73,17.06,13.21
baruzzo_human_t1r1,STAR,insertion,67.62,17.12,15.25
baruzzo_human_t1r1,Subjunc,insertion,64.34,1.19,34.47
baruzzo_human_t1r1,novoSplice,insertion,77.42,10.48,12.1
baruzzo_human_t2r1,DRAGEN,insertion,71.54,17.15,11.31
baruzzo_human_t2r1,DeepSAP,insertion,73.67,19.44,6.89
baruzzo_human_t2r1,HISAT2,insertion,49.98,11.43,38.59
baruzzo_human_t2r1,STAR,insertion,57.88,18.51,23.61
baruzzo_human_t2r1,Subjunc,insertion,58.46,1.67,39.88
baruzzo_human_t2r1,novoSplice,insertion,76.39,11.11,12.5
baruzzo_human_t3r1,DRAGEN,insertion,58.73,16.45,24.81
baruzzo_human_t3r1,DeepSAP,insertion,62.99,22.0,15.01
baruzzo_human_t3r1,HISAT2,insertion,0.0,0.0,100.0
baruzzo_human_t3r1,STAR,insertion,20.86,5.57,73.57
baruzzo_human_t3r1,Subjunc,insertion,1.27,0.09,98.63
baruzzo_human_t3r1,novoSplice,insertion,61.32,11.64,27.03
baruzzo_malaria_t1r1,DRAGEN,insertion,72.76,24.24,3.0
baruzzo_malaria_t1r1,DeepSAP,insertion,72.04,25.56,2.4
baruzzo_malaria_t1r1,HISAT2,insertion,72.07,24.28,3.66
baruzzo_malaria_t1r1,STAR,insertion,69.11,27.23,3.66
baruzzo_malaria_t1r1,Subjunc,insertion,68.79,3.87,27.34
baruzzo_malaria_t1r1,novoSplice,insertion,71.43,17.76,10.81
baruzzo_malaria_t2r1,DRAGEN,insertion,72.84,23.39,3.77
baruzzo_malaria_t2r1,DeepSAP,insertion,70.84,25.28,3.89
baruzzo_malaria_t2r1,HISAT2,insertion,68.33,21.37,10.3
baruzzo_malaria_t2r1,STAR,insertion,55.94,38.53,5.53
baruzzo_malaria_t2r1,Subjunc,insertion,66.34,4.36,29.3
baruzzo_malaria_t2r1,novoSplice,insertion,70.99,17.36,11.65
baruzzo_malaria_t3r1,DRAGEN,insertion,65.61,23.61,10.78
baruzzo_malaria_t3r1,DeepSAP,insertion,61.59,27.66,10.74
baruzzo_malaria_t3r1,HISAT2,insertion,0.34,0.05,99.61
baruzzo_malaria_t3r1,STAR,insertion,50.72,28.16,21.12
baruzzo_malaria_t3r1,Subjunc,insertion,29.79,3.9,66.31
baruzzo_malaria_t3r1,novoSplice,insertion,63.66,17.97,18.36
