,Run,Dataset,Percision_Read,Recall_Read,Percision_Base,Recall_Base,Percision_Junction,Recall_Junction,Percision_Skipping,Recall_Skipping,Percision_Deletion,Recall_Deletion,Percision_Insertion,Recall_Insertion
1,DRAGEN 4.0.3 default,human T1 R2,99.75,97.9,99.7,97.73,99.8901,92.0201,99.84,92.65,98.4501,74.43,98.0601,71.37
2,DRAGEN 4.0.3 default,human T1 R3,99.75,97.91,99.7,97.73,99.8901,92.05,99.82,92.7101,98.5601,74.81,98.3701,71.76
3,DRAGEN 4.0.3 default,human T2 R2,99.71,97.81,99.56,97.39,99.8501,91.46,99.72,91.96,97.1301,72.35,97.11,69.59
4,DRAGEN 4.0.3 default,human T2 R3,99.71,97.82,99.56,97.4,99.83,91.44,99.72,92.0001,97.1401,72.5,97.1501,69.4301
5,DRAGEN 4.0.3 default,human T3 R2,99.37,96.37,98.83,90.04,99.3801,79.9901,98.32,78.87,82.8,47.47,84.1601,45.78
6,DRAGEN 4.0.3 default,human T3 R3,99.37,96.36,98.83,90.02,99.3701,79.97,98.3401,78.94,82.98,47.59,84.2,45.92
7,DRAGEN 4.0.3 default,malaria T1 R2,99.97,98.19,99.89,97.83,99.9801,91.48,97.48,92.66,94.3501,71.82,98.63,69.14
8,DRAGEN 4.0.3 default,malaria T1 R3,99.97,98.19,99.88,97.81,99.9801,91.54,97.1401,92.66,94.8,71.6,98.63,68.44
9,DRAGEN 4.0.3 default,malaria T2 R2,99.97,98.06,99.58,97.01,99.93,90.86,88.8901,91.95,95.47,68.85,97.31,66.6
10,DRAGEN 4.0.3 default,malaria T2 R3,99.97,98.09,99.58,97.04,99.93,90.93,86.5701,92.1201,95.27,68.35,97.2601,66.43
11,DRAGEN 4.0.3 default,malaria T3 R2,99.82,95.18,98.33,85.59,98.9601,79.7901,38.8,80.67,78.84,40.76,83.18,40.42
12,DRAGEN 4.0.3 default,malaria T3 R3,99.83,95.22,98.37,85.63,99.03,79.53,38.52,80.66,79.6001,41.24,83.88,41.0601
137,DRAGEN 4.0.3 default,human T1 R1,99.75,97.9,99.7,97.73,99.8901,92.0201,99.81,92.69,98.4,74.4701,98.2401,71.54
138,DRAGEN 4.0.3 default,human T2 R1,99.7,97.82,99.55,97.4,99.84,91.5001,99.74,91.97,97.1,72.3301,97.18,69.3201
139,DRAGEN 4.0.3 default,human T3 R1,99.37,96.37,98.84,90.03,99.3801,79.96,98.32,78.9101,82.88,47.38,84.09,45.9
140,DRAGEN 4.0.3 default,malaria T1 R1,99.97,98.2,99.88,97.83,99.9801,91.38,97.73,92.55,94.2101,70.89,98.29,68.94
141,DRAGEN 4.0.3 default,malaria T2 R1,99.96,98.07,99.56,97,99.9501,90.93,91.16,92.04,95.3,68.48,97,65.77
142,DRAGEN 4.0.3 default,malaria T3 R1,99.81,95.2,98.35,85.62,99.02,79.97,38.0301,81.0001,78.9101,40.65,83.7601,40.77
13,DeepSAP MS150,human T1 R2,99.48,98.04,99.45,97.83,99.7901,97.89,99.62,98.1701,97.8,86.53,98.02,83.0401
14,DeepSAP MS150,human T1 R3,99.48,98.04,99.45,97.83,99.7901,97.91,99.6501,98.22,97.73,86.82,98.0801,83.4401
15,DeepSAP MS150,human T2 R2,99.42,97.95,99.3,97.6,99.7601,97.42,99.6601,97.6601,96.4601,83.5601,97.02,80.19
16,DeepSAP MS150,human T2 R3,99.42,97.95,99.31,97.6,99.7601,97.39,99.64,97.59,96.4301,83.6,97,80.27
17,DeepSAP MS150,human T3 R2,98.4,96.24,97.71,91.25,99.3901,89.13,99.32,88.6701,77.93,61.63,77.87,59.37
18,DeepSAP MS150,human T3 R3,98.4,96.24,97.71,91.25,99.4,89.0801,99.3601,88.85,78.15,61.68,78.02,59.52
19,DeepSAP MS150,malaria T1 R2,99.96,98.49,99.86,98.08,99.8901,99.1801,99.8701,98.6501,96.4401,85.2601,98.1701,81.0001
20,DeepSAP MS150,malaria T1 R3,99.95,98.49,99.85,98.08,99.8901,99.23,99.8501,98.6401,96.2201,84.8301,97.99,81.5401
