,Run,Dataset,Bases_Alinged_Incorrectly,Bases_Alinged_Ambiguously,Bases_Alinged_Correctly,Bases_Unalinged
1,DRAGEN 4.0.3 default,human T1 R2,0.279328,1.725848,97.754824,0.24
2,DRAGEN 4.0.3 default,human T1 R3,0.279356,1.726021,97.764623,0.23
3,DRAGEN 4.0.3 default,human T2 R2,0.418194,1.722561,97.429245,0.43
4,DRAGEN 4.0.3 default,human T2 R3,0.418194,1.722561,97.429245,0.43
5,DRAGEN 4.0.3 default,human T3 R2,0.97587,1.691508,90.272622,7.06
6,DRAGEN 4.0.3 default,human T3 R3,0.985058,1.700619,90.244323,7.07
7,DRAGEN 4.0.3 default,malaria T1 R2,0.0997,1.75472,97.84558,0.3
8,DRAGEN 4.0.3 default,malaria T1 R3,0.109681,1.764867,97.835452,0.29
9,DRAGEN 4.0.3 default,malaria T2 R2,0.39716,1.836865,97.055975,0.71
10,DRAGEN 4.0.3 default,malaria T2 R3,0.39716,1.817007,97.075833,0.71
11,DRAGEN 4.0.3 default,malaria T3 R2,1.289088,2.211144,86.019768,10.48
12,DRAGEN 4.0.3 default,malaria T3 R3,1.262091,2.192995,86.054914,10.49
137,DRAGEN 4.0.3 default,human T1 R1,0.279328,1.735824,97.744848,0.24
138,DRAGEN 4.0.3 default,human T2 R1,0.428151,1.722561,97.419288,0.43
139,DRAGEN 4.0.3 default,human T3 R1,0.97587,1.710096,90.254034,7.06
140,DRAGEN 4.0.3 default,malaria T1 R1,0.10967,1.73478,97.85555,0.3
141,DRAGEN 4.0.3 default,malaria T2 R1,0.416976,1.826752,97.036272,0.72
142,DRAGEN 4.0.3 default,malaria T3 R1,1.271184,2.19324,86.055576,10.48
13,DeepSAP MS150,human T1 R2,0.529046,1.437408,97.853546,0.18
14,DeepSAP MS150,human T1 R3,0.529046,1.437408,97.853546,0.18
15,DeepSAP MS150,human T2 R2,0.678436,1.466619,97.624945,0.23
16,DeepSAP MS150,human T2 R3,0.668459,1.466619,97.634922,0.23
17,DeepSAP MS150,human T3 R2,2.030103,1.820421,91.459476,4.69
18,DeepSAP MS150,human T3 R3,2.030103,1.820421,91.459476,4.69
19,DeepSAP MS150,malaria T1 R2,0.129519,1.39482,98.105661,0.37
20,DeepSAP MS150,malaria T1 R3,0.139482,1.39482,98.095698,0.37
21,DeepSAP MS150,malaria T2 R2,0.39824,1.403796,97.757964,0.44
22,DeepSAP MS150,malaria T2 R3,0.428108,1.383884,97.748008,0.44
23,DeepSAP MS150,malaria T3 R2,1.953045,1.556775,90.84018,5.65
24,DeepSAP MS150,malaria T3 R3,1.924332,1.547012,90.858656,5.67
725,DeepSAP MS150,human T1 R1,0.529046,1.44739,97.843564,0.18
825,DeepSAP MS150,human T2 R1,0.678436,1.466619,97.624945,0.23
925,DeepSAP MS150,human T3 R1,2.030103,1.820421,91.459476,4.69
1025,DeepSAP MS150,malaria T1 R1,0.139482,1.384857,98.105661,0.37
1125,DeepSAP MS150,malaria T2 R1,0.41811,1.3937,97.73819,0.45
1225,DeepSAP MS150,malaria T3 R1,1.971706,1.547176,90.821118,5.66
37,HISAT2 2.2.1 default,human T1 R2,0.1491,2.27626,96.97464,0.6
38,HISAT2 2.2.1 default,human T1 R3,0.1491,2.26632,96.98458,0.6
39,HISAT2 2.2.1 default,human T2 R2,0.224976,2.193516,91.321508,6.26
40,HISAT2 2.2.1 default,human T2 R3,0.225,2.19375,91.33125,6.25
41,HISAT2 2.2.1 default,human T3 R2,0.030823,0.26081,23.418367,76.29
42,HISAT2 2.2.1 default,human T3 R3,0.030849,0.258657,23.440494,76.27
43,HISAT2 2.2.1 default,malaria T1 R2,0.069223,1.948133,96.872644,1.11
44,HISAT2 2.2.1 default,malaria T1 R3,0.079104,1.938048,96.862848,1.12
45,HISAT2 2.2.1 default,malaria T2 R2,0.193556,1.662822,86.123622,12.02
46,HISAT2 2.2.1 default,malaria T2 R3,0.202538,1.62911,86.228352,11.94
47,HISAT2 2.2.1 default,malaria T3 R2,0.001216,0.012768,6.066016,93.92
48,HISAT2 2.2.1 default,malaria T3 R3,0.001226,0.013486,6.115288,93.87
209,HISAT2 2.2.1 default,human T1 R1,0.149115,2.276489,96.984396,0.59
210,HISAT2 2.2.1 default,human T2 R1,0.224952,2.183909,91.321139,6.27
211,HISAT2 2.2.1 default,human T3 R1,0.030836,0.258548,23.430616,76.28
212,HISAT2 2.2.1 default,malaria T1 R1,0.07908,1.93746,96.83346,1.15
213,HISAT2 2.2.1 default,malaria T2 R1,0.202239,1.653084,86.074677,12.07
214,HISAT2 2.2.1 default,malaria T3 R1,0.001214,0.013354,6.05543199999999,93.93
49,STAR 2.7.10a default,human T1 R2,0.14946,1.903124,97.587416,0.36
50,STAR 2.7.10a default,human T1 R3,0.139496,1.913088,97.587416,0.36
51,STAR 2.7.10a default,human T2 R2,0.39664,2.18152,96.58184,0.84
52,STAR 2.7.10a default,human T2 R3,0.39664,2.18152,96.58184,0.84
53,STAR 2.7.10a default,human T3 R2,0.661836,1.701864,76.4263,21.21
54,STAR 2.7.10a default,human T3 R3,0.661584,1.709092,76.389324,21.24
55,STAR 2.7.10a default,malaria T1 R2,0.109604,2.132296,97.3981,0.36
56,STAR 2.7.10a default,malaria T1 R3,0.119556,2.142045,97.368399,0.37
57,STAR 2.7.10a default,malaria T2 R2,0.64454,3.202868,95.312592,0.84
58,STAR 2.7.10a default,malaria T2 R3,0.644605,3.163523,95.361872,0.83
59,STAR 2.7.10a default,malaria T3 R2,1.069011,3.800928,65.000061,30.13
60,STAR 2.7.10a default,malaria T3 R3,1.060048,3.745038,64.934914,30.26
233,STAR 2.7.10a default,human T1 R1,0.139496,1.913088,97.587416,0.36
234,STAR 2.7.10a default,human T2 R1,0.3966,2.171385,96.582015,0.85
235,STAR 2.7.10a default,human T3 R1,0.661752,1.709526,76.408722,21.22
236,STAR 2.7.10a default,malaria T1 R1,0.119556,2.142045,97.368399,0.37
237,STAR 2.7.10a default,malaria T2 R1,0.644605,3.183357,95.342038,0.83
238,STAR 2.7.10a default,malaria T3 R1,1.059744,3.76488,64.895376,30.28
61,Subjunc 2.0.1 default,human T1 R2,0.586719,0,92.543281,6.87
62,Subjunc 2.0.1 default,human T1 R3,0.586719,0,92.543281,6.87
63,Subjunc 2.0.1 default,human T2 R2,0.654299,0,88.975701,10.37
64,Subjunc 2.0.1 default,human T2 R3,0.654226,0,88.965774,10.38
65,Subjunc 2.0.1 default,human T3 R2,0.34352,0,42.59648,57.06
66,Subjunc 2.0.1 default,human T3 R3,0.34352,0,42.59648,57.06
67,Subjunc 2.0.1 default,malaria T1 R2,0.381264,0,97.378736,2.24
68,Subjunc 2.0.1 default,malaria T1 R3,0.381264,0,97.378736,2.24
69,Subjunc 2.0.1 default,malaria T2 R2,0.51018,0,92.24982,7.24
70,Subjunc 2.0.1 default,malaria T2 R3,0.529074,0,92.290926,7.18
71,Subjunc 2.0.1 default,malaria T3 R2,0.334836,0,23.245164,76.42
72,Subjunc 2.0.1 default,malaria T3 R3,0.341568,0,23.378432,76.28
305,Subjunc 2.0.1 default,human T1 R1,0.586719,0,92.543281,6.87
306,Subjunc 2.0.1 default,human T2 R1,0.65408,0,88.94592,10.4
307,Subjunc 2.0.1 default,human T3 R1,0.34336,0,42.57664,57.08
308,Subjunc 2.0.1 default,malaria T1 R1,0.381225,0,97.368775,2.25
309,Subjunc 2.0.1 default,malaria T2 R1,0.519512,0,92.250488,7.23
310,Subjunc 2.0.1 default,malaria T3 R1,0.344414,0,23.245586,76.41
73,novoSplice 0.8.4 default,human T1 R2,0.08973,3.66896,95.94131,0.3
74,novoSplice 0.8.4 default,human T1 R3,0.08973,3.66896,95.94131,0.3
75,novoSplice 0.8.4 default,human T2 R2,0.169303,4.362042,95.058655,0.41
76,novoSplice 0.8.4 default,human T2 R3,0.169303,4.372001,95.048696,0.41
77,novoSplice 0.8.4 default,human T3 R2,0.594594,4.783779,84.711627,9.91
78,novoSplice 0.8.4 default,human T3 R3,0.594528,4.792256,84.693216,9.92
79,novoSplice 0.8.4 default,malaria T1 R2,0.029904,2.701328,96.948768,0.32
80,novoSplice 0.8.4 default,malaria T1 R3,0.039872,2.701328,96.9388,0.32
81,novoSplice 0.8.4 default,malaria T2 R2,0.22885,3.1641,96.10705,0.5
82,novoSplice 0.8.4 default,malaria T2 R3,0.22885,3.1044,96.16675,0.5
83,novoSplice 0.8.4 default,malaria T3 R2,0.949536,3.68793,80.142534,15.22
84,novoSplice 0.8.4 default,malaria T3 R3,0.93093,3.622164,80.076906,15.37
311,novoSplice 0.8.4 default,human T1 R1,0.08973,3.65899,95.95128,0.3
312,novoSplice 0.8.4 default,human T2 R1,0.169303,4.352083,95.068614,0.41
313,novoSplice 0.8.4 default,human T3 R1,0.594528,4.783248,84.702224,9.92
314,novoSplice 0.8.4 default,malaria T1 R1,0.039872,2.701328,96.9388,0.32
315,novoSplice 0.8.4 default,malaria T2 R1,0.24875,3.1442,96.10705,0.5
316,novoSplice 0.8.4 default,malaria T3 R1,0.956884,3.649708,80.073408,15.32
