,Run,Dataset,F1_Deletion
1,DRAGEN 4.0.3 default,human T1 R2,84.7713640031444
2,DRAGEN 4.0.3 default,human T1 R3,85.0582779960328
3,DRAGEN 4.0.3 default,human T2 R2,82.9284704811951
4,DRAGEN 4.0.3 default,human T2 R3,83.0305717810824
5,DRAGEN 4.0.3 default,human T3 R2,60.3441467720887
6,DRAGEN 4.0.3 default,human T3 R3,60.4889055678946
137,DRAGEN 4.0.3 default,human T1 R1,84.7787771280285
138,DRAGEN 4.0.3 default,human T2 R1,82.9044273715237
139,DRAGEN 4.0.3 default,human T3 R1,60.2925594963918
13,DeepSAP MS150,human T1 R2,91.820474149623
14,DeepSAP MS150,human T1 R3,91.9525180167976
15,DeepSAP MS150,human T2 R2,89.5479018689014
16,DeepSAP MS150,human T2 R3,89.5578723780079
17,DeepSAP MS150,human T3 R2,68.8281155058756
18,DeepSAP MS150,human T3 R3,68.9450332546664
725,DeepSAP MS150,human T1 R1,91.9346395182449
825,DeepSAP MS150,human T2 R1,89.3381989876398
925,DeepSAP MS150,human T3 R1,68.8483113443916
37,HISAT2 2.2.1 default,human T1 R2,79.9976525878171
38,HISAT2 2.2.1 default,human T1 R3,80.0441327247846
39,HISAT2 2.2.1 default,human T2 R2,58.4590569354878
40,HISAT2 2.2.1 default,human T2 R3,58.1540547138652
41,HISAT2 2.2.1 default,human T3 R2,1.74422443619218
42,HISAT2 2.2.1 default,human T3 R3,1.72435672212463
209,HISAT2 2.2.1 default,human T1 R1,79.999373531715
210,HISAT2 2.2.1 default,human T2 R1,58.196409120901
211,HISAT2 2.2.1 default,human T3 R1,1.68507387142456
49,STAR 2.7.10a default,human T1 R2,82.746007425305
50,STAR 2.7.10a default,human T1 R3,82.9846361978707
51,STAR 2.7.10a default,human T2 R2,74.8358989284408
52,STAR 2.7.10a default,human T2 R3,74.7508610792193
53,STAR 2.7.10a default,human T3 R2,26.8781831114724
54,STAR 2.7.10a default,human T3 R3,26.7467420077377
233,STAR 2.7.10a default,human T1 R1,82.5614790728067
234,STAR 2.7.10a default,human T2 R1,74.4571009855369
235,STAR 2.7.10a default,human T3 R1,26.7530791132805
61,Subjunc 2.0.1 default,human T1 R2,89.0582672096975
62,Subjunc 2.0.1 default,human T1 R3,89.2794190712274
63,Subjunc 2.0.1 default,human T2 R2,84.0378816782726
64,Subjunc 2.0.1 default,human T2 R3,83.6858046719099
65,Subjunc 2.0.1 default,human T3 R2,21.5828993955095
66,Subjunc 2.0.1 default,human T3 R3,21.5205200338713
305,Subjunc 2.0.1 default,human T1 R1,88.7050145444325
306,Subjunc 2.0.1 default,human T2 R1,83.4368079227871
307,Subjunc 2.0.1 default,human T3 R1,21.3889812956761
73,novoSplice 0.8.4 default,human T1 R2,86.8974286491042
74,novoSplice 0.8.4 default,human T1 R3,87.0927776924337
75,novoSplice 0.8.4 default,human T2 R2,84.3148191528707
76,novoSplice 0.8.4 default,human T2 R3,84.3017006603939
77,novoSplice 0.8.4 default,human T3 R2,59.8064627253235
78,novoSplice 0.8.4 default,human T3 R3,59.914773646238
311,novoSplice 0.8.4 default,human T1 R1,87.0954062879266
312,novoSplice 0.8.4 default,human T2 R1,84.0610301787284
313,novoSplice 0.8.4 default,human T3 R1,59.7751902923068
