,Run,Dataset,F1_Junction
1,DRAGEN 4.0.3 default,human T1 R2,95.7937305157308
2,DRAGEN 4.0.3 default,human T1 R3,95.80992929565
3,DRAGEN 4.0.3 default,human T2 R2,95.4710717939095
4,DRAGEN 4.0.3 default,human T2 R3,95.4509876091389
5,DRAGEN 4.0.3 default,human T3 R2,88.6370661013925
6,DRAGEN 4.0.3 default,human T3 R3,88.6207479197346
137,DRAGEN 4.0.3 default,human T1 R1,95.7937305157308
138,DRAGEN 4.0.3 default,human T2 R1,95.4882952815432
139,DRAGEN 4.0.3 default,human T3 R1,88.6185833062433
13,DeepSAP MS150,human T1 R2,98.8309181247885
14,DeepSAP MS150,human T1 R3,98.841110257405
15,DeepSAP MS150,human T2 R2,98.5761640449518
16,DeepSAP MS150,human T2 R3,98.560803560333
17,DeepSAP MS150,human T3 R2,93.9808499252865
18,DeepSAP MS150,human T3 R3,93.9575259138763
725,DeepSAP MS150,human T1 R1,98.8459663142987
825,DeepSAP MS150,human T2 R1,98.5913357525118
925,DeepSAP MS150,human T3 R1,93.9697306367477
37,HISAT2 2.2.1 default,human T1 R2,97.0984519075437
38,HISAT2 2.2.1 default,human T1 R3,97.1350962033131
39,HISAT2 2.2.1 default,human T2 R2,90.804934340515
40,HISAT2 2.2.1 default,human T2 R3,90.8158543386735
41,HISAT2 2.2.1 default,human T3 R2,10.7376828685324
42,HISAT2 2.2.1 default,human T3 R3,10.7737738405886
209,HISAT2 2.2.1 default,human T1 R1,97.0989812270277
210,HISAT2 2.2.1 default,human T2 R1,90.8435115338362
211,HISAT2 2.2.1 default,human T3 R1,10.7201385916641
49,STAR 2.7.10a default,human T1 R2,95.9481540062435
50,STAR 2.7.10a default,human T1 R3,95.9913792386103
51,STAR 2.7.10a default,human T2 R2,93.3892808966346
52,STAR 2.7.10a default,human T2 R3,93.3765690822802
53,STAR 2.7.10a default,human T3 R2,57.0950831439477
54,STAR 2.7.10a default,human T3 R3,57.1625939466768
233,STAR 2.7.10a default,human T1 R1,95.9490020140468
234,STAR 2.7.10a default,human T2 R1,93.3521527991504
235,STAR 2.7.10a default,human T3 R1,57.093419000993
61,Subjunc 2.0.1 default,human T1 R2,97.1025449635115
62,Subjunc 2.0.1 default,human T1 R3,97.143678460754
63,Subjunc 2.0.1 default,human T2 R2,93.016932029119
64,Subjunc 2.0.1 default,human T2 R3,93.0692946123429
65,Subjunc 2.0.1 default,human T3 R2,41.2328728104814
66,Subjunc 2.0.1 default,human T3 R3,41.2291674171101
305,Subjunc 2.0.1 default,human T1 R1,97.0920947842609
306,Subjunc 2.0.1 default,human T2 R1,93.0525862370976
307,Subjunc 2.0.1 default,human T3 R1,41.1071166147286
73,novoSplice 0.8.4 default,human T1 R2,94.7434773414676
74,novoSplice 0.8.4 default,human T1 R3,94.7711624586118
75,novoSplice 0.8.4 default,human T2 R2,94.2114475944485
76,novoSplice 0.8.4 default,human T2 R3,94.2170399270709
77,novoSplice 0.8.4 default,human T3 R2,85.4130303724928
78,novoSplice 0.8.4 default,human T3 R3,85.3736792020179
311,novoSplice 0.8.4 default,human T1 R1,94.7379939601116
312,novoSplice 0.8.4 default,human T2 R1,94.2337574732892
313,novoSplice 0.8.4 default,human T3 R1,85.4130303724928
