metric,dataset,aligner,theta,ci_lower,ci_upper,n,k
del_recall,baruzzo_human_t3r1,DeepSAP,0.61556439,0.61503878,0.61608979,3291810,2026321
del_recall,baruzzo_human_t3r1,DRAGEN,0.47389248,0.47335311,0.4744319,3291810,1559964
del_precision,baruzzo_human_t3r1,DeepSAP,0.78117979,0.78067633,0.78168261,2593924,2026321
del_precision,baruzzo_human_t3r1,DRAGEN,0.82885678,0.82831819,0.82939436,1882067,1559964
junction_precision,baruzzo_human_t3r1,DeepSAP,0.18910248,0.18885987,0.18934528,9999999,1891024.6
junction_precision,baruzzo_human_t3r1,DRAGEN,0.18947007,0.18922727,0.18971304,9999999,1894700.5
ins_precision,baruzzo_human_t3r1,DeepSAP,0.77920011,0.77871203,0.77968761,2777669,2164360
ins_precision,baruzzo_human_t3r1,DRAGEN,0.84099539,0.84048577,0.84150401,1981779,1666667
ins_recall,baruzzo_human_t3r1,DeepSAP,0.59616359,0.5956588,0.59666824,3630480,2164360
ins_recall,baruzzo_human_t3r1,DRAGEN,0.45907621,0.45856365,0.45958884,3630480,1666667
junction_recall,baruzzo_human_t3r1,DeepSAP,0.16943832,0.16920591,0.16967093,9999999,1694383
junction_recall,baruzzo_human_t3r1,DRAGEN,0.15345259,0.1532293,0.15367607,9999999,1534525.7
