sample_id,aligner_name,variant_type,FN,FP,TP,Precision,Recall,F1-Score,organism,dataset
baruzzo_human_t1r1,DRAGEN,deletion,683,1590,5940,0.7888446215138394,0.8968745281593089,0.8393980069915129,Human,T1
baruzzo_human_t1r1,DRAGEN,insertion,797,1461,6022,0.8047574502203922,0.8831206921834751,0.8421199827200901,Human,T1
baruzzo_human_t1r1,DeepSAP,deletion,334,1802,6289,0.7772834013100015,0.9495696814131134,0.8548321321676308,Human,T1
baruzzo_human_t1r1,DeepSAP,insertion,448,1662,6371,0.7931034482757633,0.9343012171871338,0.857931591208046,Human,T1
baruzzo_human_t1r1,HISAT2,deletion,940,1552,5683,0.7854872149273274,0.8580703608635273,0.8201760710840577,Human,T1
baruzzo_human_t1r1,HISAT2,insertion,1086,1403,5733,0.8033912556052686,0.8407391113065199,0.8216409883930101,Human,T1
baruzzo_human_t1r1,STAR,deletion,729,1667,5894,0.7795265176562916,0.8899290351802974,0.8310772696656339,Human,T1
baruzzo_human_t1r1,STAR,insertion,1255,1409,5564,0.7979348917251113,0.8159554186829716,0.8068445470637503,Human,T1
baruzzo_human_t1r1,Subjunc,deletion,2351,68,4272,0.9843317972347961,0.6450249131812403,0.7793487179380327,Human,T1
baruzzo_human_t1r1,Subjunc,insertion,2379,82,4440,0.9818664307826223,0.6511218653760593,0.7829997349934352,Human,T1
baruzzo_human_t1r1,novoSplice,deletion,879,1006,5744,0.8509629629628368,0.8672806885096078,0.8590443425792554,Human,T1
baruzzo_human_t1r1,novoSplice,insertion,922,798,5897,0.8808065720685764,0.8647895585861761,0.872724581414964,Human,T1
baruzzo_human_t1r2,DRAGEN,deletion,668,1582,5832,0.7866199082815232,0.8972307692306312,0.8382923669017781,Human,T1
baruzzo_human_t1r2,DRAGEN,insertion,865,1455,6086,0.807054767272138,0.8755574737446589,0.8399116749078339,Human,T1
baruzzo_human_t1r2,DeepSAP,deletion,313,1797,6187,0.7749248496993016,0.9518461538460073,0.8543220099994694,Human,T1
baruzzo_human_t1r2,DeepSAP,insertion,436,1669,6515,0.7960654936460415,0.9372752121995486,0.8609184005603568,Human,T1
baruzzo_human_t1r2,HISAT2,deletion,937,1559,5563,0.781100814377874,0.8558461538460221,0.8167669940685337,Human,T1
baruzzo_human_t1r2,HISAT2,insertion,1112,1402,5839,0.8063803342078709,0.8400230182706315,0.8228579476398898,Human,T1
baruzzo_human_t1r2,STAR,deletion,735,1672,5765,0.7751781632377605,0.8869230769229404,0.8272942522107585,Human,T1
baruzzo_human_t1r2,STAR,insertion,1350,1444,5601,0.7950319375442448,0.805783340526427,0.800371534224115,Human,T1
baruzzo_human_t1r2,Subjunc,deletion,2335,65,4165,0.9846335697397198,0.6407692307691322,0.7763280517123545,Human,T1
baruzzo_human_t1r2,Subjunc,insertion,2421,75,4530,0.9837133550486462,0.6517047906775065,0.7840083068932643,Human,T1
baruzzo_human_t1r2,novoSplice,deletion,823,954,5677,0.8561302970892992,0.873384615384481,0.8646713878176394,Human,T1
baruzzo_human_t1r2,novoSplice,insertion,940,878,6011,0.8725504427346679,0.8647676593294684,0.8686416179969942,Human,T1
baruzzo_human_t1r3,DRAGEN,deletion,688,1599,6014,0.7899645343490358,0.8973440763949719,0.8402375126000563,Human,T1
baruzzo_human_t1r3,DRAGEN,insertion,813,1410,6078,0.8116987179486095,0.8820200261208994,0.845399540498032,Human,T1
baruzzo_human_t1r3,DeepSAP,deletion,341,1854,6361,0.7743152769323464,0.9491196657712698,0.8528524497296053,Human,T1
baruzzo_human_t1r3,DeepSAP,insertion,406,1613,6485,0.8008150160532476,0.9410825714698967,0.8653012203984499,Human,T1
baruzzo_human_t1r3,HISAT2,deletion,930,1584,5772,0.7846655791189797,0.861235452103721,0.821169440388716,Human,T1
baruzzo_human_t1r3,HISAT2,insertion,1089,1383,5802,0.8075156576199293,0.841967784066051,0.8243819261838178,Human,T1
baruzzo_human_t1r3,STAR,deletion,722,1709,5980,0.7777344258029941,0.8922709638912425,0.8310749769186772,Human,T1
baruzzo_human_t1r3,STAR,insertion,1269,1403,5622,0.8002846975087828,0.815846756638976,0.8079908014545149,Human,T1
baruzzo_human_t1r3,Subjunc,deletion,2387,78,4315,0.98224447985409,0.6438376603997845,0.7778278499045703,Human,T1
baruzzo_human_t1r3,Subjunc,insertion,2337,82,4554,0.9823123382223937,0.6608619939049977,0.7901448767637277,Human,T1
baruzzo_human_t1r3,novoSplice,deletion,882,986,5820,0.8551278283865918,0.8683974932854568,0.8617115778238582,Human,T1
baruzzo_human_t1r3,novoSplice,insertion,897,867,5994,0.8736335811104979,0.8698302133215977,0.871727748190975,Human,T1
baruzzo_human_t2r1,DRAGEN,deletion,3283,6354,22455,0.7794439237737936,0.8724454114538475,0.8233266719125031,Human,T2
baruzzo_human_t2r1,DRAGEN,insertion,3741,5674,23662,0.8065857649304333,0.8634821004999137,0.834064752139829,Human,T2
baruzzo_human_t2r1,DeepSAP,deletion,2046,7429,23692,0.761286591047821,0.920506643872837,0.8333597138856407,Human,T2
baruzzo_human_t2r1,DeepSAP,insertion,2344,6611,25059,0.791253552257632,0.9144619202276789,0.8484079015898279,Human,T2
baruzzo_human_t2r1,HISAT2,deletion,10937,3994,14801,0.7874966746474708,0.5750641075452415,0.6647205438275751,Human,T2
baruzzo_human_t2r1,HISAT2,insertion,11939,3535,15464,0.8139375756618341,0.5643177754260277,0.6665229942148766,Human,T2
baruzzo_human_t2r1,STAR,deletion,5072,6564,20666,0.7589423430040118,0.8029372911647834,0.7803201928246385,Human,T2
baruzzo_human_t2r1,STAR,insertion,7940,6223,19463,0.7577279451841175,0.710250702477805,0.7332215708241216,Human,T2
baruzzo_human_t2r1,Subjunc,deletion,10910,458,14828,0.9700379432159512,0.5761131401041037,0.7228939152890508,Human,T2
baruzzo_human_t2r1,Subjunc,insertion,11113,464,16290,0.9723051211650369,0.5944604605334965,0.7378218624273408,Human,T2
baruzzo_human_t2r1,novoSplice,deletion,3795,4282,21943,0.8367206863679376,0.8525526458931987,0.8445624766472122,Human,T2
baruzzo_human_t2r1,novoSplice,insertion,3854,3424,23549,0.8730582434285814,0.8593584644016765,0.866154185170148,Human,T2
baruzzo_human_t2r2,DRAGEN,deletion,3302,6374,22808,0.7815776848742108,0.873535044044394,0.8250018080814167,Human,T2
baruzzo_human_t2r2,DRAGEN,insertion,3738,5623,23737,0.8084809264304902,0.8639490445859558,0.8352951521353406,Human,T2
baruzzo_human_t2r2,DeepSAP,deletion,2072,7520,24038,0.7617086000380011,0.9206434316353534,0.833668585201874,Human,T2
baruzzo_human_t2r2,DeepSAP,insertion,2456,6656,25019,0.7898658247829269,0.910609645131905,0.8459509716073105,Human,T2
baruzzo_human_t2r2,HISAT2,deletion,11167,4028,14943,0.7876759264139588,0.5723094599769983,0.6629400407715764,Human,T2
baruzzo_human_t2r2,HISAT2,insertion,12044,3555,15431,0.812756768144906,0.5616378525932462,0.664256042219145,Human,T2
baruzzo_human_t2r2,STAR,deletion,5093,6632,21017,0.7601359904517068,0.8049406357717042,0.7818969841913163,Human,T2
baruzzo_human_t2r2,STAR,insertion,7990,6211,19485,0.7582892278953628,0.7091901728844145,0.7329183196374489,Human,T2
baruzzo_human_t2r2,Subjunc,deletion,11032,460,15078,0.9703951602522223,0.577479892761372,0.7240683821676036,Human,T2
baruzzo_human_t2r2,Subjunc,insertion,11068,486,16407,0.9712306872668578,0.5971610555049828,0.7395870893228554,Human,T2
baruzzo_human_t2r2,novoSplice,deletion,3834,4253,22276,0.8396848731576448,0.8531597089237513,0.8463686615186549,Human,T2
baruzzo_human_t2r2,novoSplice,insertion,4045,3360,23430,0.8745800671892171,0.8527752502274485,0.8635400345134082,Human,T2
baruzzo_human_t2r3,DRAGEN,deletion,3189,6374,22697,0.780743696467243,0.8768059955187794,0.8259912290083545,Human,T2
baruzzo_human_t2r3,DRAGEN,insertion,3797,5659,23628,0.8067743367364084,0.8615496809480087,0.8332628010239966,Human,T2
baruzzo_human_t2r3,DeepSAP,deletion,1984,7505,23902,0.7610405323653721,0.9233562543459428,0.8343776721696865,Human,T2
baruzzo_human_t2r3,DeepSAP,insertion,2397,6712,25028,0.7885318210459739,0.9125979945305045,0.8460407330444207,Human,T2
baruzzo_human_t2r3,HISAT2,deletion,11009,3947,14877,0.7903208669782835,0.5747121996445733,0.665488704500143,Human,T2
baruzzo_human_t2r3,HISAT2,insertion,11894,3535,15531,0.8145914192803517,0.5663081130355309,0.6681293148674933,Human,T2
baruzzo_human_t2r3,STAR,deletion,4911,6586,20975,0.7610391495228489,0.8102835509541524,0.784889703319198,Human,T2
baruzzo_human_t2r3,STAR,insertion,7819,6194,19606,0.7599224806201256,0.7148951686417242,0.7367214649771879,Human,T2
baruzzo_human_t2r3,Subjunc,deletion,11062,452,14824,0.9704111023827592,0.5726647608745818,0.7202759822356781,Human,T2
baruzzo_human_t2r3,Subjunc,insertion,10939,483,16486,0.9715363309563927,0.6011303555150191,0.7427129787591307,Human,T2
baruzzo_human_t2r3,novoSplice,deletion,3794,4171,22092,0.8411834139283082,0.8534342888047264,0.8472645683316108,Human,T2
baruzzo_human_t2r3,novoSplice,insertion,3894,3485,23531,0.8710023689665061,0.8580127620783643,0.8644587713814827,Human,T2
baruzzo_human_t3r1,DRAGEN,deletion,16528,14142,43202,0.753383091517844,0.7232881299179521,0.7380289384618774,Human,T3
baruzzo_human_t3r1,DRAGEN,insertion,19390,12857,45896,0.7811686211767778,0.7029991116012514,0.7400253141201643,Human,T3
baruzzo_human_t3r1,DeepSAP,deletion,10969,19576,48761,0.7135373223875687,0.8163569395613458,0.7614920310170005,Human,T3
baruzzo_human_t3r1,DeepSAP,insertion,12566,18411,52720,0.7411677046575931,0.8075238182764941,0.7729241951656698,Human,T3
baruzzo_human_t3r1,HISAT2,deletion,59730,0,0,0.0,0.0,0.0,Human,T3
baruzzo_human_t3r1,HISAT2,insertion,65286,0,0,0.0,0.0,0.0,Human,T3
baruzzo_human_t3r1,STAR,deletion,41858,5779,17872,0.7556551520019975,0.29921312573245773,0.42868279303575557,Human,T3
baruzzo_human_t3r1,STAR,insertion,50862,3851,14424,0.7892749658002304,0.22093557577428208,0.3452328235832851,Human,T3
baruzzo_human_t3r1,Subjunc,deletion,59010,48,720,0.9374999999987793,0.012054244098442793,0.023802439725006636,Human,T3
baruzzo_human_t3r1,Subjunc,insertion,64455,62,831,0.9305711086215783,0.012728609502802857,0.02511370673836186,Human,T3
baruzzo_human_t3r1,novoSplice,deletion,17257,10466,42473,0.8023007612535031,0.7110832077682788,0.7539429651800287,Human,T3
baruzzo_human_t3r1,novoSplice,insertion,19974,8603,45312,0.8404340165074499,0.6940538553441673,0.7602620778428062,Human,T3
baruzzo_human_t3r2,DRAGEN,deletion,16389,14217,43120,0.7520449273592837,0.724596279554341,0.73806548740732,Human,T3
baruzzo_human_t3r2,DRAGEN,insertion,19098,12975,45499,0.7781065088757264,0.7043515952753115,0.7393943328535183,Human,T3
